ܒܝܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܳܐ,,ܒܰܝܶܐ,ܐܶܬܒܰܝܰܐ,ܐܰܒܺܝܐ,ܐܶܬܬܒܺܝܐ
perfect,3FS,ܒܳܐܰܬ,,ܒܰܝܐܰܬ,ܐܶܬܒܰܝܐܰܬ,ܐܰܒܺܝܐܰܬ,ܐܶܬܬܒܺܝܐܰܬ
perfect,2MS,ܒܳܐܬ,,ܒܰܝܶܐܬ,ܐܶܬܒܰܝܰܐܬ,ܐܰܒܺܝܐܬ,ܐܶܬܬܒܺܝܐܬ
perfect,2FS,ܒܳܐܬܝ,,ܒܰܝܶܐܬܝ,ܐܶܬܒܰܝܰܐܬܝ,ܐܰܒܺܝܐܬܝ,ܐܶܬܒܺܝܐܬܝ
perfect,1S,ܒܳܐܶܬ,,ܒܰܝܐܶܬ,ܐܶܬܒܰܝܐܶܬ,ܐܰܒܺܝܐܶܬ,ܐܶܬܒܺܝܐܶܬ
perfect,3MP,ܒܳܐܘ,,ܒܰܝܶܐܘ,ܐܶܬܒܰܝܰܐܘ,ܐܰܒܺܝܐܘ,ܐܶܬܬܒܺܝܐܘ
perfect,3FP,ܒܳܐ̈ܝ,,ܒܰܝܶܐ̈ܝ,ܐܶܬܒܰܝܰܐ̈ܝ,ܐܰܒܺܝܐ̈ܝ,ܐܶܬܬܒܺܝܐ̈ܝ
perfect,2MP,ܒܳܐܬܽܘܢ,,ܒܰܝܶܐܬܽܘܢ,ܐܶܬܒܰܝܰܐܬܽܘܢ,ܐܰܒܺܝܐܬܽܘܢ,ܐܶܬܬܒܺܝܐܬܽܘܢ
perfect,2FP,ܒܳܐܬ̈ܶܝܢ,,ܒܰܝܶܐܬ̈ܶܝܢ,ܐܶܬܒܰܝܰܐ̈ܬܶܝܢ,ܐܰܒܺܝܐܬ̈ܶܝܢ,ܐܶܬܬܒܺܝܐ̈ܬܶܝܢ
perfect,1P,ܒܳܐܢ,,ܒܰܝܶܐܢ,ܐܶܬܒܰܝܰܐܢ,ܐܰܒܺܝܐܢ,ܐܶܬܬܒܺܝܐܢ
imperfect,3MS,ܢܒܽܘܐ,,ܢܒܰܝܶܐ,ܢܶܬܒܰܝܰܐ,ܢܒܺܝܐ,ܢܶܬܬܒܺܝܐ
imperfect,3FS,ܬܒܽܘܐ,,ܬܒܰܝܶܐ,ܬܶܬܒܰܝܰܐ,ܬܒܺܝܐ,ܬܶܬܬܒܺܝܐܝ
imperfect,2MS,ܬܒܽܘܐ,,ܬܒܰܝܶܐ,ܬܶܬܒܰܝܰܐ,ܬܒܺܝܐ,ܬܶܬܬܒܺܝܐ
imperfect,2FS,ܬܒܐܺܝܢ,,ܬܒܰܝܐܺܝܢ,ܬܶܬܒܰܝܐܺܝܢ,ܬܒܺܝܐܺܝܢ,ܬܶܬܬܒܺܝܐܺܝܢ
imperfect,1S,ܐܶܒܽܘܐ,,ܐܶܒܰܝܶܐ,ܐܶܬܒܰܝܰܐ,ܐܰܒܺܝܐ,ܐܶܬܬܒܺܝܐ
imperfect,3MP,ܢܒܽܘܐܽܘܢ,,ܢܒܰܝܐܽܘܢ,ܢܶܬܒܰܝܐܽܘܢ,ܢܒܺܝܐܽܘܢ,ܢܶܬܬܰܒܺܝܐܽܘܢ
imperfect,3FP,ܢܒ̈ܽܘܐܳܢ,,ܢܒܰܝܐ̈ܳܢ,ܢܶܬܒܰܝܐ̈ܳܢ,ܢܒܺܝܐ̈ܳܢ,ܢܶܬܬܰܒܺܝܐ̈ܳܢ
imperfect,2MP,ܬܒܽܘܐܽܘܢ,,ܬܒܰܝܐܽܘܢ,ܬܶܬܒܰܝܐܽܘܢ,ܬܒܺܝܐܽܘܢ,ܬܶܬܬܰܒܺܝܐܽܘܢ
imperfect,2FP,ܬܒ̈ܽܘܐܳܢ,,ܬܒܰܝܐ̈ܳܢ,ܬܶܬܒܰܝܐ̈ܳܢ,ܬܒܺܝܐ̈ܳܢ,ܬܶܬܬܰܒܺܝܐ̈ܳܢ
imperfect,1P,ܢܒܽܘܐ,,ܢܒܰܝܶܐ,ܢܶܬܒܰܝܰܐ,ܢܒܺܝܐ,ܢܶܬܬܰܒܺܝܐ
imperative,MS,ܒܽܘܐ,,ܒܰܝܶܐ,ܐܶܬܒܰܝܰܐ,ܐܰܒܺܝܐ,ܐܶܬܬܒܺܝܐ
imperative,FS,ܒܽܘܐܝ,,ܒܰܝܶܐܝ,ܐܶܬܒܰܝܰܐܝ,ܐܰܒܺܝܐܝ,ܐܶܬܬܒܺܝܐܝ
imperative,MP,ܒܽܘܐܘ,,ܒܰܝܶܐܘ,ܐܶܬܒܰܝܰܐܘ,ܐܰܒܺܝܐܘ,ܐܶܬܬܒܺܝܐܘ
imperative,FP,ܒܽܘܐ̈ܝ,,ܒܰܝܶܐ̈ܝ,ܐܶܬܒܰܝܰܐ̈ܝ,ܐܰܒܺܝܐ̈ܝ,ܐܶܬܬܒܺܝܐ̈ܝ
active-participle,MS,ܒܳܐܶܐ,,ܡܒܰܝܶܐ,ܡܶܬܒܰܝܰܐ,ܡܒܺܝܐ,ܡܶܬܬܒܺܝܐ
active-participle,FS,ܒܳܝܐܳܐ,,ܡܒܰܝܐܳܐ,ܡܶܬܒܰܝܐܳܐ,ܡܒܺܝܐܳܐ,ܡܶܬܬܒܺܝܐܳܐ
active-participle,MP,ܒܳܝܐܺܝܢ,,ܡܒܰܝܐܺܝܢ,ܡܶܬܒܰܝܐܺܝܢ,ܡܒܺܝܐܺܝܢ,ܡܶܬܬܒܺܝܐܺܝܢ
active-participle,FP,ܒܳܝ̈ܐܳܢ,,ܡܒܰܝܐ̈ܳܢ,ܡܶܬܒܰܝܐ̈ܳܢ,ܡܒܺܝܐ̈ܳܢ,ܡܶܬܬܒܺܝܐ̈ܳܢ
passive-participle,MS,ܒܺܝܐ,,ܡܒܰܝܰܐ,,ܡܒܳܐ,
passive-participle,FS,ܒܺܝܐܳܐ,,ܡܒܰܝܐܳܐ,,ܡܒܳܐܳܐ,
passive-participle,MP,ܒܺܝܐܺܝܢ,,ܡܒܰܝܐܺܝܢ,,ܡܒܳܐܺܝܢ,
passive-participle,FP,ܒܺܝܐ̈ܳ,,ܡܒܰܝ̈ܐܳܢ,,ܡܒ̈ܳܐܳܢ,
infinitive,,ܡܒܳܐ,,ܡܒܰܝܳܐܽܘ,ܡܶܬܒܰܝܳܐܽܘ,ܡܒܳܐܽܘ,ܡܶܬܬܒܺܝܐܽܘ
