ܒܟܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܟܳܐ,ܐܶܬܒܟܺܝ,ܒܰܟܺܝ,ܐܶܬܒܰܟܺܝ,ܐܰܒܟܺܝ,ܐܶܬܬܰܒܟܺܝ
perfect,3FS,ܒܟܳܐܬ,ܐܶܬܒܰܟܝܰܬ,ܒܰܟܝܰܬ,ܐܶܬܒܰܟܝܰܬ,ܐܰܒܟܝܰܬ,ܐܶܬܬܰܒܟܝܰܬ
perfect,2MS,ܒܟܰܝܬ,ܐܶܬܒܟܺܝܬ,ܒܰܟܺܝܬ,ܐܶܬܒܰܟܺܝܬ,ܐܰܒܟܺܝܬ,ܐܶܬܬܰܒܟܺܝܬ
perfect,2FS,ܒܟܰܝܬܝ,ܐܶܬܒܟܺܝܬܝ,ܒܰܟܺܝܬܝ,ܐܶܬܒܰܟܺܝܬܝ,ܐܰܒܟܺܝܬܝ,ܐܶܬܬܰܒܟܺܝܬܝ
perfect,1CS,ܒܟܺܝܬ,ܐܶܬܒܰܟܺܝܬ,ܒܰܟܺܝܬ,ܐܶܬܒܰܟܺܝܬ,ܐܰܒܟܺܝܬ,ܐܶܬܬܰܒܟܺܝܬ
perfect,3MP,ܒܟܰܘ,ܐܶܬܒܟܺܝܘ,ܒܰܟܺܝܘ,ܐܶܬܒܰܟܺܝܘ,ܐܰܒܟܺܝܘ,ܐܶܬܬܰܒܟܺܝܘ
perfect,3FP,ܒܟܰܝ̈,ܐܶܬܒܟܺܝ̈,ܒܰܟܺܝ̈,ܐܶܬܒܰܟܺܝ̈,ܐܰܒܟܺܝ̈,ܐܶܬܬܰܒܟܺܝ̈
perfect,2MP,ܒܟܰܝܬܽܘܢ,ܐܶܬܒܟܺܝܬܽܘܢ,ܒܰܟܺܝܬܽܘܢ,ܐܶܬܒܰܟܺܝܬܽܘܢ,ܐܰܒܟܺܝܬܽܘܢ,ܐܶܬܬܰܒܟܺܝܬܽܘܢ
perfect,2FP,ܒܟܰܝܬ̈ܶܝܢ,ܐܶܬܒܟܺܝ̈ܬܶܝܢ,ܒܰܟܺܝܬ̈ܶܝܢ,ܐܶܬܒܰܟܺܝ̈ܬܶܝܢ,ܐܰܒܟܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܒܟܺܝܬܶܝ̈ܢ
