ܒܢܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܢܳܐ,ܐܶܬܒܢܺܝ,ܒܰܢܺܝ,ܐܶܬܒܰܢܺܝ,ܐܰܒܢܺܝ,ܐܶܬܬܰܒܢܺܝ
perfect,3FS,ܒܢܳܐܬ,ܐܶܬܒܰܢܝܰܬ,ܒܰܢܝܰܬ,ܐܶܬܒܰܢܝܰܬ,ܐܰܒܢܝܰܬ,ܐܶܬܬܰܒܢܝܰܬ
perfect,2MS,ܒܢܰܝܬ,ܐܶܬܒܢܺܝܬ,ܒܰܢܺܝܬ,ܐܶܬܒܰܢܺܝܬ,ܐܰܒܢܺܝܬ,ܐܶܬܬܰܒܢܺܝܬ
perfect,2FS,ܒܢܰܝܬܝ,ܐܶܬܒܢܺܝܬܝ,ܒܰܢܺܝܬܝ,ܐܶܬܒܰܢܺܝܬܝ,ܐܰܒܢܺܝܬܝ,ܐܶܬܬܰܒܢܺܝܬܝ
perfect,1S,ܒܢܺܝܬ,ܐܶܬܒܰܢܺܝܬ,ܒܰܢܺܝܬ,ܐܶܬܒܰܢܺܝܬ,ܐܰܒܢܺܝܬ,ܐܶܬܬܰܒܢܺܝܬ
perfect,3MP,ܒܢܰܘ,ܐܶܬܒܢܺܝܘ,ܒܰܢܺܝܘ,ܐܶܬܒܰܢܺܝܘ,ܐܰܒܢܺܝܘ,ܐܶܬܬܰܒܢܺܝܘ
perfect,3FP,ܒܢܰܝ̈,ܐܶܬܒܢܺܝ̈,ܒܰܢܺܝ̈,ܐܶܬܒܰܢܺܝ̈,ܐܰܒܢܺܝ̈,ܐܶܬܬܰܒܢܺܝ̈
perfect,2MP,ܒܢܰܝܬܽܘܢ,ܐܶܬܒܢܺܝܬܽܘܢ,ܒܰܢܺܝܬܽܘܢ,ܐܶܬܒܰܢܺܝܬܽܘܢ,ܐܰܒܢܺܝܬܽܘܢ,ܐܶܬܬܰܒܢܺܝܬܽܘܢ
perfect,2FP,ܒܢܰܝܬ̈ܶܝܢ,ܐܶܬܒܢܺܝ̈ܬܶܝܢ,ܒܰܢܺܝܬ̈ܶܝܢ,ܐܶܬܒܰܢܺܝ̈ܬܶܝܢ,ܐܰܒܢܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܒܢܺܝܬܶܝ̈ܢ
perfect,1P,ܒܢܰܝܢ,ܐܶܬܒܢܺܝܢ,ܒܰܢܺܝܢ,ܐܶܬܒܰܢܺܝܢ,ܐܰܒܢܺܝܢ,ܐܶܬܬܰܒܢܺܝܢ
imperfect,3MS,ܢܶܒܢܶܐ,ܢܶܬܒܢܶܐ,ܢܒܰܢܶܐ,ܢܶܬܒܰܢܶܐ,ܢܰܒܢܶܐ,ܢܶܬܬܰܒܢܶܐ
imperfect,3FS,ܬܶܒܢܶܐ,ܬܶܬܒܢܶܐ,ܬܒܰܢܶܐ,ܬܶܬܒܰܢܶܐ,ܬܰܒܢܶܐ,ܬܶܬܬܰܒܢܶܐ
imperfect,2MS,ܬܶܒܢܶܐ,ܬܶܬܒܢܶܐ,ܬܒܰܢܶܐ,ܬܶܬܒܰܢܶܐ,ܬܰܒܢܶܐ,ܬܶܬܬܰܒܢܶܐ
imperfect,2FS,ܬܶܒܢܶܝܢ,ܬܶܬܒܢܶܝܢ,ܬܒܰܢܶܝܢ,ܬܶܬܒܰܢܶܝܢ,ܬܰܒܢܶܝܢ,ܬܶܬܬܰܒܢܶܝܢ
imperfect,1S,ܐܶܒܢܶܐ,ܐܶܬܒܢܶܐ,ܐܶܒܰܢܶܐ,ܐܶܬܒܰܢܶܐ,ܐܰܒܢܶܐ,ܐܶܬܬܰܒܢܶܐ
imperfect,3MP,ܢܶܒܢܽܘܢ,ܢܶܬܒܢܽܘܢ,ܢܒܰܢܽܘܢ,ܢܶܬܒܰܢܽܘܢ,ܢܰܒܢܽܘܢ,ܢܶܬܬܰܒܢܽܘܢ
imperfect,3FP,ܢܶܒܢܝ̈ܳܢ,ܢܶܬܒܰܢܝ̈ܳܢ,ܢܒܰܢܝ̈ܳܢ,ܢܶܬܒܰܢ̈ܝܳܢ,ܢܰܒܢ̈ܳܢ,ܢܶܬܬܰܒܢ̈ܳܢ
imperfect,2MP,ܬܶܒܢܽܘܢ,ܬܶܬܒܢܽܘܢ,ܬܒܰܢܽܘܢ,ܬܶܬܒܰܢܽܘܢ,ܬܰܒܢܽܘܢ,ܬܶܬܬܰܒܢܽܘܢ
imperfect,2FP,ܬܶܒܢܝ̈ܳܢ,ܬܶܬܒܰܢܝ̈ܳܢ,ܬܒܰܢܝ̈ܳܢ,ܬܶܬܒܰܢ̈ܝܳܢ,ܬܰܒܢ̈ܳܢ,ܬܶܬܬܰܒܢ̈ܳܢ
imperfect,1P,ܢܶܒܢܶܐ,ܢܶܬܒܢܶܐ,ܢܒܰܢܶܐ,ܢܶܬܒܰܢܶܐ,ܢܰܒܢܶܐ,ܢܶܬܬܰܒܢܶܐ
imperative,MS,ܒܢܺܝ,ܐܶܬܒܢܰܝ,ܒܰܢܳܐ,ܐܶܬܒܰܢܳܐ,ܐܰܒܢܳܐ,ܐܶܬܬܰܒܢܳܐ
imperative,FS,ܒܢܳܝ,ܐܶܬܒܢܳܝ,ܒܰܢܳܝ,ܐܶܬܒܰܢܳܝ,ܐܰܒܢܳܝ,ܐܶܬܬܰܒܢܳܝ
imperative,MP,ܒܢܰܘ,ܐܶܬܒܢܰܘ,ܒܰܢܰܘ,ܐܶܬܒܰܢܰܘ,ܐܰܒܢܰܘ,ܐܶܬܬܰܒܢܰܘ
imperative,FP,ܒܢܰ̈ܝ,ܐܶܬܒܢܳܝ̈ܶܝܢ?,ܒܰܢܳܝ̈,ܐܶܬܒܰܢܳܝ̈,ܐܰܒܢܳܝ̈,ܐܶܬܬܰܒ̈ܢܳܝ
active-participle,MS,ܒܳܢܶܐ,ܡܶܬܒܢܶܐ,ܡܒܰܢܶܐ,ܡܶܬܒܰܢܶܐ,ܡܰܒܢܶܐ,ܡܶܬܬܰܒܢܶܐ
active-participle,FS,ܒܳܢܝܳܐ,ܡܶܬܒܰܢܝܳܐ,ܡܒܰܢܝܐ,ܡܶܬܒܰܢܝܳܐ,ܡܰܒܢܝܳܐ,ܡܶܬܬܰܒܢܝܳܐ
active-participle,MP,ܒܳܢܶܝܢ,ܡܶܬܒܢܶܝܢ,ܡܒܰܢܶܝܢ,ܡܶܬܒܰܢܶܝܢ,ܡܰܒܢܶܝܢ,ܡܶܬܬܰܒܢܶܝܢ
active-participle,FP,ܒܳܢܝ̈ܳܢ,ܡܶܬܒܰܢܝ̈ܳܢ,ܡܒܰܢܝ̈ܳܢ,ܡܶܬܒܰܢ̈ܝܳܢ,ܡܰܒܢ̈ܝܳܢ,ܡܶܬܬܰܒܢ̈ܝܳܢ
passive-participle,MS,ܒܢܶܐ,,ܡܒܰܢܰܝ,,ܡܰܒܢܰܝ,
