ܒܥܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܥܳܐ,ܐܶܬܒܥܺܝ,ܒܰܥܺܝ,ܐܶܬܒܰܥܺܝ,ܐܰܒܥܺܝ,ܐܶܬܬܰܒܥܺܝ
perfect,3FS,ܒܥܳܐܬ,ܐܶܬܒܰܥܝܰܬ,ܒܰܥܝܰܬ,ܐܶܬܒܰܥܝܰܬ,ܐܰܒܥܝܰܬ,ܐܶܬܬܰܒܥܝܰܬ
perfect,2MS,ܒܥܰܝܬ,ܐܶܬܒܥܺܝܬ,ܒܰܥܺܝܬ,ܐܶܬܒܰܥܺܝܬ,ܐܰܒܥܺܝܬ,ܐܶܬܬܰܒܥܺܝܬ
perfect,2FS,ܒܥܰܝܬܝ,ܐܶܬܒܥܺܝܬܝ,ܒܰܥܺܝܬܝ,ܐܶܬܒܰܥܺܝܬܝ,ܐܰܒܥܺܝܬܝ,ܐܶܬܬܰܒܥܺܝܬܝ
perfect,1CS,ܒܥܺܝܬ,ܐܶܬܒܰܥܺܝܬ,ܒܰܥܺܝܬ,ܐܶܬܒܰܥܺܝܬ,ܐܰܒܥܺܝܬ,ܐܶܬܬܰܒܥܺܝܬ
perfect,3MP,ܒܥܰܘ,ܐܶܬܒܥܺܝܘ,ܒܰܥܺܝܘ,ܐܶܬܒܰܥܺܝܘ,ܐܰܒܥܺܝܘ,ܐܶܬܬܰܒܥܺܝܘ
perfect,3FP,ܒܥܰܝ̈,ܐܶܬܒܥܺܝ̈,ܒܰܥܺܝ̈,ܐܶܬܒܰܥܺܝ̈,ܐܰܒܥܺܝ̈,ܐܶܬܬܰܒܥܺܝ̈
perfect,2MP,ܒܥܰܝܬܽܘܢ,ܐܶܬܒܥܺܝܬܽܘܢ,ܒܰܥܺܝܬܽܘܢ,ܐܶܬܒܰܥܺܝܬܽܘܢ,ܐܰܒܥܺܝܬܽܘܢ,ܐܶܬܬܰܒܥܺܝܬܽܘܢ
perfect,2FP,ܒܥܰܝܬ̈ܶܝܢ,ܐܶܬܒܥܺܝ̈ܬܶܝܢ,ܒܰܥܺܝܬ̈ܶܝܢ,ܐܶܬܒܰܥܺܝ̈ܬܶܝܢ,ܐܰܒܥܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܒܥܺܝܬܶܝ̈ܢ
