ܒܩܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܩܳܐ,ܐܶܬܒܩܺܝ,ܒܰܩܺܝ,ܐܶܬܒܰܩܺܝ,ܐܰܒܩܺܝ,ܐܶܬܬܰܒܩܺܝ
perfect,3FS,ܒܩܳܐܬ,ܐܶܬܒܰܩܝܰܬ,ܒܰܩܝܰܬ,ܐܶܬܒܰܩܝܰܬ,ܐܰܒܩܝܰܬ,ܐܶܬܬܰܒܩܝܰܬ
perfect,2MS,ܒܩܰܝܬ,ܐܶܬܒܩܺܝܬ,ܒܰܩܺܝܬ,ܐܶܬܒܰܩܺܝܬ,ܐܰܒܩܺܝܬ,ܐܶܬܬܰܒܩܺܝܬ
perfect,2FS,ܒܩܰܝܬܝ,ܐܶܬܒܩܺܝܬܝ,ܒܰܩܺܝܬܝ,ܐܶܬܒܰܩܺܝܬܝ,ܐܰܒܩܺܝܬܝ,ܐܶܬܬܰܒܩܺܝܬܝ
perfect,1CS,ܒܩܺܝܬ,ܐܶܬܒܰܩܺܝܬ,ܒܰܩܺܝܬ,ܐܶܬܒܰܩܺܝܬ,ܐܰܒܩܺܝܬ,ܐܶܬܬܰܒܩܺܝܬ
perfect,3MP,ܒܩܰܘ,ܐܶܬܒܩܺܝܘ,ܒܰܩܺܝܘ,ܐܶܬܒܰܩܺܝܘ,ܐܰܒܩܺܝܘ,ܐܶܬܬܰܒܩܺܝܘ
perfect,3FP,ܒܩܰܝ̈,ܐܶܬܒܩܺܝ̈,ܒܰܩܺܝ̈,ܐܶܬܒܰܩܺܝ̈,ܐܰܒܩܺܝ̈,ܐܶܬܬܰܒܩܺܝ̈
perfect,2MP,ܒܩܰܝܬܽܘܢ,ܐܶܬܒܩܺܝܬܽܘܢ,ܒܰܩܺܝܬܽܘܢ,ܐܶܬܒܰܩܺܝܬܽܘܢ,ܐܰܒܩܺܝܬܽܘܢ,ܐܶܬܬܰܒܩܺܝܬܽܘܢ
perfect,2FP,ܒܩܰܝܬ̈ܶܝܢ,ܐܶܬܒܩܺܝ̈ܬܶܝܢ,ܒܰܩܺܝܬ̈ܶܝܢ,ܐܶܬܒܰܩܺܝ̈ܬܶܝܢ,ܐܰܒܩܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܒܩܺܝܬܶܝ̈ܢ
perfect,1CP,ܒܩܰܝܢ,ܐܶܬܒܩܺܝܢ,ܒܰܩܺܝܢ,ܐܶܬܒܰܩܺܝܢ,ܐܰܒܩܺܝܢ,ܐܶܬܬܰܒܩܺܝܢ
imperfect,3MS,ܢܶܒܩܶܐ,ܢܶܬܒܩܶܐ,ܢܒܰܩܶܐ,ܢܶܬܒܰܩܶܐ,ܢܰܒܩܶܐ,ܢܶܬܬܰܒܩܶܐ
imperfect,3FS,ܬܶܒܩܶܐ,ܬܶܬܒܩܶܐ,ܬܒܰܩܶܐ,ܬܶܬܒܰܩܶܐ,ܬܰܒܩܶܐ,ܬܶܬܬܰܒܩܶܐ
imperfect,2MS,ܬܶܒܩܶܐ,ܬܶܬܒܩܶܐ,ܬܒܰܩܶܐ,ܬܶܬܒܰܩܶܐ,ܬܰܒܩܶܐ,ܬܶܬܬܰܒܩܶܐ
imperfect,2FS,ܬܶܒܩܶܝܢ,ܬܶܬܒܩܶܝܢ,ܬܒܰܩܶܝܢ,ܬܶܬܒܰܩܶܝܢ,ܬܰܒܩܶܝܢ,ܬܶܬܬܰܒܩܶܝܢ
imperfect,1CS,ܐܶܒܩܶܐ,ܐܶܬܒܩܶܐ,ܐܶܒܰܩܶܐ,ܐܶܬܒܰܩܶܐ,ܐܰܒܩܶܐ,ܐܶܬܬܰܒܩܶܐ
