ܒܪܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܪܳܐ,ܐܶܬܒܪܺܝ,ܒܰܪܺܝ,ܐܶܬܒܰܪܺܝ,ܐܰܒܪܺܝ,ܐܶܬܬܰܒܪܺܝ
perfect,3FS,ܒܪܳܐܬ,ܐܶܬܒܰܪܝܰܬ,ܒܰܪܝܰܬ,ܐܶܬܒܰܪܝܰܬ,ܐܰܒܪܝܰܬ,ܐܶܬܬܰܒܪܝܰܬ
perfect,2MS,ܒܪܰܝܬ,ܐܶܬܒܪܺܝܬ,ܒܰܪܺܝܬ,ܐܶܬܒܰܪܺܝܬ,ܐܰܒܪܺܝܬ,ܐܶܬܬܰܒܪܺܝܬ
perfect,2FS,ܒܪܰܝܬܝ,ܐܶܬܒܪܺܝܬܝ,ܒܰܪܺܝܬܝ,ܐܶܬܒܰܪܺܝܬܝ,ܐܰܒܪܺܝܬܝ,ܐܶܬܬܰܒܪܺܝܬܝ
perfect,1CS,ܒܪܺܝܬ,ܐܶܬܒܰܪܺܝܬ,ܒܰܪܺܝܬ,ܐܶܬܒܰܪܺܝܬ,ܐܰܒܪܺܝܬ,ܐܶܬܬܰܒܪܺܝܬ
perfect,3MP,ܒܪܰܘ,ܐܶܬܒܪܺܝܘ,ܒܰܪܺܝܘ,ܐܶܬܒܰܪܺܝܘ,ܐܰܒܪܺܝܘ,ܐܶܬܬܰܒܪܺܝܘ
perfect,3FP,ܒܪܰܝ̈,ܐܶܬܒܪܺܝ̈,ܒܰܪܺܝ̈,ܐܶܬܒܰܪܺܝ̈,ܐܰܒܪܺܝ̈,ܐܶܬܬܰܒܪܺܝ̈
perfect,2MP,ܒܪܰܝܬܽܘܢ,ܐܶܬܒܪܺܝܬܽܘܢ,ܒܰܪܺܝܬܽܘܢ,ܐܶܬܒܰܪܺܝܬܽܘܢ,ܐܰܒܪܺܝܬܽܘܢ,ܐܶܬܬܰܒܪܺܝܬܽܘܢ
perfect,2FP,ܒܪܰܝܬ̈ܶܝܢ,ܐܶܬܒܪܺܝ̈ܬܶܝܢ,ܒܰܪܺܝܬ̈ܶܝܢ,ܐܶܬܒܰܪܺܝ̈ܬܶܝܢ,ܐܰܒܪܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܒܪܺܝܬܶܝ̈ܢ
perfect,1CP,ܒܪܰܝܢ,ܐܶܬܒܪܺܝܢ,ܒܰܪܺܝܢ,ܐܶܬܒܰܪܺܝܢ,ܐܰܒܪܺܝܢ,ܐܶܬܬܰܒܪܺܝܢ
imperfect,3MS,ܢܶܒܪܶܐ,ܢܶܬܒܪܶܐ,ܢܒܰܪܶܐ,ܢܶܬܒܰܪܶܐ,ܢܰܒܪܶܐ,ܢܶܬܬܰܒܪܶܐ
imperfect,3FS,ܬܶܒܪܶܐ,ܬܶܬܒܪܶܐ,ܬܒܰܪܶܐ,ܬܶܬܒܰܪܶܐ,ܬܰܒܪܶܐ,ܬܶܬܬܰܒܪܶܐ
imperfect,2MS,ܬܶܒܪܶܐ,ܬܶܬܒܪܶܐ,ܬܒܰܪܶܐ,ܬܶܬܒܰܪܶܐ,ܬܰܒܪܶܐ,ܬܶܬܬܰܒܪܶܐ
imperfect,2FS,ܬܶܒܪܶܝܢ,ܬܶܬܒܪܶܝܢ,ܬܒܰܪܶܝܢ,ܬܶܬܒܰܪܶܝܢ,ܬܰܒܪܶܝܢ,ܬܶܬܬܰܒܪܶܝܢ
imperfect,1CS,ܐܶܒܪܶܐ,ܐܶܬܒܪܶܐ,ܐܶܒܰܪܶܐ,ܐܶܬܒܰܪܶܐ,ܐܰܒܪܶܐ,ܐܶܬܬܰܒܪܶܐ
