ܓܒܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܓܒܳܐ,ܐܶܬܓܒܺܝ,ܓܰܒܺܝ,ܐܶܬܓܰܒܺܝ,ܐܰܓܒܺܝ,ܐܶܬܬܰܓܒܺܝ
perfect,3FS,ܓܒܳܐܬ,ܐܶܬܓܰܒܝܰܬ,ܓܰܒܝܰܬ,ܐܶܬܓܰܒܝܰܬ,ܐܰܓܒܝܰܬ,ܐܶܬܬܰܓܒܝܰܬ
perfect,2MS,ܓܒܰܝܬ,ܐܶܬܓܒܺܝܬ,ܓܰܒܺܝܬ,ܐܶܬܓܰܒܺܝܬ,ܐܰܓܒܺܝܬ,ܐܶܬܬܰܓܒܺܝܬ
perfect,2FS,ܓܒܰܝܬܝ,ܐܶܬܓܒܺܝܬܝ,ܓܰܒܺܝܬܝ,ܐܶܬܓܰܒܺܝܬܝ,ܐܰܓܒܺܝܬܝ,ܐܶܬܬܰܓܒܺܝܬܝ
perfect,1CS,ܓܒܺܝܬ,ܐܶܬܓܰܒܺܝܬ,ܓܰܒܺܝܬ,ܐܶܬܓܰܒܺܝܬ,ܐܰܓܒܺܝܬ,ܐܶܬܬܰܓܒܺܝܬ
perfect,3MP,ܓܒܰܘ,ܐܶܬܓܒܺܝܘ,ܓܰܒܺܝܘ,ܐܶܬܓܰܒܺܝܘ,ܐܰܓܒܺܝܘ,ܐܶܬܬܰܓܒܺܝܘ
perfect,3FP,ܓܒܰܝ̈,ܐܶܬܓܒܺܝ̈,ܓܰܒܺܝ̈,ܐܶܬܓܰܒܺܝ̈,ܐܰܓܒܺܝ̈,ܐܶܬܬܰܓܒܺܝ̈
perfect,2MP,ܓܒܰܝܬܽܘܢ,ܐܶܬܓܒܺܝܬܽܘܢ,ܓܰܒܺܝܬܽܘܢ,ܐܶܬܓܰܒܺܝܬܽܘܢ,ܐܰܓܒܺܝܬܽܘܢ,ܐܶܬܬܰܓܒܺܝܬܽܘܢ
perfect,2FP,ܓܒܰܝܬ̈ܶܝܢ,ܐܶܬܓܒܺܝ̈ܬܶܝܢ,ܓܰܒܺܝܬ̈ܶܝܢ,ܐܶܬܓܰܒܺܝ̈ܬܶܝܢ,ܐܰܓܒܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܓܒܺܝܬܶܝ̈ܢ
