ܓܠܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܓܠܳܐ,ܐܶܬܓܠܺܝ,ܓܰܠܺܝ,ܐܶܬܓܰܠܺܝ,ܐܰܓܠܺܝ,ܐܶܬܬܰܓܠܺܝ
perfect,3FS,ܓܠܳܐܬ,ܐܶܬܓܰܠܝܰܬ,ܓܰܠܝܰܬ,ܐܶܬܓܰܠܝܰܬ,ܐܰܓܠܝܰܬ,ܐܶܬܬܰܓܠܝܰܬ
perfect,2MS,ܓܠܰܝܬ,ܐܶܬܓܠܺܝܬ,ܓܰܠܺܝܬ,ܐܶܬܓܰܠܺܝܬ,ܐܰܓܠܺܝܬ,ܐܶܬܬܰܓܠܺܝܬ
perfect,2FS,ܓܠܰܝܬܝ,ܐܶܬܓܠܺܝܬܝ,ܓܰܠܺܝܬܝ,ܐܶܬܓܰܠܺܝܬܝ,ܐܰܓܠܺܝܬܝ,ܐܶܬܬܰܓܠܺܝܬܝ
perfect,1S,ܓܠܺܝܬ,ܐܶܬܓܰܠܺܝܬ,ܓܰܠܺܝܬ,ܐܶܬܓܰܠܺܝܬ,ܐܰܓܠܺܝܬ,ܐܶܬܬܰܓܠܺܝܬ
perfect,3MP,ܓܠܰܘ,ܐܶܬܓܠܺܝܘ,ܓܰܠܺܝܘ,ܐܶܬܓܰܠܺܝܘ,ܐܰܓܠܺܝܘ,ܐܶܬܬܰܓܠܺܝܘ
perfect,3FP,ܓܠܰܝ̈,ܐܶܬܓܠܺܝ̈,ܓܰܠܺܝ̈,ܐܶܬܓܰܠܺܝ̈,ܐܰܓܠܺܝ̈,ܐܶܬܬܰܓܠܺܝ̈
perfect,2MP,ܓܠܰܝܬܽܘܢ,ܐܶܬܓܠܺܝܬܽܘܢ,ܓܰܠܺܝܬܽܘܢ,ܐܶܬܓܰܠܺܝܬܽܘܢ,ܐܰܓܠܺܝܬܽܘܢ,ܐܶܬܬܰܓܠܺܝܬܽܘܢ
perfect,2FP,ܓܠܰܝܬ̈ܶܝܢ,ܐܶܬܓܠܺܝ̈ܬܶܝܢ,ܓܰܠܺܝܬ̈ܶܝܢ,ܐܶܬܓܰܠܺܝ̈ܬܶܝܢ,ܐܰܓܠܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܓܠܺܝܬܶܝ̈ܢ
perfect,1P,ܓܠܰܝܢ,ܐܶܬܓܠܺܝܢ,ܓܰܠܺܝܢ,ܐܶܬܓܰܠܺܝܢ,ܐܰܓܠܺܝܢ,ܐܶܬܬܰܓܠܺܝܢ
imperfect,3MS,ܢܶܓܠܶܐ,ܢܶܬܓܠܶܐ,ܢܓܰܠܶܐ,ܢܶܬܓܰܠܶܐ,ܢܰܓܠܶܐ,ܢܶܬܬܰܓܠܶܐ
imperfect,3FS,ܬܶܓܠܶܐ,ܬܶܬܓܠܶܐ,ܬܓܰܠܶܐ,ܬܶܬܓܰܠܶܐ,ܬܰܓܠܶܐ,ܬܶܬܬܰܓܠܶܐ
imperfect,2MS,ܬܶܓܠܶܐ,ܬܶܬܓܠܶܐ,ܬܓܰܠܶܐ,ܬܶܬܓܰܠܶܐ,ܬܰܓܠܶܐ,ܬܶܬܬܰܓܠܶܐ
imperfect,2FS,ܬܶܓܠܶܝܢ,ܬܶܬܓܠܶܝܢ,ܬܓܰܠܶܝܢ,ܬܶܬܓܰܠܶܝܢ,ܬܰܓܠܶܝܢ,ܬܶܬܬܰܓܠܶܝܢ
imperfect,1S,ܐܶܓܠܶܐ,ܐܶܬܓܠܶܐ,ܐܶܓܰܠܶܐ,ܐܶܬܓܰܠܶܐ,ܐܰܓܠܶܐ,ܐܶܬܬܰܓܠܶܐ
imperfect,3MP,ܢܶܓܠܽܘܢ,ܢܶܬܓܠܽܘܢ,ܢܓܰܠܽܘܢ,ܢܶܬܓܰܠܽܘܢ,ܢܰܓܠܽܘܢ,ܢܶܬܬܰܓܠܽܘܢ
imperfect,3FP,ܢܶܓܠܝ̈ܳܢ,ܢܶܬܓܰܠܝ̈ܳܢ,ܢܓܰܠܝ̈ܳܢ,ܢܶܬܓܰܠ̈ܝܳܢ,ܢܰܓܠ̈ܳܢ,ܢܶܬܬܰܓܠ̈ܳܢ
imperfect,2MP,ܬܶܓܠܽܘܢ,ܬܶܬܓܠܽܘܢ,ܬܓܰܠܽܘܢ,ܬܶܬܓܰܠܽܘܢ,ܬܰܓܠܽܘܢ,ܬܶܬܬܰܓܠܽܘܢ
imperfect,2FP,ܬܶܓܠܝ̈ܳܢ,ܬܶܬܓܰܠܝ̈ܳܢ,ܬܓܰܠܝ̈ܳܢ,ܬܶܬܓܰܠ̈ܝܳܢ,ܬܰܓܠ̈ܳܢ,ܬܶܬܬܰܓܠ̈ܳܢ
imperfect,1P,ܢܶܓܠܶܐ,ܢܶܬܓܠܶܐ,ܢܓܰܠܶܐ,ܢܶܬܓܰܠܶܐ,ܢܰܓܠܶܐ,ܢܶܬܬܰܓܠܶܐ
imperative,MS,ܓܠܺܝ,ܐܶܬܓܠܰܝ,ܓܰܠܳܐ,ܐܶܬܓܰܠܳܐ,ܐܰܓܠܳܐ,ܐܶܬܬܰܓܠܳܐ
imperative,FS,ܓܠܳܝ,ܐܶܬܓܠܳܝ,ܓܰܠܳܝ,ܐܶܬܓܰܠܳܝ,ܐܰܓܠܳܝ,ܐܶܬܬܰܓܠܳܝ
imperative,MP,ܓܠܰܘ,ܐܶܬܓܠܰܘ,ܓܰܠܰܘ,ܐܶܬܓܰܠܰܘ,ܐܰܓܠܰܘ,ܐܶܬܬܰܓܠܰܘ
imperative,FP,ܓܠܰ̈ܝ,ܐܶܬܓܠܳܝ̈ܶܝܢ?,ܓܰܠܳܝ̈,ܐܶܬܓܰܠܳܝ̈,ܐܰܓܠܳܝ̈,ܐܶܬܬܰܓ̈ܠܳܝ
active-participle,MS,ܓܳܠܶܐ,ܡܶܬܓܠܶܐ,ܡܓܰܠܶܐ,ܡܶܬܓܰܠܶܐ,ܡܰܓܠܶܐ,ܡܶܬܬܰܓܠܶܐ
active-participle,FS,ܓܳܠܝܳܐ,ܡܶܬܓܰܠܝܳܐ,ܡܓܰܠܝܐ,ܡܶܬܓܰܠܝܳܐ,ܡܰܓܠܝܳܐ,ܡܶܬܬܰܓܠܝܳܐ
active-participle,MP,ܓܳܠܶܝܢ,ܡܶܬܓܠܶܝܢ,ܡܓܰܠܶܝܢ,ܡܶܬܓܰܠܶܝܢ,ܡܰܓܠܶܝܢ,ܡܶܬܬܰܓܠܶܝܢ
active-participle,FP,ܓܳܠܝ̈ܳܢ,ܡܶܬܓܰܠܝ̈ܳܢ,ܡܓܰܠܝ̈ܳܢ,ܡܶܬܓܰܠ̈ܝܳܢ,ܡܰܓܠ̈ܝܳܢ,ܡܶܬܬܰܓܠ̈ܝܳܢ
passive-participle,MS,ܓܠܶܐ,,ܡܓܰܠܰܝ,,ܡܰܓܠܰܝ,
passive-participle,FS,ܓܰܠܝܳܐ,,ܡܓܰܠܝܳܐ,,ܡܰܓܠܝܳܐ,
passive-participle,MP,ܓܠܶܝܢ,,ܡܓܰܠܶܝܢ,,ܡܰܓܠܶܝܢ,
passive-participle,FP,ܓܰܠܝ̈ܳܢ,,ܡܓܰܠܝ̈ܳܢ,,ܡܰܓܠ̈ܝܳܢ,
infinitive,,ܡܶܓܠܳܐ,ܡܶܬܓܠܳܝܽܘ,ܡܓܰܠܳܝܽܘ,ܡܶܬܓܰܠܳܝܽܘ,ܡܰܓܠܳܝܽܘ,ܡܶܬܬܰܓܠܳܝܽܘ
