ܕܟܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܟܳܐ,ܐܶܬܕܟܺܝ,ܕܰܟܺܝ,ܐܶܬܕܰܟܺܝ,ܐܰܕܟܺܝ,ܐܶܬܬܰܕܟܺܝ
perfect,3FS,ܕܟܳܐܬ,ܐܶܬܕܰܟܝܰܬ,ܕܰܟܝܰܬ,ܐܶܬܕܰܟܝܰܬ,ܐܰܕܟܝܰܬ,ܐܶܬܬܰܕܟܝܰܬ
perfect,2MS,ܕܟܰܝܬ,ܐܶܬܕܟܺܝܬ,ܕܰܟܺܝܬ,ܐܶܬܕܰܟܺܝܬ,ܐܰܕܟܺܝܬ,ܐܶܬܬܰܕܟܺܝܬ
perfect,2FS,ܕܟܰܝܬܝ,ܐܶܬܕܟܺܝܬܝ,ܕܰܟܺܝܬܝ,ܐܶܬܕܰܟܺܝܬܝ,ܐܰܕܟܺܝܬܝ,ܐܶܬܬܰܕܟܺܝܬܝ
perfect,1S,ܕܟܺܝܬ,ܐܶܬܕܰܟܺܝܬ,ܕܰܟܺܝܬ,ܐܶܬܕܰܟܺܝܬ,ܐܰܕܟܺܝܬ,ܐܶܬܬܰܕܟܺܝܬ
perfect,3MP,ܕܟܰܘ,ܐܶܬܕܟܺܝܘ,ܕܰܟܺܝܘ,ܐܶܬܕܰܟܺܝܘ,ܐܰܕܟܺܝܘ,ܐܶܬܬܰܕܟܺܝܘ
perfect,3FP,ܕܟܰܝ̈,ܐܶܬܕܟܺܝ̈,ܕܰܟܺܝ̈,ܐܶܬܕܰܟܺܝ̈,ܐܰܕܟܺܝ̈,ܐܶܬܬܰܕܟܺܝ̈
perfect,2MP,ܕܟܰܝܬܽܘܢ,ܐܶܬܕܟܺܝܬܽܘܢ,ܕܰܟܺܝܬܽܘܢ,ܐܶܬܕܰܟܺܝܬܽܘܢ,ܐܰܕܟܺܝܬܽܘܢ,ܐܶܬܬܰܕܟܺܝܬܽܘܢ
perfect,2FP,ܕܟܰܝܬ̈ܶܝܢ,ܐܶܬܕܟܺܝ̈ܬܶܝܢ,ܕܰܟܺܝܬ̈ܶܝܢ,ܐܶܬܕܰܟܺܝ̈ܬܶܝܢ,ܐܰܕܟܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܕܟܺܝܬܶܝ̈ܢ
perfect,1P,ܕܟܰܝܢ,ܐܶܬܕܟܺܝܢ,ܕܰܟܺܝܢ,ܐܶܬܕܰܟܺܝܢ,ܐܰܕܟܺܝܢ,ܐܶܬܬܰܕܟܺܝܢ
imperfect,3MS,ܢܶܕܟܶܐ,ܢܶܬܕܟܶܐ,ܢܕܰܟܶܐ,ܢܶܬܕܰܟܶܐ,ܢܰܕܟܶܐ,ܢܶܬܬܰܕܟܶܐ
imperfect,3FS,ܬܶܕܟܶܐ,ܬܶܬܕܟܶܐ,ܬܕܰܟܶܐ,ܬܶܬܕܰܟܶܐ,ܬܰܕܟܶܐ,ܬܶܬܬܰܕܟܶܐ
imperfect,2MS,ܬܶܕܟܶܐ,ܬܶܬܕܟܶܐ,ܬܕܰܟܶܐ,ܬܶܬܕܰܟܶܐ,ܬܰܕܟܶܐ,ܬܶܬܬܰܕܟܶܐ
imperfect,2FS,ܬܶܕܟܶܝܢ,ܬܶܬܕܟܶܝܢ,ܬܕܰܟܶܝܢ,ܬܶܬܕܰܟܶܝܢ,ܬܰܕܟܶܝܢ,ܬܶܬܬܰܕܟܶܝܢ
imperfect,1S,ܐܶܕܟܶܐ,ܐܶܬܕܟܶܐ,ܐܶܕܰܟܶܐ,ܐܶܬܕܰܟܶܐ,ܐܰܕܟܶܐ,ܐܶܬܬܰܕܟܶܐ
imperfect,3MP,ܢܶܕܟܽܘܢ,ܢܶܬܕܟܽܘܢ,ܢܕܰܟܽܘܢ,ܢܶܬܕܰܟܽܘܢ,ܢܰܕܟܽܘܢ,ܢܶܬܬܰܕܟܽܘܢ
imperfect,3FP,ܢܶܕܟܝ̈ܳܢ,ܢܶܬܕܰܟܝ̈ܳܢ,ܢܕܰܟܝ̈ܳܢ,ܢܶܬܕܰܟ̈ܝܳܢ,ܢܰܕܟ̈ܳܢ,ܢܶܬܬܰܕܟ̈ܳܢ
