ܕܡܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܡܳܐ,ܐܶܬܕܡܺܝ,ܕܰܡܺܝ,ܐܶܬܕܰܡܺܝ,ܐܰܕܡܺܝ,ܐܶܬܬܰܕܡܺܝ
perfect,3FS,ܕܡܳܐܬ,ܐܶܬܕܰܡܝܰܬ,ܕܰܡܝܰܬ,ܐܶܬܕܰܡܝܰܬ,ܐܰܕܡܝܰܬ,ܐܶܬܬܰܕܡܝܰܬ
perfect,2MS,ܕܡܰܝܬ,ܐܶܬܕܡܺܝܬ,ܕܰܡܺܝܬ,ܐܶܬܕܰܡܺܝܬ,ܐܰܕܡܺܝܬ,ܐܶܬܬܰܕܡܺܝܬ
perfect,2FS,ܕܡܰܝܬܝ,ܐܶܬܕܡܺܝܬܝ,ܕܰܡܺܝܬܝ,ܐܶܬܕܰܡܺܝܬܝ,ܐܰܕܡܺܝܬܝ,ܐܶܬܬܰܕܡܺܝܬܝ
perfect,1S,ܕܡܺܝܬ,ܐܶܬܕܰܡܺܝܬ,ܕܰܡܺܝܬ,ܐܶܬܕܰܡܺܝܬ,ܐܰܕܡܺܝܬ,ܐܶܬܬܰܕܡܺܝܬ
perfect,3MP,ܕܡܰܘ,ܐܶܬܕܡܺܝܘ,ܕܰܡܺܝܘ,ܐܶܬܕܰܡܺܝܘ,ܐܰܕܡܺܝܘ,ܐܶܬܬܰܕܡܺܝܘ
perfect,3FP,ܕܡܰܝ̈,ܐܶܬܕܡܺܝ̈,ܕܰܡܺܝ̈,ܐܶܬܕܰܡܺܝ̈,ܐܰܕܡܺܝ̈,ܐܶܬܬܰܕܡܺܝ̈
perfect,2MP,ܕܡܰܝܬܽܘܢ,ܐܶܬܕܡܺܝܬܽܘܢ,ܕܰܡܺܝܬܽܘܢ,ܐܶܬܕܰܡܺܝܬܽܘܢ,ܐܰܕܡܺܝܬܽܘܢ,ܐܶܬܬܰܕܡܺܝܬܽܘܢ
perfect,2FP,ܕܡܰܝܬ̈ܶܝܢ,ܐܶܬܕܡܺܝ̈ܬܶܝܢ,ܕܰܡܺܝܬ̈ܶܝܢ,ܐܶܬܕܰܡܺܝ̈ܬܶܝܢ,ܐܰܕܡܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܕܡܺܝܬܶܝ̈ܢ
perfect,1P,ܕܡܰܝܢ,ܐܶܬܕܡܺܝܢ,ܕܰܡܺܝܢ,ܐܶܬܕܰܡܺܝܢ,ܐܰܕܡܺܝܢ,ܐܶܬܬܰܕܡܺܝܢ
imperfect,3MS,ܢܶܕܡܶܐ,ܢܶܬܕܡܶܐ,ܢܕܰܡܶܐ,ܢܶܬܕܰܡܶܐ,ܢܰܕܡܶܐ,ܢܶܬܬܰܕܡܶܐ
imperfect,3FS,ܬܶܕܡܶܐ,ܬܶܬܕܡܶܐ,ܬܕܰܡܶܐ,ܬܶܬܕܰܡܶܐ,ܬܰܕܡܶܐ,ܬܶܬܬܰܕܡܶܐ
