ܙܟܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܙܟܳܐ,ܐܶܙܕܟܺܝ,ܙܰܟܺܝ,ܐܶܙܕܰܟܺܝ,ܐܰܙܟܺܝ,ܐܶܬܙܰܕܟܺܝ
perfect,3FS,ܙܟܳܐܬ,ܐܶܙܕܰܟܝܰܬ,ܙܰܟܝܰܬ,ܐܶܙܕܰܟܝܰܬ,ܐܰܙܟܝܰܬ,ܐܶܬܙܰܕܟܝܰܬ
perfect,2MS,ܙܟܰܝܬ,ܐܶܙܕܟܺܝܬ,ܙܰܟܺܝܬ,ܐܶܙܕܰܟܺܝܬ,ܐܰܙܟܺܝܬ,ܐܶܬܙܰܕܟܺܝܬ
perfect,2FS,ܙܟܰܝܬܝ,ܐܶܙܕܟܺܝܬܝ,ܙܰܟܺܝܬܝ,ܐܶܙܕܰܟܺܝܬܝ,ܐܰܙܟܺܝܬܝ,ܐܶܬܙܰܕܟܺܝܬܝ
perfect,1CS,ܙܟܺܝܬ,ܐܶܙܕܰܟܺܝܬ,ܙܰܟܺܝܬ,ܐܶܙܕܰܟܺܝܬ,ܐܰܙܟܺܝܬ,ܐܶܬܙܰܕܟܺܝܬ
perfect,3MP,ܙܟܰܘ,ܐܶܙܕܟܺܝܘ,ܙܰܟܺܝܘ,ܐܶܙܕܰܟܺܝܘ,ܐܰܙܟܺܝܘ,ܐܶܬܙܰܕܟܺܝܘ
perfect,3FP,ܙܟܰܝ̈,ܐܶܙܕܟܺܝ̈,ܙܰܟܺܝ̈,ܐܶܙܕܰܟܺܝ̈,ܐܰܙܟܺܝ̈,ܐܶܬܙܰܕܟܺܝ̈
perfect,2MP,ܙܟܰܝܬܽܘܢ,ܐܶܙܕܟܺܝܬܽܘܢ,ܙܰܟܺܝܬܽܘܢ,ܐܶܙܕܰܟܺܝܬܽܘܢ,ܐܰܙܟܺܝܬܽܘܢ,ܐܶܬܙܰܕܟܺܝܬܽܘܢ
perfect,2FP,ܙܟܰܝܬ̈ܶܝܢ,ܐܶܙܕܟܺܝ̈ܬܶܝܢ,ܙܰܟܺܝܬ̈ܶܝܢ,ܐܶܙܕܰܟܺܝ̈ܬܶܝܢ,ܐܰܙܟܺܝܬ̈ܶܝܢ,ܐܶܬܙܰܕܟܺܝܬܶܝ̈ܢ
perfect,1CP,ܙܟܰܝܢ,ܐܶܙܕܟܺܝܢ,ܙܰܟܺܝܢ,ܐܶܙܕܰܟܺܝܢ,ܐܰܙܟܺܝܢ,ܐܶܬܙܰܕܟܺܝܢ
imperfect,3MS,ܢܶܙܟܶܐ,ܢܶܙܕܟܶܐ,ܢܙܰܟܶܐ,ܢܶܙܕܰܟܶܐ,ܢܰܙܟܶܐ,ܢܶܬܙܰܕܟܶܐ
imperfect,3FS,ܬܶܙܟܶܐ,ܬܶܙܕܟܶܐ,ܬܙܰܟܶܐ,ܬܶܙܕܰܟܶܐ,ܬܰܙܟܶܐ,ܬܶܬܙܰܕܟܶܐ
imperfect,2MS,ܬܶܙܟܶܐ,ܬܶܙܕܟܶܐ,ܬܙܰܟܶܐ,ܬܶܙܕܰܟܶܐ,ܬܰܙܟܶܐ,ܬܶܬܙܰܕܟܶܐ
imperfect,2FS,ܬܶܙܟܶܝܢ,ܬܶܙܕܟܶܝܢ,ܬܙܰܟܶܝܢ,ܬܶܙܕܰܟܶܝܢ,ܬܰܙܟܶܝܢ,ܬܶܬܙܰܕܟܶܝܢ
imperfect,1CS,ܐܶܙܟܶܐ,ܐܶܙܕܟܶܐ,ܐܶܙܰܟܶܐ,ܐܶܙܕܰܟܶܐ,ܐܰܙܟܶܐ,ܐܶܬܙܰܕܟܶܐ
imperfect,3MP,ܢܶܙܟܽܘܢ,ܢܶܙܕܟܽܘܢ,ܢܙܰܟܽܘܢ,ܢܶܙܕܰܟܽܘܢ,ܢܰܙܟܽܘܢ,ܢܶܬܙܰܕܟܽܘܢ
imperfect,3FP,ܢܶܙܟܝ̈ܳܢ,ܢܶܙܕܰܟܝ̈ܳܢ,ܢܙܰܟܝ̈ܳܢ,ܢܶܙܕܰܟ̈ܝܳܢ,ܢܰܙܟ̈ܳܢ,ܢܶܬܙܰܕܟ̈ܳܢ
imperfect,2MP,ܬܶܙܟܽܘܢ,ܬܶܙܕܟܽܘܢ,ܬܙܰܟܽܘܢ,ܬܶܙܕܰܟܽܘܢ,ܬܰܙܟܽܘܢ,ܬܶܬܙܰܕܟܽܘܢ
imperfect,2FP,ܬܶܙܟܝ̈ܳܢ,ܬܶܙܕܰܟܝ̈ܳܢ,ܬܙܰܟܝ̈ܳܢ,ܬܶܙܕܰܟ̈ܝܳܢ,ܬܰܙܟ̈ܳܢ,ܬܶܬܙܰܕܟ̈ܳܢ
imperfect,1CP,ܢܶܙܟܶܐ,ܢܶܙܕܟܶܐ,ܢܙܰܟܶܐ,ܢܶܙܕܰܟܶܐ,ܢܰܙܟܶܐ,ܢܶܬܙܰܕܟܶܐ
imperative,MS,ܙܟܺܝ,ܐܶܙܕܟܰܝ,ܙܰܟܳܐ,ܐܶܙܕܰܟܳܐ,ܐܰܙܟܳܐ,ܐܶܬܙܰܕܟܳܐ
imperative,FS,ܙܟܳܝ,ܐܶܙܕܟܳܝ,ܙܰܟܳܝ,ܐܶܙܕܰܟܳܝ,ܐܰܙܟܳܝ,ܐܶܬܙܰܕܟܳܝ
