ܚܕܝ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܕܳܐ,ܐܶܬܚܕܶܝ,ܚܰܕܶܝ,ܐܶܬܚܰܕܰܝ,ܐܰܚܕܶܝ,ܐܶܬܬܰܚܕܰܝ
perfect,3FS,ܚܕܳܬ,ܐܶܬܚܰܕܝܰܬ,ܚܰܕܝܰܬ,ܐܶܬܚܰܕܝܰܬ,ܐܰܚܕܝܰܬ,ܐܶܬܬܰܚܕܝܰܬ
perfect,2MS,ܚܕܰܝܬ,ܐܶܬܚܕܶܝܬ,ܚܰܕܶܝܬ,ܐܶܬܚܰܕܰܝܬ,ܐܰܚܕܶܝܬ,ܐܶܬܬܰܚܕܰܝܬ
perfect,2FS,ܚܕܰܝܬܝ,ܐܶܬܚܕܶܝܬܝ,ܚܰܕܶܝܬܝ,ܐܶܬܚܰܕܰܝܬܝ,ܐܰܚܕܶܝܬܝ,ܐܶܬܰܚܕܰܝܬܝ
perfect,1CS,ܚܕܺܝܬ,ܐܶܬܚܰܕܝܶܬ,ܚܰܕܝܶܬ,ܐܶܬܚܰܕܝܶܬ,ܐܰܚܕܝܶܬ,ܐܶܬܰܚܕܝܶܬ
perfect,3MP,ܚܕܰܘ,ܐܶܬܚܕܶܝܘ,ܚܰܕܶܝܘ,ܐܶܬܚܰܕܰܝܘ,ܐܰܚܕܶܝܘ,ܐܶܬܬܰܚܕܰܝܘ
perfect,3FP,ܚܕܰܝ̈,ܐܶܬܚܕܶܝ̈ܝ,ܚܰܕܶܝ̈ܝ,ܐܶܬܚܰܕܰܝ̈ܝ,ܐܰܚܕܶܝ̈ܝ,ܐܶܬܬܰܚܕܰܝ̈ܝ
perfect,2MP,ܚܕܰܝܬܽܘܢ,ܐܶܬܚܕܶܝܬܽܘܢ,ܚܰܕܶܝܬܽܘܢ,ܐܶܬܚܰܕܰܝܬܽܘܢ,ܐܰܚܕܶܝܬܽܘܢ,ܐܶܬܬܰܚܕܰܝܬܽܘܢ
perfect,2FP,ܚܕܰܝܬ̈ܶܝܢ,ܐܶܬܚܕܶܝ̈ܬܶܝܢ,ܚܰܕܶܝܬ̈ܶܝܢ,ܐܶܬܚܰܕܰܝ̈ܬܶܝܢ,ܐܰܚܕܶܝܬ̈ܶܝܢ,ܐܶܬܬܰܚܕܰܝ̈ܬܶܝܢ
perfect,1CP,ܚܕܰܝܢ,ܐܶܬܚܕܶܝܢ,ܚܰܕܶܝܢ,ܐܶܬܚܰܕܰܝܢ,ܐܰܚܕܶܝܢ,ܐܶܬܬܰܚܕܰܝܢ
imperfect,3MS,ܢܶܚܕܶܐ,ܢܶܬܚܕܶܝ,ܢܚܰܕܶܝ,ܢܶܬܚܰܕܰܝ,ܢܰܚܕܶܝ,ܢܶܬܬܰܚܕܰܝ
imperfect,3FS,ܬܶܚܕܶܐ,ܬܶܬܚܕܶܝ,ܬܚܰܕܶܝ,ܬܶܬܚܰܕܰܝ,ܬܰܚܕܶܝ,ܬܶܬܬܰܚܕܰܝܝ
imperfect,2MS,ܬܶܚܕܶܐ,ܬܶܬܚܕܶܝ,ܬܚܰܕܶܝ,ܬܶܬܚܰܕܰܝ,ܬܰܚܕܶܝ,ܬܶܬܬܰܚܕܰܝ
imperfect,2FS,ܬܶܚܕܺܝܢ,ܬܶܬܚܰܕܝܺܝܢ,ܬܚܰܕܝܺܝܢ,ܬܶܬܚܰܕܝܺܝܢ,ܬܰܚܕܝܺܝܢ,ܬܶܬܬܰܚܕܝܺܝܢ
imperfect,1CS,ܐܶܚܕܶܐ,ܐܶܬܚܕܶܝ,ܐܶܚܰܕܶܝ,ܐܶܬܚܰܕܰܝ,ܐܰܚܕܶܝ,ܐܶܬܬܰܚܕܰܝ
imperfect,3MP,ܢܶܚܕܽܘܢ,ܢܶܬܚܰܕܝܽܘܢ,ܢܚܰܕܝܽܘܢ,ܢܶܬܚܰܕܝܽܘܢ,ܢܰܚܕܝܽܘܢ,ܢܶܬܬܰܚܕܝܽܘܢ
imperfect,3FP,ܢܶܚ̈ܕܳܢ,ܢܶܬܚܰܕܝ̈ܳܢ,ܢܚܰܕܝ̈ܳܢ,ܢܶܬܚܰܕܝ̈ܳܢ,ܢܰܚܕܝ̈ܳܢ,ܢܶܬܬܰܚܕܝ̈ܳܢ
imperfect,2MP,ܬܶܚܕܽܘܢ,ܬܶܬܚܰܕܝܽܘܢ,ܬܚܰܕܝܽܘܢ,ܬܶܬܚܰܕܝܽܘܢ,ܬܰܚܕܝܽܘܢ,ܬܶܬܬܰܚܕܝܽܘܢ
imperfect,2FP,ܬܶܚ̈ܕܳܢ,ܬܶܬܚܰܕܝ̈ܳܢ,ܬܚܰܕܝ̈ܳܢ,ܬܶܬܚܰܕܝ̈ܳܢ,ܬܰܚܕܝ̈ܳܢ,ܬܶܬܬܰܚܕܝ̈ܳܢ
imperfect,1CP,ܢܶܚܕܶܐ,ܢܶܬܚܕܶܝ,ܢܚܰܕܶܝ,ܢܶܬܚܰܕܰܝ,ܢܰܚܕܶܝ,ܢܶܬܬܰܚܕܰܝ
imperative,MS,ܚܕܺܝ,ܐܶܬܚܰܕܝ,ܚܰܕܶܝ,ܐܶܬܚܰܕܰܝ,ܐܰܚܕܶܝ,ܐܶܬܬܰܚܕܰܝ
imperative,FS,ܚܕܳܝ,ܐܶܬܚܰܕܝܝ,ܚܰܕܶܝܝ,ܐܶܬܚܰܕܰܝܝ,ܐܰܚܕܶܝܝ,ܐܶܬܬܰܚܕܰܝܝ
imperative,MP,ܚܕܰܘ,ܐܶܬܚܰܕܝܘ,ܚܰܕܶܝܘ,ܐܶܬܚܰܕܰܝܘ,ܐܰܚܕܶܝܘ,ܐܶܬܬܰܚܕܰܝܘ
imperative,FP,ܚ̈ܕܳܝܶܝܢ,ܐܶܬܚܰܕܝ̈ܝ,ܚܰܕܶܝ̈ܝ,ܐܶܬܚܰܕܰܝ̈ܝ,ܐܰܚܕܶܝ̈ܝ,ܐܶܬܬܰܚܕܰܝ̈ܝ
active-participle,MS,ܚܳܕܶܐ,ܡܶܬܚܕܶܝ,ܡܚܰܕܶܝ,ܡܶܬܚܰܕܰܝ,ܡܰܚܕܶܝ,ܡܶܬܬܰܚܕܰܝ
active-participle,FS,ܚܳܕܝܳܐ,ܡܶܬܚܰܕܝܳܐ,ܡܚܰܕܝܳܐ,ܡܶܬܚܰܕܝܳܐ,ܡܰܚܕܝܳܐ,ܡܶܬܬܰܚܕܝܳܐ
active-participle,MP,ܚܳܕܶܝܢ,ܡܶܬܚܰܕܝܺܝܢ,ܡܚܰܕܝܺܝܢ,ܡܶܬܚܰܕܝܺܝܢ,ܡܰܚܕܝܺܝܢ,ܡܶܬܬܰܚܕܝܺܝܢ
active-participle,FP,ܚܳܕ̈ܝܳܢ,ܡܶܬܚܰܕܝ̈ܳܢ,ܡܚܰܕܝ̈ܳܢ,ܡܶܬܚܰܕܝ̈ܳܢ,ܡܰܚܕܝ̈ܳܢ,ܡܶܬܬܰܚܕܝ̈ܳܢ
passive-participle,MS,ܚܕܶܐ,,ܡܚܰܕܰܝ,,ܡܰܚܕܰܝ,
passive-participle,FS,ܚܰܕܝܳܐ,,ܡܚܰܕܝܳܐ,,ܡܰܚܕܝܳܐ,
passive-participle,MP,ܚܕܶܝܢ,,ܡܚܰܕܝܺܝܢ,,ܡܰܚܕܝܺܝܢ,
passive-participle,FP,ܚܰܕܝ̈ܳܢ,,ܡܚܰܕ̈ܝܳܢ,,ܡܰܚܕ̈ܝܳܢ,
infinitive,,ܡܶܚܕܶܐ,ܡܶܬܚܕܳܝܽܘ,ܡܚܰܕܳܝܽܘ,ܡܶܬܚܰܕܳܝܽܘ,ܡܰܚܕܳܝܽܘ,ܡܶܬܬܰܚܕܳܝܽܘ
