ܚܙܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܙܳܐ,ܐܶܬܚܙܺܝ,ܚܰܙܺܝ,ܐܶܬܚܰܙܺܝ,ܐܰܚܙܺܝ,ܐܶܬܬܰܚܙܺܝ
perfect,3FS,ܚܙܳܐܬ,ܐܶܬܚܰܙܝܰܬ,ܚܰܙܝܰܬ,ܐܶܬܚܰܙܝܰܬ,ܐܰܚܙܝܰܬ,ܐܶܬܬܰܚܙܝܰܬ
perfect,2MS,ܚܙܰܝܬ,ܐܶܬܚܙܺܝܬ,ܚܰܙܺܝܬ,ܐܶܬܚܰܙܺܝܬ,ܐܰܚܙܺܝܬ,ܐܶܬܬܰܚܙܺܝܬ
perfect,2FS,ܚܙܰܝܬܝ,ܐܶܬܚܙܺܝܬܝ,ܚܰܙܺܝܬܝ,ܐܶܬܚܰܙܺܝܬܝ,ܐܰܚܙܺܝܬܝ,ܐܶܬܬܰܚܙܺܝܬܝ
perfect,1S,ܚܙܺܝܬ,ܐܶܬܚܰܙܺܝܬ,ܚܰܙܺܝܬ,ܐܶܬܚܰܙܺܝܬ,ܐܰܚܙܺܝܬ,ܐܶܬܬܰܚܙܺܝܬ
perfect,3MP,ܚܙܰܘ,ܐܶܬܚܙܺܝܘ,ܚܰܙܺܝܘ,ܐܶܬܚܰܙܺܝܘ,ܐܰܚܙܺܝܘ,ܐܶܬܬܰܚܙܺܝܘ
perfect,3FP,ܚܙܰܝ̈,ܐܶܬܚܙܺܝ̈,ܚܰܙܺܝ̈,ܐܶܬܚܰܙܺܝ̈,ܐܰܚܙܺܝ̈,ܐܶܬܬܰܚܙܺܝ̈
perfect,2MP,ܚܙܰܝܬܽܘܢ,ܐܶܬܚܙܺܝܬܽܘܢ,ܚܰܙܺܝܬܽܘܢ,ܐܶܬܚܰܙܺܝܬܽܘܢ,ܐܰܚܙܺܝܬܽܘܢ,ܐܶܬܬܰܚܙܺܝܬܽܘܢ
perfect,2FP,ܚܙܰܝܬ̈ܶܝܢ,ܐܶܬܚܙܺܝ̈ܬܶܝܢ,ܚܰܙܺܝܬ̈ܶܝܢ,ܐܶܬܚܰܙܺܝ̈ܬܶܝܢ,ܐܰܚܙܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܚܙܺܝܬܶܝ̈ܢ
perfect,1P,ܚܙܰܝܢ,ܐܶܬܚܙܺܝܢ,ܚܰܙܺܝܢ,ܐܶܬܚܰܙܺܝܢ,ܐܰܚܙܺܝܢ,ܐܶܬܬܰܚܙܺܝܢ
imperfect,3MS,ܢܶܚܙܶܐ,ܢܶܬܚܙܶܐ,ܢܚܰܙܶܐ,ܢܶܬܚܰܙܶܐ,ܢܰܚܙܶܐ,ܢܶܬܬܰܚܙܶܐ
imperfect,3FS,ܬܶܚܙܶܐ,ܬܶܬܚܙܶܐ,ܬܚܰܙܶܐ,ܬܶܬܚܰܙܶܐ,ܬܰܚܙܶܐ,ܬܶܬܬܰܚܙܶܐ
imperfect,2MS,ܬܶܚܙܶܐ,ܬܶܬܚܙܶܐ,ܬܚܰܙܶܐ,ܬܶܬܚܰܙܶܐ,ܬܰܚܙܶܐ,ܬܶܬܬܰܚܙܶܐ
imperfect,2FS,ܬܶܚܙܶܝܢ,ܬܶܬܚܙܶܝܢ,ܬܚܰܙܶܝܢ,ܬܶܬܚܰܙܶܝܢ,ܬܰܚܙܶܝܢ,ܬܶܬܬܰܚܙܶܝܢ
imperfect,1S,ܐܶܚܙܶܐ,ܐܶܬܚܙܶܐ,ܐܶܚܰܙܶܐ,ܐܶܬܚܰܙܶܐ,ܐܰܚܙܶܐ,ܐܶܬܬܰܚܙܶܐ
imperfect,3MP,ܢܶܚܙܽܘܢ,ܢܶܬܚܙܽܘܢ,ܢܚܰܙܽܘܢ,ܢܶܬܚܰܙܽܘܢ,ܢܰܚܙܽܘܢ,ܢܶܬܬܰܚܙܽܘܢ
imperfect,3FP,ܢܶܚܙܝ̈ܳܢ,ܢܶܬܚܰܙܝ̈ܳܢ,ܢܚܰܙܝ̈ܳܢ,ܢܶܬܚܰܙ̈ܝܳܢ,ܢܰܚܙ̈ܳܢ,ܢܶܬܬܰܚܙ̈ܳܢ
imperfect,2MP,ܬܶܚܙܽܘܢ,ܬܶܬܚܙܽܘܢ,ܬܚܰܙܽܘܢ,ܬܶܬܚܰܙܽܘܢ,ܬܰܚܙܽܘܢ,ܬܶܬܬܰܚܙܽܘܢ
imperfect,2FP,ܬܶܚܙܝ̈ܳܢ,ܬܶܬܚܰܙܝ̈ܳܢ,ܬܚܰܙܝ̈ܳܢ,ܬܶܬܚܰܙ̈ܝܳܢ,ܬܰܚܙ̈ܳܢ,ܬܶܬܬܰܚܙ̈ܳܢ
imperfect,1P,ܢܶܚܙܶܐ,ܢܶܬܚܙܶܐ,ܢܚܰܙܶܐ,ܢܶܬܚܰܙܶܐ,ܢܰܚܙܶܐ,ܢܶܬܬܰܚܙܶܐ
imperative,MS,ܚܙܺܝ,ܐܶܬܚܙܰܝ,ܚܰܙܳܐ,ܐܶܬܚܰܙܳܐ,ܐܰܚܙܳܐ,ܐܶܬܬܰܚܙܳܐ
imperative,FS,ܚܙܳܝ,ܐܶܬܚܙܳܝ,ܚܰܙܳܝ,ܐܶܬܚܰܙܳܝ,ܐܰܚܙܳܝ,ܐܶܬܬܰܚܙܳܝ
imperative,MP,ܚܙܰܘ,ܐܶܬܚܙܰܘ,ܚܰܙܰܘ,ܐܶܬܚܰܙܰܘ,ܐܰܚܙܰܘ,ܐܶܬܬܰܚܙܰܘ
imperative,FP,ܚܙܰ̈ܝ,ܐܶܬܚܙܳܝ̈ܶܝܢ?,ܚܰܙܳܝ̈,ܐܶܬܚܰܙܳܝ̈,ܐܰܚܙܳܝ̈,ܐܶܬܬܰܚ̈ܙܳܝ
active-participle,MS,ܚܳܙܶܐ,ܡܶܬܚܙܶܐ,ܡܚܰܙܶܐ,ܡܶܬܚܰܙܶܐ,ܡܰܚܙܶܐ,ܡܶܬܬܰܚܙܶܐ
active-participle,FS,ܚܳܙܝܳܐ,ܡܶܬܚܰܙܝܳܐ,ܡܚܰܙܝܐ,ܡܶܬܚܰܙܝܳܐ,ܡܰܚܙܝܳܐ,ܡܶܬܬܰܚܙܝܳܐ
active-participle,MP,ܚܳܙܶܝܢ,ܡܶܬܚܙܶܝܢ,ܡܚܰܙܶܝܢ,ܡܶܬܚܰܙܶܝܢ,ܡܰܚܙܶܝܢ,ܡܶܬܬܰܚܙܶܝܢ
active-participle,FP,ܚܳܙܝ̈ܳܢ,ܡܶܬܚܰܙܝ̈ܳܢ,ܡܚܰܙܝ̈ܳܢ,ܡܶܬܚܰܙ̈ܝܳܢ,ܡܰܚܙ̈ܝܳܢ,ܡܶܬܬܰܚܙ̈ܝܳܢ
passive-participle,MS,ܚܙܶܐ,,ܡܚܰܙܰܝ,,ܡܰܚܙܰܝ,
passive-participle,FS,ܚܰܙܝܳܐ,,ܡܚܰܙܝܳܐ,,ܡܰܚܙܝܳܐ,
passive-participle,MP,ܚܙܶܝܢ,,ܡܚܰܙܶܝܢ,,ܡܰܚܙܶܝܢ,
passive-participle,FP,ܚܰܙܝ̈ܳܢ,,ܡܚܰܙܝ̈ܳܢ,,ܡܰܚܙ̈ܝܳܢ,
infinitive,,ܡܶܚܙܳܐ,ܡܶܬܚܙܳܝܽܘ,ܡܚܰܙܳܝܽܘ,ܡܶܬܚܰܙܳܝܽܘ,ܡܰܚܙܳܝܽܘ,ܡܶܬܬܰܚܙܳܝܽܘ
