ܚܛܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܛܳܐ,ܐܶܬܚܛܺܝ,ܚܰܛܺܝ,ܐܶܬܚܰܛܺܝ,ܐܰܚܛܺܝ,ܐܶܬܬܰܚܛܺܝ
perfect,3FS,ܚܛܳܐܬ,ܐܶܬܚܰܛܝܰܬ,ܚܰܛܝܰܬ,ܐܶܬܚܰܛܝܰܬ,ܐܰܚܛܝܰܬ,ܐܶܬܬܰܚܛܝܰܬ
perfect,2MS,ܚܛܰܝܬ,ܐܶܬܚܛܺܝܬ,ܚܰܛܺܝܬ,ܐܶܬܚܰܛܺܝܬ,ܐܰܚܛܺܝܬ,ܐܶܬܬܰܚܛܺܝܬ
perfect,2FS,ܚܛܰܝܬܝ,ܐܶܬܚܛܺܝܬܝ,ܚܰܛܺܝܬܝ,ܐܶܬܚܰܛܺܝܬܝ,ܐܰܚܛܺܝܬܝ,ܐܶܬܬܰܚܛܺܝܬܝ
perfect,1S,ܚܛܺܝܬ,ܐܶܬܚܰܛܺܝܬ,ܚܰܛܺܝܬ,ܐܶܬܚܰܛܺܝܬ,ܐܰܚܛܺܝܬ,ܐܶܬܬܰܚܛܺܝܬ
perfect,3MP,ܚܛܰܘ,ܐܶܬܚܛܺܝܘ,ܚܰܛܺܝܘ,ܐܶܬܚܰܛܺܝܘ,ܐܰܚܛܺܝܘ,ܐܶܬܬܰܚܛܺܝܘ
perfect,3FP,ܚܛܰܝ̈,ܐܶܬܚܛܺܝ̈,ܚܰܛܺܝ̈,ܐܶܬܚܰܛܺܝ̈,ܐܰܚܛܺܝ̈,ܐܶܬܬܰܚܛܺܝ̈
perfect,2MP,ܚܛܰܝܬܽܘܢ,ܐܶܬܚܛܺܝܬܽܘܢ,ܚܰܛܺܝܬܽܘܢ,ܐܶܬܚܰܛܺܝܬܽܘܢ,ܐܰܚܛܺܝܬܽܘܢ,ܐܶܬܬܰܚܛܺܝܬܽܘܢ
perfect,2FP,ܚܛܰܝܬ̈ܶܝܢ,ܐܶܬܚܛܺܝ̈ܬܶܝܢ,ܚܰܛܺܝܬ̈ܶܝܢ,ܐܶܬܚܰܛܺܝ̈ܬܶܝܢ,ܐܰܚܛܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܚܛܺܝܬܶܝ̈ܢ
perfect,1P,ܚܛܰܝܢ,ܐܶܬܚܛܺܝܢ,ܚܰܛܺܝܢ,ܐܶܬܚܰܛܺܝܢ,ܐܰܚܛܺܝܢ,ܐܶܬܬܰܚܛܺܝܢ
imperfect,3MS,ܢܶܚܛܶܐ,ܢܶܬܚܛܶܐ,ܢܚܰܛܶܐ,ܢܶܬܚܰܛܶܐ,ܢܰܚܛܶܐ,ܢܶܬܬܰܚܛܶܐ
imperfect,3FS,ܬܶܚܛܶܐ,ܬܶܬܚܛܶܐ,ܬܚܰܛܶܐ,ܬܶܬܚܰܛܶܐ,ܬܰܚܛܶܐ,ܬܶܬܬܰܚܛܶܐ
imperfect,2MS,ܬܶܚܛܶܐ,ܬܶܬܚܛܶܐ,ܬܚܰܛܶܐ,ܬܶܬܚܰܛܶܐ,ܬܰܚܛܶܐ,ܬܶܬܬܰܚܛܶܐ
imperfect,2FS,ܬܶܚܛܶܝܢ,ܬܶܬܚܛܶܝܢ,ܬܚܰܛܶܝܢ,ܬܶܬܚܰܛܶܝܢ,ܬܰܚܛܶܝܢ,ܬܶܬܬܰܚܛܶܝܢ
imperfect,1S,ܐܶܚܛܶܐ,ܐܶܬܚܛܶܐ,ܐܶܚܰܛܶܐ,ܐܶܬܚܰܛܶܐ,ܐܰܚܛܶܐ,ܐܶܬܬܰܚܛܶܐ
imperfect,3MP,ܢܶܚܛܽܘܢ,ܢܶܬܚܛܽܘܢ,ܢܚܰܛܽܘܢ,ܢܶܬܚܰܛܽܘܢ,ܢܰܚܛܽܘܢ,ܢܶܬܬܰܚܛܽܘܢ
