ܛܫܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܛܫܳܐ,ܐܶܬܛܫܺܝ,ܛܰܫܺܝ,ܐܶܬܛܰܫܺܝ,ܐܰܛܫܺܝ,ܐܶܬܬܰܛܫܺܝ
perfect,3FS,ܛܫܳܐܬ,ܐܶܬܛܰܫܝܰܬ,ܛܰܫܝܰܬ,ܐܶܬܛܰܫܝܰܬ,ܐܰܛܫܝܰܬ,ܐܶܬܬܰܛܫܝܰܬ
perfect,2MS,ܛܫܰܝܬ,ܐܶܬܛܫܺܝܬ,ܛܰܫܺܝܬ,ܐܶܬܛܰܫܺܝܬ,ܐܰܛܫܺܝܬ,ܐܶܬܬܰܛܫܺܝܬ
perfect,2FS,ܛܫܰܝܬܝ,ܐܶܬܛܫܺܝܬܝ,ܛܰܫܺܝܬܝ,ܐܶܬܛܰܫܺܝܬܝ,ܐܰܛܫܺܝܬܝ,ܐܶܬܬܰܛܫܺܝܬܝ
perfect,1CS,ܛܫܺܝܬ,ܐܶܬܛܰܫܺܝܬ,ܛܰܫܺܝܬ,ܐܶܬܛܰܫܺܝܬ,ܐܰܛܫܺܝܬ,ܐܶܬܬܰܛܫܺܝܬ
perfect,3MP,ܛܫܰܘ,ܐܶܬܛܫܺܝܘ,ܛܰܫܺܝܘ,ܐܶܬܛܰܫܺܝܘ,ܐܰܛܫܺܝܘ,ܐܶܬܬܰܛܫܺܝܘ
perfect,3FP,ܛܫܰܝ̈,ܐܶܬܛܫܺܝ̈,ܛܰܫܺܝ̈,ܐܶܬܛܰܫܺܝ̈,ܐܰܛܫܺܝ̈,ܐܶܬܬܰܛܫܺܝ̈
perfect,2MP,ܛܫܰܝܬܽܘܢ,ܐܶܬܛܫܺܝܬܽܘܢ,ܛܰܫܺܝܬܽܘܢ,ܐܶܬܛܰܫܺܝܬܽܘܢ,ܐܰܛܫܺܝܬܽܘܢ,ܐܶܬܬܰܛܫܺܝܬܽܘܢ
perfect,2FP,ܛܫܰܝܬ̈ܶܝܢ,ܐܶܬܛܫܺܝ̈ܬܶܝܢ,ܛܰܫܺܝܬ̈ܶܝܢ,ܐܶܬܛܰܫܺܝ̈ܬܶܝܢ,ܐܰܛܫܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܛܫܺܝܬܶܝ̈ܢ
perfect,1CP,ܛܫܰܝܢ,ܐܶܬܛܫܺܝܢ,ܛܰܫܺܝܢ,ܐܶܬܛܰܫܺܝܢ,ܐܰܛܫܺܝܢ,ܐܶܬܬܰܛܫܺܝܢ
imperfect,3MS,ܢܶܛܫܶܐ,ܢܶܬܛܫܶܐ,ܢܛܰܫܶܐ,ܢܶܬܛܰܫܶܐ,ܢܰܛܫܶܐ,ܢܶܬܬܰܛܫܶܐ
imperfect,3FS,ܬܶܛܫܶܐ,ܬܶܬܛܫܶܐ,ܬܛܰܫܶܐ,ܬܶܬܛܰܫܶܐ,ܬܰܛܫܶܐ,ܬܶܬܬܰܛܫܶܐ
imperfect,2MS,ܬܶܛܫܶܐ,ܬܶܬܛܫܶܐ,ܬܛܰܫܶܐ,ܬܶܬܛܰܫܶܐ,ܬܰܛܫܶܐ,ܬܶܬܬܰܛܫܶܐ
imperfect,2FS,ܬܶܛܫܶܝܢ,ܬܶܬܛܫܶܝܢ,ܬܛܰܫܶܝܢ,ܬܶܬܛܰܫܶܝܢ,ܬܰܛܫܶܝܢ,ܬܶܬܬܰܛܫܶܝܢ
imperfect,1CS,ܐܶܛܫܶܐ,ܐܶܬܛܫܶܐ,ܐܶܛܰܫܶܐ,ܐܶܬܛܰܫܶܐ,ܐܰܛܫܶܐ,ܐܶܬܬܰܛܫܶܐ
imperfect,3MP,ܢܶܛܫܽܘܢ,ܢܶܬܛܫܽܘܢ,ܢܛܰܫܽܘܢ,ܢܶܬܛܰܫܽܘܢ,ܢܰܛܫܽܘܢ,ܢܶܬܬܰܛܫܽܘܢ
imperfect,3FP,ܢܶܛܫܝ̈ܳܢ,ܢܶܬܛܰܫܝ̈ܳܢ,ܢܛܰܫܝ̈ܳܢ,ܢܶܬܛܰܫ̈ܝܳܢ,ܢܰܛܫ̈ܳܢ,ܢܶܬܬܰܛܫ̈ܳܢ
imperfect,2MP,ܬܶܛܫܽܘܢ,ܬܶܬܛܫܽܘܢ,ܬܛܰܫܽܘܢ,ܬܶܬܛܰܫܽܘܢ,ܬܰܛܫܽܘܢ,ܬܶܬܬܰܛܫܽܘܢ
imperfect,2FP,ܬܶܛܫܝ̈ܳܢ,ܬܶܬܛܰܫܝ̈ܳܢ,ܬܛܰܫܝ̈ܳܢ,ܬܶܬܛܰܫ̈ܝܳܢ,ܬܰܛܫ̈ܳܢ,ܬܶܬܬܰܛܫ̈ܳܢ
