ܟܣܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܣܳܐ,ܐܶܬܟܣܺܝ,ܟܰܣܺܝ,ܐܶܬܟܰܣܺܝ,ܐܰܟܣܺܝ,ܐܶܬܬܰܟܣܺܝ
perfect,3FS,ܟܣܳܐܬ,ܐܶܬܟܰܣܝܰܬ,ܟܰܣܝܰܬ,ܐܶܬܟܰܣܝܰܬ,ܐܰܟܣܝܰܬ,ܐܶܬܬܰܟܣܝܰܬ
perfect,2MS,ܟܣܰܝܬ,ܐܶܬܟܣܺܝܬ,ܟܰܣܺܝܬ,ܐܶܬܟܰܣܺܝܬ,ܐܰܟܣܺܝܬ,ܐܶܬܬܰܟܣܺܝܬ
perfect,2FS,ܟܣܰܝܬܝ,ܐܶܬܟܣܺܝܬܝ,ܟܰܣܺܝܬܝ,ܐܶܬܟܰܣܺܝܬܝ,ܐܰܟܣܺܝܬܝ,ܐܶܬܬܰܟܣܺܝܬܝ
perfect,1S,ܟܣܺܝܬ,ܐܶܬܟܰܣܺܝܬ,ܟܰܣܺܝܬ,ܐܶܬܟܰܣܺܝܬ,ܐܰܟܣܺܝܬ,ܐܶܬܬܰܟܣܺܝܬ
perfect,3MP,ܟܣܰܘ,ܐܶܬܟܣܺܝܘ,ܟܰܣܺܝܘ,ܐܶܬܟܰܣܺܝܘ,ܐܰܟܣܺܝܘ,ܐܶܬܬܰܟܣܺܝܘ
perfect,3FP,ܟܣܰܝ̈,ܐܶܬܟܣܺܝ̈,ܟܰܣܺܝ̈,ܐܶܬܟܰܣܺܝ̈,ܐܰܟܣܺܝ̈,ܐܶܬܬܰܟܣܺܝ̈
perfect,2MP,ܟܣܰܝܬܽܘܢ,ܐܶܬܟܣܺܝܬܽܘܢ,ܟܰܣܺܝܬܽܘܢ,ܐܶܬܟܰܣܺܝܬܽܘܢ,ܐܰܟܣܺܝܬܽܘܢ,ܐܶܬܬܰܟܣܺܝܬܽܘܢ
perfect,2FP,ܟܣܰܝܬ̈ܶܝܢ,ܐܶܬܟܣܺܝ̈ܬܶܝܢ,ܟܰܣܺܝܬ̈ܶܝܢ,ܐܶܬܟܰܣܺܝ̈ܬܶܝܢ,ܐܰܟܣܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܟܣܺܝܬܶܝ̈ܢ
perfect,1P,ܟܣܰܝܢ,ܐܶܬܟܣܺܝܢ,ܟܰܣܺܝܢ,ܐܶܬܟܰܣܺܝܢ,ܐܰܟܣܺܝܢ,ܐܶܬܬܰܟܣܺܝܢ
imperfect,3MS,ܢܶܟܣܶܐ,ܢܶܬܟܣܶܐ,ܢܟܰܣܶܐ,ܢܶܬܟܰܣܶܐ,ܢܰܟܣܶܐ,ܢܶܬܬܰܟܣܶܐ
imperfect,3FS,ܬܶܟܣܶܐ,ܬܶܬܟܣܶܐ,ܬܟܰܣܶܐ,ܬܶܬܟܰܣܶܐ,ܬܰܟܣܶܐ,ܬܶܬܬܰܟܣܶܐ
imperfect,2MS,ܬܶܟܣܶܐ,ܬܶܬܟܣܶܐ,ܬܟܰܣܶܐ,ܬܶܬܟܰܣܶܐ,ܬܰܟܣܶܐ,ܬܶܬܬܰܟܣܶܐ
imperfect,2FS,ܬܶܟܣܶܝܢ,ܬܶܬܟܣܶܝܢ,ܬܟܰܣܶܝܢ,ܬܶܬܟܰܣܶܝܢ,ܬܰܟܣܶܝܢ,ܬܶܬܬܰܟܣܶܝܢ
imperfect,1S,ܐܶܟܣܶܐ,ܐܶܬܟܣܶܐ,ܐܶܟܰܣܶܐ,ܐܶܬܟܰܣܶܐ,ܐܰܟܣܶܐ,ܐܶܬܬܰܟܣܶܐ
imperfect,3MP,ܢܶܟܣܽܘܢ,ܢܶܬܟܣܽܘܢ,ܢܟܰܣܽܘܢ,ܢܶܬܟܰܣܽܘܢ,ܢܰܟܣܽܘܢ,ܢܶܬܬܰܟܣܽܘܢ
imperfect,3FP,ܢܶܟܣܝ̈ܳܢ,ܢܶܬܟܰܣܝ̈ܳܢ,ܢܟܰܣܝ̈ܳܢ,ܢܶܬܟܰܣ̈ܝܳܢ,ܢܰܟܣ̈ܳܢ,ܢܶܬܬܰܟܣ̈ܳܢ
imperfect,2MP,ܬܶܟܣܽܘܢ,ܬܶܬܟܣܽܘܢ,ܬܟܰܣܽܘܢ,ܬܶܬܟܰܣܽܘܢ,ܬܰܟܣܽܘܢ,ܬܶܬܬܰܟܣܽܘܢ
imperfect,2FP,ܬܶܟܣܝ̈ܳܢ,ܬܶܬܟܰܣܝ̈ܳܢ,ܬܟܰܣܝ̈ܳܢ,ܬܶܬܟܰܣ̈ܝܳܢ,ܬܰܟܣ̈ܳܢ,ܬܶܬܬܰܟܣ̈ܳܢ
