ܟܪܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܪܳܐ,ܐܶܬܟܪܺܝ,ܟܰܪܺܝ,ܐܶܬܟܰܪܺܝ,ܐܰܟܪܺܝ,ܐܶܬܬܰܟܪܺܝ
perfect,3FS,ܟܪܳܐܬ,ܐܶܬܟܰܪܝܰܬ,ܟܰܪܝܰܬ,ܐܶܬܟܰܪܝܰܬ,ܐܰܟܪܝܰܬ,ܐܶܬܬܰܟܪܝܰܬ
perfect,2MS,ܟܪܰܝܬ,ܐܶܬܟܪܺܝܬ,ܟܰܪܺܝܬ,ܐܶܬܟܰܪܺܝܬ,ܐܰܟܪܺܝܬ,ܐܶܬܬܰܟܪܺܝܬ
perfect,2FS,ܟܪܰܝܬܝ,ܐܶܬܟܪܺܝܬܝ,ܟܰܪܺܝܬܝ,ܐܶܬܟܰܪܺܝܬܝ,ܐܰܟܪܺܝܬܝ,ܐܶܬܬܰܟܪܺܝܬܝ
perfect,1S,ܟܪܺܝܬ,ܐܶܬܟܰܪܺܝܬ,ܟܰܪܺܝܬ,ܐܶܬܟܰܪܺܝܬ,ܐܰܟܪܺܝܬ,ܐܶܬܬܰܟܪܺܝܬ
perfect,3MP,ܟܪܰܘ,ܐܶܬܟܪܺܝܘ,ܟܰܪܺܝܘ,ܐܶܬܟܰܪܺܝܘ,ܐܰܟܪܺܝܘ,ܐܶܬܬܰܟܪܺܝܘ
perfect,3FP,ܟܪܰܝ̈,ܐܶܬܟܪܺܝ̈,ܟܰܪܺܝ̈,ܐܶܬܟܰܪܺܝ̈,ܐܰܟܪܺܝ̈,ܐܶܬܬܰܟܪܺܝ̈
perfect,2MP,ܟܪܰܝܬܽܘܢ,ܐܶܬܟܪܺܝܬܽܘܢ,ܟܰܪܺܝܬܽܘܢ,ܐܶܬܟܰܪܺܝܬܽܘܢ,ܐܰܟܪܺܝܬܽܘܢ,ܐܶܬܬܰܟܪܺܝܬܽܘܢ
perfect,2FP,ܟܪܰܝܬ̈ܶܝܢ,ܐܶܬܟܪܺܝ̈ܬܶܝܢ,ܟܰܪܺܝܬ̈ܶܝܢ,ܐܶܬܟܰܪܺܝ̈ܬܶܝܢ,ܐܰܟܪܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܟܪܺܝܬܶܝ̈ܢ
perfect,1P,ܟܪܰܝܢ,ܐܶܬܟܪܺܝܢ,ܟܰܪܺܝܢ,ܐܶܬܟܰܪܺܝܢ,ܐܰܟܪܺܝܢ,ܐܶܬܬܰܟܪܺܝܢ
imperfect,3MS,ܢܶܟܪܶܐ,ܢܶܬܟܪܶܐ,ܢܟܰܪܶܐ,ܢܶܬܟܰܪܶܐ,ܢܰܟܪܶܐ,ܢܶܬܬܰܟܪܶܐ
imperfect,3FS,ܬܶܟܪܶܐ,ܬܶܬܟܪܶܐ,ܬܟܰܪܶܐ,ܬܶܬܟܰܪܶܐ,ܬܰܟܪܶܐ,ܬܶܬܬܰܟܪܶܐ
imperfect,2MS,ܬܶܟܪܶܐ,ܬܶܬܟܪܶܐ,ܬܟܰܪܶܐ,ܬܶܬܟܰܪܶܐ,ܬܰܟܪܶܐ,ܬܶܬܬܰܟܪܶܐ
imperfect,2FS,ܬܶܟܪܶܝܢ,ܬܶܬܟܪܶܝܢ,ܬܟܰܪܶܝܢ,ܬܶܬܟܰܪܶܝܢ,ܬܰܟܪܶܝܢ,ܬܶܬܬܰܟܪܶܝܢ
imperfect,1S,ܐܶܟܪܶܐ,ܐܶܬܟܪܶܐ,ܐܶܟܰܪܶܐ,ܐܶܬܟܰܪܶܐ,ܐܰܟܪܶܐ,ܐܶܬܬܰܟܪܶܐ
imperfect,3MP,ܢܶܟܪܽܘܢ,ܢܶܬܟܪܽܘܢ,ܢܟܰܪܽܘܢ,ܢܶܬܟܰܪܽܘܢ,ܢܰܟܪܽܘܢ,ܢܶܬܬܰܟܪܽܘܢ
imperfect,3FP,ܢܶܟܪܝ̈ܳܢ,ܢܶܬܟܰܪܝ̈ܳܢ,ܢܟܰܪܝ̈ܳܢ,ܢܶܬܟܰܪ̈ܝܳܢ,ܢܰܟܪ̈ܳܢ,ܢܶܬܬܰܟܪ̈ܳܢ
imperfect,2MP,ܬܶܟܪܽܘܢ,ܬܶܬܟܪܽܘܢ,ܬܟܰܪܽܘܢ,ܬܶܬܟܰܪܽܘܢ,ܬܰܟܪܽܘܢ,ܬܶܬܬܰܟܪܽܘܢ
imperfect,2FP,ܬܶܟܪܝ̈ܳܢ,ܬܶܬܟܰܪܝ̈ܳܢ,ܬܟܰܪܝ̈ܳܢ,ܬܶܬܟܰܪ̈ܝܳܢ,ܬܰܟܪ̈ܳܢ,ܬܶܬܬܰܟܪ̈ܳܢ
imperfect,1P,ܢܶܟܪܶܐ,ܢܶܬܟܪܶܐ,ܢܟܰܪܶܐ,ܢܶܬܟܰܪܶܐ,ܢܰܟܪܶܐ,ܢܶܬܬܰܟܪܶܐ
imperative,MS,ܟܪܺܝ,ܐܶܬܟܪܰܝ,ܟܰܪܳܐ,ܐܶܬܟܰܪܳܐ,ܐܰܟܪܳܐ,ܐܶܬܬܰܟܪܳܐ
imperative,FS,ܟܪܳܝ,ܐܶܬܟܪܳܝ,ܟܰܪܳܝ,ܐܶܬܟܰܪܳܝ,ܐܰܟܪܳܝ,ܐܶܬܬܰܟܪܳܝ
imperative,MP,ܟܪܰܘ,ܐܶܬܟܪܰܘ,ܟܰܪܰܘ,ܐܶܬܟܰܪܰܘ,ܐܰܟܪܰܘ,ܐܶܬܬܰܟܪܰܘ
imperative,FP,ܟܪܰ̈ܝ,ܐܶܬܟܪܳܝ̈ܶܝܢ?,ܟܰܪܳܝ̈,ܐܶܬܟܰܪܳܝ̈,ܐܰܟܪܳܝ̈,ܐܶܬܬܰܟ̈ܪܳܝ
active-participle,MS,ܟܳܪܶܐ,ܡܶܬܟܪܶܐ,ܡܟܰܪܶܐ,ܡܶܬܟܰܪܶܐ,ܡܰܟܪܶܐ,ܡܶܬܬܰܟܪܶܐ
active-participle,FS,ܟܳܪܝܳܐ,ܡܶܬܟܰܪܝܳܐ,ܡܟܰܪܝܐ,ܡܶܬܟܰܪܝܳܐ,ܡܰܟܪܝܳܐ,ܡܶܬܬܰܟܪܝܳܐ
active-participle,MP,ܟܳܪܶܝܢ,ܡܶܬܟܪܶܝܢ,ܡܟܰܪܶܝܢ,ܡܶܬܟܰܪܶܝܢ,ܡܰܟܪܶܝܢ,ܡܶܬܬܰܟܪܶܝܢ
active-participle,FP,ܟܳܪܝ̈ܳܢ,ܡܶܬܟܰܪܝ̈ܳܢ,ܡܟܰܪܝ̈ܳܢ,ܡܶܬܟܰܪ̈ܝܳܢ,ܡܰܟܪ̈ܝܳܢ,ܡܶܬܬܰܟܪ̈ܝܳܢ
passive-participle,MS,ܟܪܶܐ,,ܡܟܰܪܰܝ,,ܡܰܟܪܰܝ,
passive-participle,FS,ܟܰܪܝܳܐ,,ܡܟܰܪܝܳܐ,,ܡܰܟܪܝܳܐ,
passive-participle,MP,ܟܪܶܝܢ,,ܡܟܰܪܶܝܢ,,ܡܰܟܪܶܝܢ,
passive-participle,FP,ܟܰܪܝ̈ܳܢ,,ܡܟܰܪܝ̈ܳܢ,,ܡܰܟܪ̈ܝܳܢ,
infinitive,,ܡܶܟܪܳܐ,ܡܶܬܟܪܳܝܽܘ,ܡܟܰܪܳܝܽܘ,ܡܶܬܟܰܪܳܝܽܘ,ܡܰܟܪܳܝܽܘ,ܡܶܬܬܰܟܪܳܝܽܘ
