ܠܘܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܠܳܐ,,ܠܰܝܶܐ,ܐܶܬܠܰܝܰܐ,ܐܰܠܺܝܐ,ܐܶܬܬܠܺܝܐ
perfect,3FS,ܠܳܐܰܬ,,ܠܰܝܐܰܬ,ܐܶܬܠܰܝܐܰܬ,ܐܰܠܺܝܐܰܬ,ܐܶܬܬܠܺܝܐܰܬ
perfect,2MS,ܠܳܐܬ,,ܠܰܝܶܐܬ,ܐܶܬܠܰܝܰܐܬ,ܐܰܠܺܝܐܬ,ܐܶܬܬܠܺܝܐܬ
perfect,2FS,ܠܳܐܬܝ,,ܠܰܝܶܐܬܝ,ܐܶܬܠܰܝܰܐܬܝ,ܐܰܠܺܝܐܬܝ,ܐܶܬܠܺܝܐܬܝ
perfect,1CS,ܠܳܐܶܬ,,ܠܰܝܐܶܬ,ܐܶܬܠܰܝܐܶܬ,ܐܰܠܺܝܐܶܬ,ܐܶܬܠܺܝܐܶܬ
perfect,3MP,ܠܳܐܘ,,ܠܰܝܶܐܘ,ܐܶܬܠܰܝܰܐܘ,ܐܰܠܺܝܐܘ,ܐܶܬܬܠܺܝܐܘ
perfect,3FP,ܠܳܐ̈ܝ,,ܠܰܝܶܐ̈ܝ,ܐܶܬܠܰܝܰܐ̈ܝ,ܐܰܠܺܝܐ̈ܝ,ܐܶܬܬܠܺܝܐ̈ܝ
perfect,2MP,ܠܳܐܬܽܘܢ,,ܠܰܝܶܐܬܽܘܢ,ܐܶܬܠܰܝܰܐܬܽܘܢ,ܐܰܠܺܝܐܬܽܘܢ,ܐܶܬܬܠܺܝܐܬܽܘܢ
perfect,2FP,ܠܳܐܬ̈ܶܝܢ,,ܠܰܝܶܐܬ̈ܶܝܢ,ܐܶܬܠܰܝܰܐ̈ܬܶܝܢ,ܐܰܠܺܝܐܬ̈ܶܝܢ,ܐܶܬܬܠܺܝܐ̈ܬܶܝܢ
perfect,1CP,ܠܳܐܢ,,ܠܰܝܶܐܢ,ܐܶܬܠܰܝܰܐܢ,ܐܰܠܺܝܐܢ,ܐܶܬܬܠܺܝܐܢ
imperfect,3MS,ܢܠܽܘܐ,,ܢܠܰܝܶܐ,ܢܶܬܠܰܝܰܐ,ܢܠܺܝܐ,ܢܶܬܬܠܺܝܐ
imperfect,3FS,ܬܠܽܘܐ,,ܬܠܰܝܶܐ,ܬܶܬܠܰܝܰܐ,ܬܠܺܝܐ,ܬܶܬܬܠܺܝܐܝ
imperfect,2MS,ܬܠܽܘܐ,,ܬܠܰܝܶܐ,ܬܶܬܠܰܝܰܐ,ܬܠܺܝܐ,ܬܶܬܬܠܺܝܐ
imperfect,2FS,ܬܠܐܺܝܢ,,ܬܠܰܝܐܺܝܢ,ܬܶܬܠܰܝܐܺܝܢ,ܬܠܺܝܐܺܝܢ,ܬܶܬܬܠܺܝܐܺܝܢ
imperfect,1CS,ܐܶܠܽܘܐ,,ܐܶܠܰܝܶܐ,ܐܶܬܠܰܝܰܐ,ܐܰܠܺܝܐ,ܐܶܬܬܠܺܝܐ
imperfect,3MP,ܢܠܽܘܐܽܘܢ,,ܢܠܰܝܐܽܘܢ,ܢܶܬܠܰܝܐܽܘܢ,ܢܠܺܝܐܽܘܢ,ܢܶܬܬܰܠܺܝܐܽܘܢ
imperfect,3FP,ܢܠ̈ܽܘܐܳܢ,,ܢܠܰܝܐ̈ܳܢ,ܢܶܬܠܰܝܐ̈ܳܢ,ܢܠܺܝܐ̈ܳܢ,ܢܶܬܬܰܠܺܝܐ̈ܳܢ
imperfect,2MP,ܬܠܽܘܐܽܘܢ,,ܬܠܰܝܐܽܘܢ,ܬܶܬܠܰܝܐܽܘܢ,ܬܠܺܝܐܽܘܢ,ܬܶܬܬܰܠܺܝܐܽܘܢ
imperfect,2FP,ܬܠ̈ܽܘܐܳܢ,,ܬܠܰܝܐ̈ܳܢ,ܬܶܬܠܰܝܐ̈ܳܢ,ܬܠܺܝܐ̈ܳܢ,ܬܶܬܬܰܠܺܝܐ̈ܳܢ
imperfect,1CP,ܢܠܽܘܐ,,ܢܠܰܝܶܐ,ܢܶܬܠܰܝܰܐ,ܢܠܺܝܐ,ܢܶܬܬܰܠܺܝܐ
imperative,MS,ܠܽܘܐ,,ܠܰܝܶܐ,ܐܶܬܠܰܝܰܐ,ܐܰܠܺܝܐ,ܐܶܬܬܠܺܝܐ
imperative,FS,ܠܽܘܐܝ,,ܠܰܝܶܐܝ,ܐܶܬܠܰܝܰܐܝ,ܐܰܠܺܝܐܝ,ܐܶܬܬܠܺܝܐܝ
imperative,MP,ܠܽܘܐܘ,,ܠܰܝܶܐܘ,ܐܶܬܠܰܝܰܐܘ,ܐܰܠܺܝܐܘ,ܐܶܬܬܠܺܝܐܘ
imperative,FP,ܠܽܘܐ̈ܝ,,ܠܰܝܶܐ̈ܝ,ܐܶܬܠܰܝܰܐ̈ܝ,ܐܰܠܺܝܐ̈ܝ,ܐܶܬܬܠܺܝܐ̈ܝ
active-participle,MS,ܠܳܐܶܐ,,ܡܠܰܝܶܐ,ܡܶܬܠܰܝܰܐ,ܡܠܺܝܐ,ܡܶܬܬܠܺܝܐ
active-participle,FS,ܠܳܝܐܳܐ,,ܡܠܰܝܐܳܐ,ܡܶܬܠܰܝܐܳܐ,ܡܠܺܝܐܳܐ,ܡܶܬܬܠܺܝܐܳܐ
active-participle,MP,ܠܳܝܐܺܝܢ,,ܡܠܰܝܐܺܝܢ,ܡܶܬܠܰܝܐܺܝܢ,ܡܠܺܝܐܺܝܢ,ܡܶܬܬܠܺܝܐܺܝܢ
active-participle,FP,ܠܳܝ̈ܐܳܢ,,ܡܠܰܝܐ̈ܳܢ,ܡܶܬܠܰܝܐ̈ܳܢ,ܡܠܺܝܐ̈ܳܢ,ܡܶܬܬܠܺܝܐ̈ܳܢ
passive-participle,MS,ܠܺܝܐ,,ܡܠܰܝܰܐ,,ܡܠܳܐ,
passive-participle,FS,ܠܺܝܐܳܐ,,ܡܠܰܝܐܳܐ,,ܡܠܳܐܳܐ,
passive-participle,MP,ܠܺܝܐܺܝܢ,,ܡܠܰܝܐܺܝܢ,,ܡܠܳܐܺܝܢ,
passive-participle,FP,ܠܺܝܐ̈ܳ,,ܡܠܰܝ̈ܐܳܢ,,ܡܠ̈ܳܐܳܢ,
infinitive,,ܡܠܳܐ,,ܡܠܰܝܳܐܽܘ,ܡܶܬܠܰܝܳܐܽܘ,ܡܠܳܐܽܘ,ܡܶܬܬܠܺܝܐܽܘ
