ܡܚܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܚܳܐ,ܐܶܬܡܚܺܝ,ܡܰܚܺܝ,ܐܶܬܡܰܚܺܝ,ܐܰܡܚܺܝ,ܐܶܬܬܰܡܚܺܝ
perfect,3FS,ܡܚܳܐܬ,ܐܶܬܡܰܚܝܰܬ,ܡܰܚܝܰܬ,ܐܶܬܡܰܚܝܰܬ,ܐܰܡܚܝܰܬ,ܐܶܬܬܰܡܚܝܰܬ
perfect,2MS,ܡܚܰܝܬ,ܐܶܬܡܚܺܝܬ,ܡܰܚܺܝܬ,ܐܶܬܡܰܚܺܝܬ,ܐܰܡܚܺܝܬ,ܐܶܬܬܰܡܚܺܝܬ
perfect,2FS,ܡܚܰܝܬܝ,ܐܶܬܡܚܺܝܬܝ,ܡܰܚܺܝܬܝ,ܐܶܬܡܰܚܺܝܬܝ,ܐܰܡܚܺܝܬܝ,ܐܶܬܬܰܡܚܺܝܬܝ
perfect,1CS,ܡܚܺܝܬ,ܐܶܬܡܰܚܺܝܬ,ܡܰܚܺܝܬ,ܐܶܬܡܰܚܺܝܬ,ܐܰܡܚܺܝܬ,ܐܶܬܬܰܡܚܺܝܬ
perfect,3MP,ܡܚܰܘ,ܐܶܬܡܚܺܝܘ,ܡܰܚܺܝܘ,ܐܶܬܡܰܚܺܝܘ,ܐܰܡܚܺܝܘ,ܐܶܬܬܰܡܚܺܝܘ
perfect,3FP,ܡܚܰܝ̈,ܐܶܬܡܚܺܝ̈,ܡܰܚܺܝ̈,ܐܶܬܡܰܚܺܝ̈,ܐܰܡܚܺܝ̈,ܐܶܬܬܰܡܚܺܝ̈
perfect,2MP,ܡܚܰܝܬܽܘܢ,ܐܶܬܡܚܺܝܬܽܘܢ,ܡܰܚܺܝܬܽܘܢ,ܐܶܬܡܰܚܺܝܬܽܘܢ,ܐܰܡܚܺܝܬܽܘܢ,ܐܶܬܬܰܡܚܺܝܬܽܘܢ
perfect,2FP,ܡܚܰܝܬ̈ܶܝܢ,ܐܶܬܡܚܺܝ̈ܬܶܝܢ,ܡܰܚܺܝܬ̈ܶܝܢ,ܐܶܬܡܰܚܺܝ̈ܬܶܝܢ,ܐܰܡܚܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܡܚܺܝܬܶܝ̈ܢ
