ܡܛܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܛܳܐ,ܐܶܬܡܛܺܝ,ܡܰܛܺܝ,ܐܶܬܡܰܛܺܝ,ܐܰܡܛܺܝ,ܐܶܬܬܰܡܛܺܝ
perfect,3FS,ܡܛܳܐܬ,ܐܶܬܡܰܛܝܰܬ,ܡܰܛܝܰܬ,ܐܶܬܡܰܛܝܰܬ,ܐܰܡܛܝܰܬ,ܐܶܬܬܰܡܛܝܰܬ
perfect,2MS,ܡܛܰܝܬ,ܐܶܬܡܛܺܝܬ,ܡܰܛܺܝܬ,ܐܶܬܡܰܛܺܝܬ,ܐܰܡܛܺܝܬ,ܐܶܬܬܰܡܛܺܝܬ
perfect,2FS,ܡܛܰܝܬܝ,ܐܶܬܡܛܺܝܬܝ,ܡܰܛܺܝܬܝ,ܐܶܬܡܰܛܺܝܬܝ,ܐܰܡܛܺܝܬܝ,ܐܶܬܬܰܡܛܺܝܬܝ
perfect,1S,ܡܛܺܝܬ,ܐܶܬܡܰܛܺܝܬ,ܡܰܛܺܝܬ,ܐܶܬܡܰܛܺܝܬ,ܐܰܡܛܺܝܬ,ܐܶܬܬܰܡܛܺܝܬ
perfect,3MP,ܡܛܰܘ,ܐܶܬܡܛܺܝܘ,ܡܰܛܺܝܘ,ܐܶܬܡܰܛܺܝܘ,ܐܰܡܛܺܝܘ,ܐܶܬܬܰܡܛܺܝܘ
perfect,3FP,ܡܛܰܝ̈,ܐܶܬܡܛܺܝ̈,ܡܰܛܺܝ̈,ܐܶܬܡܰܛܺܝ̈,ܐܰܡܛܺܝ̈,ܐܶܬܬܰܡܛܺܝ̈
perfect,2MP,ܡܛܰܝܬܽܘܢ,ܐܶܬܡܛܺܝܬܽܘܢ,ܡܰܛܺܝܬܽܘܢ,ܐܶܬܡܰܛܺܝܬܽܘܢ,ܐܰܡܛܺܝܬܽܘܢ,ܐܶܬܬܰܡܛܺܝܬܽܘܢ
perfect,2FP,ܡܛܰܝܬ̈ܶܝܢ,ܐܶܬܡܛܺܝ̈ܬܶܝܢ,ܡܰܛܺܝܬ̈ܶܝܢ,ܐܶܬܡܰܛܺܝ̈ܬܶܝܢ,ܐܰܡܛܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܡܛܺܝܬܶܝ̈ܢ
perfect,1P,ܡܛܰܝܢ,ܐܶܬܡܛܺܝܢ,ܡܰܛܺܝܢ,ܐܶܬܡܰܛܺܝܢ,ܐܰܡܛܺܝܢ,ܐܶܬܬܰܡܛܺܝܢ
imperfect,3MS,ܢܶܡܛܶܐ,ܢܶܬܡܛܶܐ,ܢܡܰܛܶܐ,ܢܶܬܡܰܛܶܐ,ܢܰܡܛܶܐ,ܢܶܬܬܰܡܛܶܐ
imperfect,3FS,ܬܶܡܛܶܐ,ܬܶܬܡܛܶܐ,ܬܡܰܛܶܐ,ܬܶܬܡܰܛܶܐ,ܬܰܡܛܶܐ,ܬܶܬܬܰܡܛܶܐ
imperfect,2MS,ܬܶܡܛܶܐ,ܬܶܬܡܛܶܐ,ܬܡܰܛܶܐ,ܬܶܬܡܰܛܶܐ,ܬܰܡܛܶܐ,ܬܶܬܬܰܡܛܶܐ
imperfect,2FS,ܬܶܡܛܶܝܢ,ܬܶܬܡܛܶܝܢ,ܬܡܰܛܶܝܢ,ܬܶܬܡܰܛܶܝܢ,ܬܰܡܛܶܝܢ,ܬܶܬܬܰܡܛܶܝܢ
imperfect,1S,ܐܶܡܛܶܐ,ܐܶܬܡܛܶܐ,ܐܶܡܰܛܶܐ,ܐܶܬܡܰܛܶܐ,ܐܰܡܛܶܐ,ܐܶܬܬܰܡܛܶܐ
imperfect,3MP,ܢܶܡܛܽܘܢ,ܢܶܬܡܛܽܘܢ,ܢܡܰܛܽܘܢ,ܢܶܬܡܰܛܽܘܢ,ܢܰܡܛܽܘܢ,ܢܶܬܬܰܡܛܽܘܢ
imperfect,3FP,ܢܶܡܛܝ̈ܳܢ,ܢܶܬܡܰܛܝ̈ܳܢ,ܢܡܰܛܝ̈ܳܢ,ܢܶܬܡܰܛ̈ܝܳܢ,ܢܰܡܛ̈ܳܢ,ܢܶܬܬܰܡܛ̈ܳܢ
imperfect,2MP,ܬܶܡܛܽܘܢ,ܬܶܬܡܛܽܘܢ,ܬܡܰܛܽܘܢ,ܬܶܬܡܰܛܽܘܢ,ܬܰܡܛܽܘܢ,ܬܶܬܬܰܡܛܽܘܢ
imperfect,2FP,ܬܶܡܛܝ̈ܳܢ,ܬܶܬܡܰܛܝ̈ܳܢ,ܬܡܰܛܝ̈ܳܢ,ܬܶܬܡܰܛ̈ܝܳܢ,ܬܰܡܛ̈ܳܢ,ܬܶܬܬܰܡܛ̈ܳܢ
imperfect,1P,ܢܶܡܛܶܐ,ܢܶܬܡܛܶܐ,ܢܡܰܛܶܐ,ܢܶܬܡܰܛܶܐ,ܢܰܡܛܶܐ,ܢܶܬܬܰܡܛܶܐ
imperative,MS,ܡܛܺܝ,ܐܶܬܡܛܰܝ,ܡܰܛܳܐ,ܐܶܬܡܰܛܳܐ,ܐܰܡܛܳܐ,ܐܶܬܬܰܡܛܳܐ
imperative,FS,ܡܛܳܝ,ܐܶܬܡܛܳܝ,ܡܰܛܳܝ,ܐܶܬܡܰܛܳܝ,ܐܰܡܛܳܝ,ܐܶܬܬܰܡܛܳܝ
imperative,MP,ܡܛܰܘ,ܐܶܬܡܛܰܘ,ܡܰܛܰܘ,ܐܶܬܡܰܛܰܘ,ܐܰܡܛܰܘ,ܐܶܬܬܰܡܛܰܘ
imperative,FP,ܡܛܰ̈ܝ,ܐܶܬܡܛܳܝ̈ܶܝܢ?,ܡܰܛܳܝ̈,ܐܶܬܡܰܛܳܝ̈,ܐܰܡܛܳܝ̈,ܐܶܬܬܰܡ̈ܛܳܝ
active-participle,MS,ܡܳܛܶܐ,ܡܶܬܡܛܶܐ,ܡܡܰܛܶܐ,ܡܶܬܡܰܛܶܐ,ܡܰܡܛܶܐ,ܡܶܬܬܰܡܛܶܐ
active-participle,FS,ܡܳܛܝܳܐ,ܡܶܬܡܰܛܝܳܐ,ܡܡܰܛܝܐ,ܡܶܬܡܰܛܝܳܐ,ܡܰܡܛܝܳܐ,ܡܶܬܬܰܡܛܝܳܐ
active-participle,MP,ܡܳܛܶܝܢ,ܡܶܬܡܛܶܝܢ,ܡܡܰܛܶܝܢ,ܡܶܬܡܰܛܶܝܢ,ܡܰܡܛܶܝܢ,ܡܶܬܬܰܡܛܶܝܢ
active-participle,FP,ܡܳܛܝ̈ܳܢ,ܡܶܬܡܰܛܝ̈ܳܢ,ܡܡܰܛܝ̈ܳܢ,ܡܶܬܡܰܛ̈ܝܳܢ,ܡܰܡܛ̈ܝܳܢ,ܡܶܬܬܰܡܛ̈ܝܳܢ
passive-participle,MS,ܡܛܶܐ,,ܡܡܰܛܰܝ,,ܡܰܡܛܰܝ,
passive-participle,FS,ܡܰܛܝܳܐ,,ܡܡܰܛܝܳܐ,,ܡܰܡܛܝܳܐ,
passive-participle,MP,ܡܛܶܝܢ,,ܡܡܰܛܶܝܢ,,ܡܰܡܛܶܝܢ,
passive-participle,FP,ܡܰܛܝ̈ܳܢ,,ܡܡܰܛܝ̈ܳܢ,,ܡܰܡܛ̈ܝܳܢ,
infinitive,,ܡܶܡܛܳܐ,ܡܶܬܡܛܳܝܽܘ,ܡܡܰܛܳܝܽܘ,ܡܶܬܡܰܛܳܝܽܘ,ܡܰܡܛܳܝܽܘ,ܡܶܬܬܰܡܛܳܝܽܘ
