ܡܠܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܠܳܐ,ܐܶܬܡܠܺܝ,ܡܰܠܺܝ,ܐܶܬܡܰܠܺܝ,ܐܰܡܠܺܝ,ܐܶܬܬܰܡܠܺܝ
perfect,3FS,ܡܠܳܐܬ,ܐܶܬܡܰܠܝܰܬ,ܡܰܠܝܰܬ,ܐܶܬܡܰܠܝܰܬ,ܐܰܡܠܝܰܬ,ܐܶܬܬܰܡܠܝܰܬ
perfect,2MS,ܡܠܰܝܬ,ܐܶܬܡܠܺܝܬ,ܡܰܠܺܝܬ,ܐܶܬܡܰܠܺܝܬ,ܐܰܡܠܺܝܬ,ܐܶܬܬܰܡܠܺܝܬ
perfect,2FS,ܡܠܰܝܬܝ,ܐܶܬܡܠܺܝܬܝ,ܡܰܠܺܝܬܝ,ܐܶܬܡܰܠܺܝܬܝ,ܐܰܡܠܺܝܬܝ,ܐܶܬܬܰܡܠܺܝܬܝ
perfect,1S,ܡܠܺܝܬ,ܐܶܬܡܰܠܺܝܬ,ܡܰܠܺܝܬ,ܐܶܬܡܰܠܺܝܬ,ܐܰܡܠܺܝܬ,ܐܶܬܬܰܡܠܺܝܬ
perfect,3MP,ܡܠܰܘ,ܐܶܬܡܠܺܝܘ,ܡܰܠܺܝܘ,ܐܶܬܡܰܠܺܝܘ,ܐܰܡܠܺܝܘ,ܐܶܬܬܰܡܠܺܝܘ
perfect,3FP,ܡܠܰܝ̈,ܐܶܬܡܠܺܝ̈,ܡܰܠܺܝ̈,ܐܶܬܡܰܠܺܝ̈,ܐܰܡܠܺܝ̈,ܐܶܬܬܰܡܠܺܝ̈
perfect,2MP,ܡܠܰܝܬܽܘܢ,ܐܶܬܡܠܺܝܬܽܘܢ,ܡܰܠܺܝܬܽܘܢ,ܐܶܬܡܰܠܺܝܬܽܘܢ,ܐܰܡܠܺܝܬܽܘܢ,ܐܶܬܬܰܡܠܺܝܬܽܘܢ
perfect,2FP,ܡܠܰܝܬ̈ܶܝܢ,ܐܶܬܡܠܺܝ̈ܬܶܝܢ,ܡܰܠܺܝܬ̈ܶܝܢ,ܐܶܬܡܰܠܺܝ̈ܬܶܝܢ,ܐܰܡܠܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܡܠܺܝܬܶܝ̈ܢ
perfect,1P,ܡܠܰܝܢ,ܐܶܬܡܠܺܝܢ,ܡܰܠܺܝܢ,ܐܶܬܡܰܠܺܝܢ,ܐܰܡܠܺܝܢ,ܐܶܬܬܰܡܠܺܝܢ
imperfect,3MS,ܢܶܡܠܶܐ,ܢܶܬܡܠܶܐ,ܢܡܰܠܶܐ,ܢܶܬܡܰܠܶܐ,ܢܰܡܠܶܐ,ܢܶܬܬܰܡܠܶܐ
imperfect,3FS,ܬܶܡܠܶܐ,ܬܶܬܡܠܶܐ,ܬܡܰܠܶܐ,ܬܶܬܡܰܠܶܐ,ܬܰܡܠܶܐ,ܬܶܬܬܰܡܠܶܐ
imperfect,2MS,ܬܶܡܠܶܐ,ܬܶܬܡܠܶܐ,ܬܡܰܠܶܐ,ܬܶܬܡܰܠܶܐ,ܬܰܡܠܶܐ,ܬܶܬܬܰܡܠܶܐ
imperfect,2FS,ܬܶܡܠܶܝܢ,ܬܶܬܡܠܶܝܢ,ܬܡܰܠܶܝܢ,ܬܶܬܡܰܠܶܝܢ,ܬܰܡܠܶܝܢ,ܬܶܬܬܰܡܠܶܝܢ
imperfect,1S,ܐܶܡܠܶܐ,ܐܶܬܡܠܶܐ,ܐܶܡܰܠܶܐ,ܐܶܬܡܰܠܶܐ,ܐܰܡܠܶܐ,ܐܶܬܬܰܡܠܶܐ
imperfect,3MP,ܢܶܡܠܽܘܢ,ܢܶܬܡܠܽܘܢ,ܢܡܰܠܽܘܢ,ܢܶܬܡܰܠܽܘܢ,ܢܰܡܠܽܘܢ,ܢܶܬܬܰܡܠܽܘܢ
imperfect,3FP,ܢܶܡܠܝ̈ܳܢ,ܢܶܬܡܰܠܝ̈ܳܢ,ܢܡܰܠܝ̈ܳܢ,ܢܶܬܡܰܠ̈ܝܳܢ,ܢܰܡܠ̈ܳܢ,ܢܶܬܬܰܡܠ̈ܳܢ
imperfect,2MP,ܬܶܡܠܽܘܢ,ܬܶܬܡܠܽܘܢ,ܬܡܰܠܽܘܢ,ܬܶܬܡܰܠܽܘܢ,ܬܰܡܠܽܘܢ,ܬܶܬܬܰܡܠܽܘܢ
imperfect,2FP,ܬܶܡܠܝ̈ܳܢ,ܬܶܬܡܰܠܝ̈ܳܢ,ܬܡܰܠܝ̈ܳܢ,ܬܶܬܡܰܠ̈ܝܳܢ,ܬܰܡܠ̈ܳܢ,ܬܶܬܬܰܡܠ̈ܳܢ
imperfect,1P,ܢܶܡܠܶܐ,ܢܶܬܡܠܶܐ,ܢܡܰܠܶܐ,ܢܶܬܡܰܠܶܐ,ܢܰܡܠܶܐ,ܢܶܬܬܰܡܠܶܐ
imperative,MS,ܡܠܺܝ,ܐܶܬܡܠܰܝ,ܡܰܠܳܐ,ܐܶܬܡܰܠܳܐ,ܐܰܡܠܳܐ,ܐܶܬܬܰܡܠܳܐ
imperative,FS,ܡܠܳܝ,ܐܶܬܡܠܳܝ,ܡܰܠܳܝ,ܐܶܬܡܰܠܳܝ,ܐܰܡܠܳܝ,ܐܶܬܬܰܡܠܳܝ
