ܡܠܝ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܠܳܐ,ܐܶܬܡܠܶܝ,ܡܰܠܶܝ,ܐܶܬܡܰܠܰܝ,ܐܰܡܠܶܝ,ܐܶܬܬܰܡܠܰܝ
perfect,3FS,ܡܠܳܬ,ܐܶܬܡܰܠܝܰܬ,ܡܰܠܝܰܬ,ܐܶܬܡܰܠܝܰܬ,ܐܰܡܠܝܰܬ,ܐܶܬܬܰܡܠܝܰܬ
perfect,2MS,ܡܠܰܝܬ,ܐܶܬܡܠܶܝܬ,ܡܰܠܶܝܬ,ܐܶܬܡܰܠܰܝܬ,ܐܰܡܠܶܝܬ,ܐܶܬܬܰܡܠܰܝܬ
perfect,2FS,ܡܠܰܝܬܝ,ܐܶܬܡܠܶܝܬܝ,ܡܰܠܶܝܬܝ,ܐܶܬܡܰܠܰܝܬܝ,ܐܰܡܠܶܝܬܝ,ܐܶܬܰܡܠܰܝܬܝ
perfect,1S,ܡܠܺܝܬ,ܐܶܬܡܰܠܝܶܬ,ܡܰܠܝܶܬ,ܐܶܬܡܰܠܝܶܬ,ܐܰܡܠܝܶܬ,ܐܶܬܰܡܠܝܶܬ
perfect,3MP,ܡܠܰܘ,ܐܶܬܡܠܶܝܘ,ܡܰܠܶܝܘ,ܐܶܬܡܰܠܰܝܘ,ܐܰܡܠܶܝܘ,ܐܶܬܬܰܡܠܰܝܘ
perfect,3FP,ܡܠܰܝ̈,ܐܶܬܡܠܶܝ̈ܝ,ܡܰܠܶܝ̈ܝ,ܐܶܬܡܰܠܰܝ̈ܝ,ܐܰܡܠܶܝ̈ܝ,ܐܶܬܬܰܡܠܰܝ̈ܝ
perfect,2MP,ܡܠܰܝܬܽܘܢ,ܐܶܬܡܠܶܝܬܽܘܢ,ܡܰܠܶܝܬܽܘܢ,ܐܶܬܡܰܠܰܝܬܽܘܢ,ܐܰܡܠܶܝܬܽܘܢ,ܐܶܬܬܰܡܠܰܝܬܽܘܢ
perfect,2FP,ܡܠܰܝܬ̈ܶܝܢ,ܐܶܬܡܠܶܝ̈ܬܶܝܢ,ܡܰܠܶܝܬ̈ܶܝܢ,ܐܶܬܡܰܠܰܝ̈ܬܶܝܢ,ܐܰܡܠܶܝܬ̈ܶܝܢ,ܐܶܬܬܰܡܠܰܝ̈ܬܶܝܢ
