ܢܒܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܒܰܐ,ܐܶܬܢܒܶܐ,ܢܰܒܶܐ,ܐܶܬܢܰܒܰܐ,ܐܰܒܶܐ,ܐܶܬܬܰܒܰܐ
perfect,3FS,ܢܶܒܐܰܬ,ܐܶܬܢܰܒܐܰܬ,ܢܰܒܐܰܬ,ܐܶܬܢܰܒܐܰܬ,ܐܰܒܐܰܬ,ܐܶܬܬܰܒܐܰܬ
perfect,2MS,ܢܒܰܐܬ,ܐܶܬܢܒܶܐܬ,ܢܰܒܶܐܬ,ܐܶܬܢܰܒܰܐܬ,ܐܰܒܶܐܬ,ܐܶܬܬܰܒܰܐܬ
perfect,2FS,ܢܒܰܐܬܝ,ܐܶܬܢܒܶܐܬܝ,ܢܰܒܶܐܬܝ,ܐܶܬܢܰܒܰܐܬܝ,ܐܰܒܶܐܬܝ,ܐܶܬܰܒܰܐܬܝ
perfect,1CS,ܢܶܒܐܶܬ,ܐܶܬܢܰܒܐܶܬ,ܢܰܒܐܶܬ,ܐܶܬܢܰܒܐܶܬ,ܐܰܒܐܶܬ,ܐܶܬܰܒܐܶܬ
perfect,3MP,ܢܒܰܐܘ,ܐܶܬܢܒܶܐܘ,ܢܰܒܶܐܘ,ܐܶܬܢܰܒܰܐܘ,ܐܰܒܶܐܘ,ܐܶܬܬܰܒܰܐܘ
perfect,3FP,ܢܒܰܐ̈ܝ,ܐܶܬܢܒܶܐ̈ܝ,ܢܰܒܶܐ̈ܝ,ܐܶܬܢܰܒܰܐ̈ܝ,ܐܰܒܶܐ̈ܝ,ܐܶܬܬܰܒܰܐ̈ܝ
perfect,2MP,ܢܒܰܐܬܽܘܢ,ܐܶܬܢܒܶܐܬܽܘܢ,ܢܰܒܶܐܬܽܘܢ,ܐܶܬܢܰܒܰܐܬܽܘܢ,ܐܰܒܶܐܬܽܘܢ,ܐܶܬܬܰܒܰܐܬܽܘܢ
perfect,2FP,ܢܒܰܐܬ̈ܶܝܢ,ܐܶܬܢܒܶܐ̈ܬܶܝܢ,ܢܰܒܶܐܬ̈ܶܝܢ,ܐܶܬܢܰܒܰܐ̈ܬܶܝܢ,ܐܰܒܶܐܬ̈ܶܝܢ,ܐܶܬܬܰܒܰܐ̈ܬܶܝܢ
perfect,1CP,ܢܒܰܐܢ,ܐܶܬܢܒܶܐܢ,ܢܰܒܶܐܢ,ܐܶܬܢܰܒܰܐܢ,ܐܰܒܶܐܢ,ܐܶܬܬܰܒܰܐܢ
