ܢܣܝ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܣܰܝ,ܐܶܬܢܣܶܝ,ܢܰܣܶܝ,ܐܶܬܢܰܣܰܝ,ܐܰܣܶܝ,ܐܶܬܬܰܣܰܝ
perfect,3FS,ܢܶܣܝܰܬ,ܐܶܬܢܰܣܝܰܬ,ܢܰܣܝܰܬ,ܐܶܬܢܰܣܝܰܬ,ܐܰܣܝܰܬ,ܐܶܬܬܰܣܝܰܬ
perfect,2MS,ܢܣܰܝܬ,ܐܶܬܢܣܶܝܬ,ܢܰܣܶܝܬ,ܐܶܬܢܰܣܰܝܬ,ܐܰܣܶܝܬ,ܐܶܬܬܰܣܰܝܬ
perfect,2FS,ܢܣܰܝܬܝ,ܐܶܬܢܣܶܝܬܝ,ܢܰܣܶܝܬܝ,ܐܶܬܢܰܣܰܝܬܝ,ܐܰܣܶܝܬܝ,ܐܶܬܰܣܰܝܬܝ
perfect,1CS,ܢܶܣܝܶܬ,ܐܶܬܢܰܣܝܶܬ,ܢܰܣܝܶܬ,ܐܶܬܢܰܣܝܶܬ,ܐܰܣܝܶܬ,ܐܶܬܰܣܝܶܬ
perfect,3MP,ܢܣܰܝܘ,ܐܶܬܢܣܶܝܘ,ܢܰܣܶܝܘ,ܐܶܬܢܰܣܰܝܘ,ܐܰܣܶܝܘ,ܐܶܬܬܰܣܰܝܘ
perfect,3FP,ܢܣܰܝ̈ܝ,ܐܶܬܢܣܶܝ̈ܝ,ܢܰܣܶܝ̈ܝ,ܐܶܬܢܰܣܰܝ̈ܝ,ܐܰܣܶܝ̈ܝ,ܐܶܬܬܰܣܰܝ̈ܝ
perfect,2MP,ܢܣܰܝܬܽܘܢ,ܐܶܬܢܣܶܝܬܽܘܢ,ܢܰܣܶܝܬܽܘܢ,ܐܶܬܢܰܣܰܝܬܽܘܢ,ܐܰܣܶܝܬܽܘܢ,ܐܶܬܬܰܣܰܝܬܽܘܢ
perfect,2FP,ܢܣܰܝܬ̈ܶܝܢ,ܐܶܬܢܣܶܝ̈ܬܶܝܢ,ܢܰܣܶܝܬ̈ܶܝܢ,ܐܶܬܢܰܣܰܝ̈ܬܶܝܢ,ܐܰܣܶܝܬ̈ܶܝܢ,ܐܶܬܬܰܣܰܝ̈ܬܶܝܢ
perfect,1CP,ܢܣܰܝܢ,ܐܶܬܢܣܶܝܢ,ܢܰܣܶܝܢ,ܐܶܬܢܰܣܰܝܢ,ܐܰܣܶܝܢ,ܐܶܬܬܰܣܰܝܢ
imperfect,3MS,ܢܶܣܽܘܝ,ܢܶܬܢܣܶܝ,ܢܢܰܣܶܝ,ܢܶܬܢܰܣܰܝ,ܢܰܣܶܝ,ܢܶܬܬܰܣܰܝ
imperfect,3FS,ܬܶܣܽܘܝ,ܬܶܬܢܣܶܝ,ܬܢܰܣܶܝ,ܬܶܬܢܰܣܰܝ,ܬܰܣܶܝ,ܬܶܬܬܰܣܰܝܝ
imperfect,2MS,ܬܶܣܽܘܝ,ܬܶܬܢܣܶܝ,ܬܢܰܣܶܝ,ܬܶܬܢܰܣܰܝ,ܬܰܣܶܝ,ܬܶܬܬܰܣܰܝ
imperfect,2FS,ܬܶܣܝܺܝܢ,ܬܶܬܢܰܣܝܺܝܢ,ܬܢܰܣܝܺܝܢ,ܬܶܬܢܰܣܝܺܝܢ,ܬܰܣܝܺܝܢ,ܬܶܬܬܰܣܝܺܝܢ
