ܣܓܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܓܳܐ,ܐܶܣܬܓܺܝ,ܣܰܓܺܝ,ܐܶܣܬܰܓܺܝ,ܐܰܣܓܺܝ,ܐܶܬܣܰܬܓܺܝ
perfect,3FS,ܣܓܳܐܬ,ܐܶܣܬܰܓܝܰܬ,ܣܰܓܝܰܬ,ܐܶܣܬܰܓܝܰܬ,ܐܰܣܓܝܰܬ,ܐܶܬܣܰܬܓܝܰܬ
perfect,2MS,ܣܓܰܝܬ,ܐܶܣܬܓܺܝܬ,ܣܰܓܺܝܬ,ܐܶܣܬܰܓܺܝܬ,ܐܰܣܓܺܝܬ,ܐܶܬܣܰܬܓܺܝܬ
perfect,2FS,ܣܓܰܝܬܝ,ܐܶܣܬܓܺܝܬܝ,ܣܰܓܺܝܬܝ,ܐܶܣܬܰܓܺܝܬܝ,ܐܰܣܓܺܝܬܝ,ܐܶܬܣܰܬܓܺܝܬܝ
perfect,1S,ܣܓܺܝܬ,ܐܶܣܬܰܓܺܝܬ,ܣܰܓܺܝܬ,ܐܶܣܬܰܓܺܝܬ,ܐܰܣܓܺܝܬ,ܐܶܬܣܰܬܓܺܝܬ
perfect,3MP,ܣܓܰܘ,ܐܶܣܬܓܺܝܘ,ܣܰܓܺܝܘ,ܐܶܣܬܰܓܺܝܘ,ܐܰܣܓܺܝܘ,ܐܶܬܣܰܬܓܺܝܘ
perfect,3FP,ܣܓܰܝ̈,ܐܶܣܬܓܺܝ̈,ܣܰܓܺܝ̈,ܐܶܣܬܰܓܺܝ̈,ܐܰܣܓܺܝ̈,ܐܶܬܣܰܬܓܺܝ̈
perfect,2MP,ܣܓܰܝܬܽܘܢ,ܐܶܣܬܓܺܝܬܽܘܢ,ܣܰܓܺܝܬܽܘܢ,ܐܶܣܬܰܓܺܝܬܽܘܢ,ܐܰܣܓܺܝܬܽܘܢ,ܐܶܬܣܰܬܓܺܝܬܽܘܢ
perfect,2FP,ܣܓܰܝܬ̈ܶܝܢ,ܐܶܣܬܓܺܝ̈ܬܶܝܢ,ܣܰܓܺܝܬ̈ܶܝܢ,ܐܶܣܬܰܓܺܝ̈ܬܶܝܢ,ܐܰܣܓܺܝܬ̈ܶܝܢ,ܐܶܬܣܰܬܓܺܝܬܶܝ̈ܢ
