ܣܟܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܟܳܐ,ܐܶܣܬܟܺܝ,ܣܰܟܺܝ,ܐܶܣܬܰܟܺܝ,ܐܰܣܟܺܝ,ܐܶܬܣܰܬܟܺܝ
perfect,3FS,ܣܟܳܐܬ,ܐܶܣܬܰܟܝܰܬ,ܣܰܟܝܰܬ,ܐܶܣܬܰܟܝܰܬ,ܐܰܣܟܝܰܬ,ܐܶܬܣܰܬܟܝܰܬ
perfect,2MS,ܣܟܰܝܬ,ܐܶܣܬܟܺܝܬ,ܣܰܟܺܝܬ,ܐܶܣܬܰܟܺܝܬ,ܐܰܣܟܺܝܬ,ܐܶܬܣܰܬܟܺܝܬ
perfect,2FS,ܣܟܰܝܬܝ,ܐܶܣܬܟܺܝܬܝ,ܣܰܟܺܝܬܝ,ܐܶܣܬܰܟܺܝܬܝ,ܐܰܣܟܺܝܬܝ,ܐܶܬܣܰܬܟܺܝܬܝ
perfect,1CS,ܣܟܺܝܬ,ܐܶܣܬܰܟܺܝܬ,ܣܰܟܺܝܬ,ܐܶܣܬܰܟܺܝܬ,ܐܰܣܟܺܝܬ,ܐܶܬܣܰܬܟܺܝܬ
perfect,3MP,ܣܟܰܘ,ܐܶܣܬܟܺܝܘ,ܣܰܟܺܝܘ,ܐܶܣܬܰܟܺܝܘ,ܐܰܣܟܺܝܘ,ܐܶܬܣܰܬܟܺܝܘ
perfect,3FP,ܣܟܰܝ̈,ܐܶܣܬܟܺܝ̈,ܣܰܟܺܝ̈,ܐܶܣܬܰܟܺܝ̈,ܐܰܣܟܺܝ̈,ܐܶܬܣܰܬܟܺܝ̈
perfect,2MP,ܣܟܰܝܬܽܘܢ,ܐܶܣܬܟܺܝܬܽܘܢ,ܣܰܟܺܝܬܽܘܢ,ܐܶܣܬܰܟܺܝܬܽܘܢ,ܐܰܣܟܺܝܬܽܘܢ,ܐܶܬܣܰܬܟܺܝܬܽܘܢ
perfect,2FP,ܣܟܰܝܬ̈ܶܝܢ,ܐܶܣܬܟܺܝ̈ܬܶܝܢ,ܣܰܟܺܝܬ̈ܶܝܢ,ܐܶܣܬܰܟܺܝ̈ܬܶܝܢ,ܐܰܣܟܺܝܬ̈ܶܝܢ,ܐܶܬܣܰܬܟܺܝܬܶܝ̈ܢ
