ܣܢܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܢܳܐ,ܐܶܣܬܢܺܝ,ܣܰܢܺܝ,ܐܶܣܬܰܢܺܝ,ܐܰܣܢܺܝ,ܐܶܬܣܰܬܢܺܝ
perfect,3FS,ܣܢܳܐܬ,ܐܶܣܬܰܢܝܰܬ,ܣܰܢܝܰܬ,ܐܶܣܬܰܢܝܰܬ,ܐܰܣܢܝܰܬ,ܐܶܬܣܰܬܢܝܰܬ
perfect,2MS,ܣܢܰܝܬ,ܐܶܣܬܢܺܝܬ,ܣܰܢܺܝܬ,ܐܶܣܬܰܢܺܝܬ,ܐܰܣܢܺܝܬ,ܐܶܬܣܰܬܢܺܝܬ
perfect,2FS,ܣܢܰܝܬܝ,ܐܶܣܬܢܺܝܬܝ,ܣܰܢܺܝܬܝ,ܐܶܣܬܰܢܺܝܬܝ,ܐܰܣܢܺܝܬܝ,ܐܶܬܣܰܬܢܺܝܬܝ
perfect,1S,ܣܢܺܝܬ,ܐܶܣܬܰܢܺܝܬ,ܣܰܢܺܝܬ,ܐܶܣܬܰܢܺܝܬ,ܐܰܣܢܺܝܬ,ܐܶܬܣܰܬܢܺܝܬ
perfect,3MP,ܣܢܰܘ,ܐܶܣܬܢܺܝܘ,ܣܰܢܺܝܘ,ܐܶܣܬܰܢܺܝܘ,ܐܰܣܢܺܝܘ,ܐܶܬܣܰܬܢܺܝܘ
perfect,3FP,ܣܢܰܝ̈,ܐܶܣܬܢܺܝ̈,ܣܰܢܺܝ̈,ܐܶܣܬܰܢܺܝ̈,ܐܰܣܢܺܝ̈,ܐܶܬܣܰܬܢܺܝ̈
perfect,2MP,ܣܢܰܝܬܽܘܢ,ܐܶܣܬܢܺܝܬܽܘܢ,ܣܰܢܺܝܬܽܘܢ,ܐܶܣܬܰܢܺܝܬܽܘܢ,ܐܰܣܢܺܝܬܽܘܢ,ܐܶܬܣܰܬܢܺܝܬܽܘܢ
perfect,2FP,ܣܢܰܝܬ̈ܶܝܢ,ܐܶܣܬܢܺܝ̈ܬܶܝܢ,ܣܰܢܺܝܬ̈ܶܝܢ,ܐܶܣܬܰܢܺܝ̈ܬܶܝܢ,ܐܰܣܢܺܝܬ̈ܶܝܢ,ܐܶܬܣܰܬܢܺܝܬܶܝ̈ܢ
perfect,1P,ܣܢܰܝܢ,ܐܶܣܬܢܺܝܢ,ܣܰܢܺܝܢ,ܐܶܣܬܰܢܺܝܢ,ܐܰܣܢܺܝܢ,ܐܶܬܣܰܬܢܺܝܢ
imperfect,3MS,ܢܶܣܢܶܐ,ܢܶܣܬܢܶܐ,ܢܣܰܢܶܐ,ܢܶܣܬܰܢܶܐ,ܢܰܣܢܶܐ,ܢܶܬܣܰܬܢܶܐ
imperfect,3FS,ܬܶܣܢܶܐ,ܬܶܣܬܢܶܐ,ܬܣܰܢܶܐ,ܬܶܣܬܰܢܶܐ,ܬܰܣܢܶܐ,ܬܶܬܣܰܬܢܶܐ
imperfect,2MS,ܬܶܣܢܶܐ,ܬܶܣܬܢܶܐ,ܬܣܰܢܶܐ,ܬܶܣܬܰܢܶܐ,ܬܰܣܢܶܐ,ܬܶܬܣܰܬܢܶܐ
imperfect,2FS,ܬܶܣܢܶܝܢ,ܬܶܣܬܢܶܝܢ,ܬܣܰܢܶܝܢ,ܬܶܣܬܰܢܶܝܢ,ܬܰܣܢܶܝܢ,ܬܶܬܣܰܬܢܶܝܢ
imperfect,1S,ܐܶܣܢܶܐ,ܐܶܣܬܢܶܐ,ܐܶܣܰܢܶܐ,ܐܶܣܬܰܢܶܐ,ܐܰܣܢܶܐ,ܐܶܬܣܰܬܢܶܐ
imperfect,3MP,ܢܶܣܢܽܘܢ,ܢܶܣܬܢܽܘܢ,ܢܣܰܢܽܘܢ,ܢܶܣܬܰܢܽܘܢ,ܢܰܣܢܽܘܢ,ܢܶܬܣܰܬܢܽܘܢ
