ܥܢܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܥܢܳܐ,ܐܶܬܥܢܺܝ,ܥܰܢܺܝ,ܐܶܬܥܰܢܺܝ,ܐܰܥܢܺܝ,ܐܶܬܬܰܥܢܺܝ
perfect,3FS,ܥܢܳܐܬ,ܐܶܬܥܰܢܝܰܬ,ܥܰܢܝܰܬ,ܐܶܬܥܰܢܝܰܬ,ܐܰܥܢܝܰܬ,ܐܶܬܬܰܥܢܝܰܬ
perfect,2MS,ܥܢܰܝܬ,ܐܶܬܥܢܺܝܬ,ܥܰܢܺܝܬ,ܐܶܬܥܰܢܺܝܬ,ܐܰܥܢܺܝܬ,ܐܶܬܬܰܥܢܺܝܬ
perfect,2FS,ܥܢܰܝܬܝ,ܐܶܬܥܢܺܝܬܝ,ܥܰܢܺܝܬܝ,ܐܶܬܥܰܢܺܝܬܝ,ܐܰܥܢܺܝܬܝ,ܐܶܬܬܰܥܢܺܝܬܝ
perfect,1CS,ܥܢܺܝܬ,ܐܶܬܥܰܢܺܝܬ,ܥܰܢܺܝܬ,ܐܶܬܥܰܢܺܝܬ,ܐܰܥܢܺܝܬ,ܐܶܬܬܰܥܢܺܝܬ
perfect,3MP,ܥܢܰܘ,ܐܶܬܥܢܺܝܘ,ܥܰܢܺܝܘ,ܐܶܬܥܰܢܺܝܘ,ܐܰܥܢܺܝܘ,ܐܶܬܬܰܥܢܺܝܘ
perfect,3FP,ܥܢܰܝ̈,ܐܶܬܥܢܺܝ̈,ܥܰܢܺܝ̈,ܐܶܬܥܰܢܺܝ̈,ܐܰܥܢܺܝ̈,ܐܶܬܬܰܥܢܺܝ̈
perfect,2MP,ܥܢܰܝܬܽܘܢ,ܐܶܬܥܢܺܝܬܽܘܢ,ܥܰܢܺܝܬܽܘܢ,ܐܶܬܥܰܢܺܝܬܽܘܢ,ܐܰܥܢܺܝܬܽܘܢ,ܐܶܬܬܰܥܢܺܝܬܽܘܢ
perfect,2FP,ܥܢܰܝܬ̈ܶܝܢ,ܐܶܬܥܢܺܝ̈ܬܶܝܢ,ܥܰܢܺܝܬ̈ܶܝܢ,ܐܶܬܥܰܢܺܝ̈ܬܶܝܢ,ܐܰܥܢܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܥܢܺܝܬܶܝ̈ܢ
perfect,1CP,ܥܢܰܝܢ,ܐܶܬܥܢܺܝܢ,ܥܰܢܺܝܢ,ܐܶܬܥܰܢܺܝܢ,ܐܰܥܢܺܝܢ,ܐܶܬܬܰܥܢܺܝܢ
imperfect,3MS,ܢܶܥܢܶܐ,ܢܶܬܥܢܶܐ,ܢܥܰܢܶܐ,ܢܶܬܥܰܢܶܐ,ܢܰܥܢܶܐ,ܢܶܬܬܰܥܢܶܐ
