ܦܢܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܢܳܐ,ܐܶܬܦܢܺܝ,ܦܰܢܺܝ,ܐܶܬܦܰܢܺܝ,ܐܰܦܢܺܝ,ܐܶܬܬܰܦܢܺܝ
perfect,3FS,ܦܢܳܐܬ,ܐܶܬܦܰܢܝܰܬ,ܦܰܢܝܰܬ,ܐܶܬܦܰܢܝܰܬ,ܐܰܦܢܝܰܬ,ܐܶܬܬܰܦܢܝܰܬ
perfect,2MS,ܦܢܰܝܬ,ܐܶܬܦܢܺܝܬ,ܦܰܢܺܝܬ,ܐܶܬܦܰܢܺܝܬ,ܐܰܦܢܺܝܬ,ܐܶܬܬܰܦܢܺܝܬ
perfect,2FS,ܦܢܰܝܬܝ,ܐܶܬܦܢܺܝܬܝ,ܦܰܢܺܝܬܝ,ܐܶܬܦܰܢܺܝܬܝ,ܐܰܦܢܺܝܬܝ,ܐܶܬܬܰܦܢܺܝܬܝ
perfect,1CS,ܦܢܺܝܬ,ܐܶܬܦܰܢܺܝܬ,ܦܰܢܺܝܬ,ܐܶܬܦܰܢܺܝܬ,ܐܰܦܢܺܝܬ,ܐܶܬܬܰܦܢܺܝܬ
perfect,3MP,ܦܢܰܘ,ܐܶܬܦܢܺܝܘ,ܦܰܢܺܝܘ,ܐܶܬܦܰܢܺܝܘ,ܐܰܦܢܺܝܘ,ܐܶܬܬܰܦܢܺܝܘ
perfect,3FP,ܦܢܰܝ̈,ܐܶܬܦܢܺܝ̈,ܦܰܢܺܝ̈,ܐܶܬܦܰܢܺܝ̈,ܐܰܦܢܺܝ̈,ܐܶܬܬܰܦܢܺܝ̈
perfect,2MP,ܦܢܰܝܬܽܘܢ,ܐܶܬܦܢܺܝܬܽܘܢ,ܦܰܢܺܝܬܽܘܢ,ܐܶܬܦܰܢܺܝܬܽܘܢ,ܐܰܦܢܺܝܬܽܘܢ,ܐܶܬܬܰܦܢܺܝܬܽܘܢ
perfect,2FP,ܦܢܰܝܬ̈ܶܝܢ,ܐܶܬܦܢܺܝ̈ܬܶܝܢ,ܦܰܢܺܝܬ̈ܶܝܢ,ܐܶܬܦܰܢܺܝ̈ܬܶܝܢ,ܐܰܦܢܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܦܢܺܝܬܶܝ̈ܢ
