ܦܨܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܨܳܐ,ܐܶܬܦܨܺܝ,ܦܰܨܺܝ,ܐܶܬܦܰܨܺܝ,ܐܰܦܨܺܝ,ܐܶܬܬܰܦܨܺܝ
perfect,3FS,ܦܨܳܐܬ,ܐܶܬܦܰܨܝܰܬ,ܦܰܨܝܰܬ,ܐܶܬܦܰܨܝܰܬ,ܐܰܦܨܝܰܬ,ܐܶܬܬܰܦܨܝܰܬ
perfect,2MS,ܦܨܰܝܬ,ܐܶܬܦܨܺܝܬ,ܦܰܨܺܝܬ,ܐܶܬܦܰܨܺܝܬ,ܐܰܦܨܺܝܬ,ܐܶܬܬܰܦܨܺܝܬ
perfect,2FS,ܦܨܰܝܬܝ,ܐܶܬܦܨܺܝܬܝ,ܦܰܨܺܝܬܝ,ܐܶܬܦܰܨܺܝܬܝ,ܐܰܦܨܺܝܬܝ,ܐܶܬܬܰܦܨܺܝܬܝ
perfect,1CS,ܦܨܺܝܬ,ܐܶܬܦܰܨܺܝܬ,ܦܰܨܺܝܬ,ܐܶܬܦܰܨܺܝܬ,ܐܰܦܨܺܝܬ,ܐܶܬܬܰܦܨܺܝܬ
perfect,3MP,ܦܨܰܘ,ܐܶܬܦܨܺܝܘ,ܦܰܨܺܝܘ,ܐܶܬܦܰܨܺܝܘ,ܐܰܦܨܺܝܘ,ܐܶܬܬܰܦܨܺܝܘ
perfect,3FP,ܦܨܰܝ̈,ܐܶܬܦܨܺܝ̈,ܦܰܨܺܝ̈,ܐܶܬܦܰܨܺܝ̈,ܐܰܦܨܺܝ̈,ܐܶܬܬܰܦܨܺܝ̈
perfect,2MP,ܦܨܰܝܬܽܘܢ,ܐܶܬܦܨܺܝܬܽܘܢ,ܦܰܨܺܝܬܽܘܢ,ܐܶܬܦܰܨܺܝܬܽܘܢ,ܐܰܦܨܺܝܬܽܘܢ,ܐܶܬܬܰܦܨܺܝܬܽܘܢ
perfect,2FP,ܦܨܰܝܬ̈ܶܝܢ,ܐܶܬܦܨܺܝ̈ܬܶܝܢ,ܦܰܨܺܝܬ̈ܶܝܢ,ܐܶܬܦܰܨܺܝ̈ܬܶܝܢ,ܐܰܦܨܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܦܨܺܝܬܶܝ̈ܢ
perfect,1CP,ܦܨܰܝܢ,ܐܶܬܦܨܺܝܢ,ܦܰܨܺܝܢ,ܐܶܬܦܰܨܺܝܢ,ܐܰܦܨܺܝܢ,ܐܶܬܬܰܦܨܺܝܢ
imperfect,3MS,ܢܶܦܨܶܐ,ܢܶܬܦܨܶܐ,ܢܦܰܨܶܐ,ܢܶܬܦܰܨܶܐ,ܢܰܦܨܶܐ,ܢܶܬܬܰܦܨܶܐ
imperfect,3FS,ܬܶܦܨܶܐ,ܬܶܬܦܨܶܐ,ܬܦܰܨܶܐ,ܬܶܬܦܰܨܶܐ,ܬܰܦܨܶܐ,ܬܶܬܬܰܦܨܶܐ
imperfect,2MS,ܬܶܦܨܶܐ,ܬܶܬܦܨܶܐ,ܬܦܰܨܶܐ,ܬܶܬܦܰܨܶܐ,ܬܰܦܨܶܐ,ܬܶܬܬܰܦܨܶܐ
imperfect,2FS,ܬܶܦܨܶܝܢ,ܬܶܬܦܨܶܝܢ,ܬܦܰܨܶܝܢ,ܬܶܬܦܰܨܶܝܢ,ܬܰܦܨܶܝܢ,ܬܶܬܬܰܦܨܶܝܢ
imperfect,1CS,ܐܶܦܨܶܐ,ܐܶܬܦܨܶܐ,ܐܶܦܰܨܶܐ,ܐܶܬܦܰܨܶܐ,ܐܰܦܨܶܐ,ܐܶܬܬܰܦܨܶܐ
imperfect,3MP,ܢܶܦܨܽܘܢ,ܢܶܬܦܨܽܘܢ,ܢܦܰܨܽܘܢ,ܢܶܬܦܰܨܽܘܢ,ܢܰܦܨܽܘܢ,ܢܶܬܬܰܦܨܽܘܢ
imperfect,3FP,ܢܶܦܨܝ̈ܳܢ,ܢܶܬܦܰܨܝ̈ܳܢ,ܢܦܰܨܝ̈ܳܢ,ܢܶܬܦܰܨ̈ܝܳܢ,ܢܰܦܨ̈ܳܢ,ܢܶܬܬܰܦܨ̈ܳܢ
imperfect,2MP,ܬܶܦܨܽܘܢ,ܬܶܬܦܨܽܘܢ,ܬܦܰܨܽܘܢ,ܬܶܬܦܰܨܽܘܢ,ܬܰܦܨܽܘܢ,ܬܶܬܬܰܦܨܽܘܢ
imperfect,2FP,ܬܶܦܨܝ̈ܳܢ,ܬܶܬܦܰܨܝ̈ܳܢ,ܬܦܰܨܝ̈ܳܢ,ܬܶܬܦܰܨ̈ܝܳܢ,ܬܰܦܨ̈ܳܢ,ܬܶܬܬܰܦܨ̈ܳܢ
imperfect,1CP,ܢܶܦܨܶܐ,ܢܶܬܦܨܶܐ,ܢܦܰܨܶܐ,ܢܶܬܦܰܨܶܐ,ܢܰܦܨܶܐ,ܢܶܬܬܰܦܨܶܐ
imperative,MS,ܦܨܺܝ,ܐܶܬܦܨܰܝ,ܦܰܨܳܐ,ܐܶܬܦܰܨܳܐ,ܐܰܦܨܳܐ,ܐܶܬܬܰܦܨܳܐ
imperative,FS,ܦܨܳܝ,ܐܶܬܦܨܳܝ,ܦܰܨܳܝ,ܐܶܬܦܰܨܳܝ,ܐܰܦܨܳܝ,ܐܶܬܬܰܦܨܳܝ
imperative,MP,ܦܨܰܘ,ܐܶܬܦܨܰܘ,ܦܰܨܰܘ,ܐܶܬܦܰܨܰܘ,ܐܰܦܨܰܘ,ܐܶܬܬܰܦܨܰܘ
imperative,FP,ܦܨܰ̈ܝ,ܐܶܬܦܨܳܝ̈ܶܝܢ?,ܦܰܨܳܝ̈,ܐܶܬܦܰܨܳܝ̈,ܐܰܦܨܳܝ̈,ܐܶܬܬܰܦ̈ܨܳܝ
active-participle,MS,ܦܳܨܶܐ,ܡܶܬܦܨܶܐ,ܡܦܰܨܶܐ,ܡܶܬܦܰܨܶܐ,ܡܰܦܨܶܐ,ܡܶܬܬܰܦܨܶܐ
active-participle,FS,ܦܳܨܝܳܐ,ܡܶܬܦܰܨܝܳܐ,ܡܦܰܨܝܐ,ܡܶܬܦܰܨܝܳܐ,ܡܰܦܨܝܳܐ,ܡܶܬܬܰܦܨܝܳܐ
active-participle,MP,ܦܳܨܶܝܢ,ܡܶܬܦܨܶܝܢ,ܡܦܰܨܶܝܢ,ܡܶܬܦܰܨܶܝܢ,ܡܰܦܨܶܝܢ,ܡܶܬܬܰܦܨܶܝܢ
active-participle,FP,ܦܳܨܝ̈ܳܢ,ܡܶܬܦܰܨܝ̈ܳܢ,ܡܦܰܨܝ̈ܳܢ,ܡܶܬܦܰܨ̈ܝܳܢ,ܡܰܦܨ̈ܝܳܢ,ܡܶܬܬܰܦܨ̈ܝܳܢ
passive-participle,MS,ܦܨܶܐ,,ܡܦܰܨܰܝ,,ܡܰܦܨܰܝ,
passive-participle,FS,ܦܰܨܝܳܐ,,ܡܦܰܨܝܳܐ,,ܡܰܦܨܝܳܐ,
passive-participle,MP,ܦܨܶܝܢ,,ܡܦܰܨܶܝܢ,,ܡܰܦܨܶܝܢ,
passive-participle,FP,ܦܰܨܝ̈ܳܢ,,ܡܦܰܨܝ̈ܳܢ,,ܡܰܦܨ̈ܝܳܢ,
infinitive,,ܡܶܦܨܳܐ,ܡܶܬܦܨܳܝܽܘ,ܡܦܰܨܳܝܽܘ,ܡܶܬܦܰܨܳܝܽܘ,ܡܰܦܨܳܝܽܘ,ܡܶܬܬܰܦܨܳܝܽܘ
