ܨܒܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܨܒܳܐ,ܐܶܨܛܒܺܝ,ܨܰܒܺܝ,ܐܶܨܛܰܒܺܝ,ܐܰܨܒܺܝ,ܐܶܬܨܰܛܒܺܝ
perfect,3FS,ܨܒܳܐܬ,ܐܶܨܛܰܒܝܰܬ,ܨܰܒܝܰܬ,ܐܶܨܛܰܒܝܰܬ,ܐܰܨܒܝܰܬ,ܐܶܬܨܰܛܒܝܰܬ
perfect,2MS,ܨܒܰܝܬ,ܐܶܨܛܒܺܝܬ,ܨܰܒܺܝܬ,ܐܶܨܛܰܒܺܝܬ,ܐܰܨܒܺܝܬ,ܐܶܬܨܰܛܒܺܝܬ
perfect,2FS,ܨܒܰܝܬܝ,ܐܶܨܛܒܺܝܬܝ,ܨܰܒܺܝܬܝ,ܐܶܨܛܰܒܺܝܬܝ,ܐܰܨܒܺܝܬܝ,ܐܶܬܨܰܛܒܺܝܬܝ
perfect,1CS,ܨܒܺܝܬ,ܐܶܨܛܰܒܺܝܬ,ܨܰܒܺܝܬ,ܐܶܨܛܰܒܺܝܬ,ܐܰܨܒܺܝܬ,ܐܶܬܨܰܛܒܺܝܬ
perfect,3MP,ܨܒܰܘ,ܐܶܨܛܒܺܝܘ,ܨܰܒܺܝܘ,ܐܶܨܛܰܒܺܝܘ,ܐܰܨܒܺܝܘ,ܐܶܬܨܰܛܒܺܝܘ
perfect,3FP,ܨܒܰܝ̈,ܐܶܨܛܒܺܝ̈,ܨܰܒܺܝ̈,ܐܶܨܛܰܒܺܝ̈,ܐܰܨܒܺܝ̈,ܐܶܬܨܰܛܒܺܝ̈
perfect,2MP,ܨܒܰܝܬܽܘܢ,ܐܶܨܛܒܺܝܬܽܘܢ,ܨܰܒܺܝܬܽܘܢ,ܐܶܨܛܰܒܺܝܬܽܘܢ,ܐܰܨܒܺܝܬܽܘܢ,ܐܶܬܨܰܛܒܺܝܬܽܘܢ
perfect,2FP,ܨܒܰܝܬ̈ܶܝܢ,ܐܶܨܛܒܺܝ̈ܬܶܝܢ,ܨܰܒܺܝܬ̈ܶܝܢ,ܐܶܨܛܰܒܺܝ̈ܬܶܝܢ,ܐܰܨܒܺܝܬ̈ܶܝܢ,ܐܶܬܨܰܛܒܺܝܬܶܝ̈ܢ
perfect,1CP,ܨܒܰܝܢ,ܐܶܨܛܒܺܝܢ,ܨܰܒܺܝܢ,ܐܶܨܛܰܒܺܝܢ,ܐܰܨܒܺܝܢ,ܐܶܬܨܰܛܒܺܝܢ
imperfect,3MS,ܢܶܨܒܶܐ,ܢܶܨܛܒܶܐ,ܢܨܰܒܶܐ,ܢܶܨܛܰܒܶܐ,ܢܰܨܒܶܐ,ܢܶܬܨܰܛܒܶܐ
imperfect,3FS,ܬܶܨܒܶܐ,ܬܶܨܛܒܶܐ,ܬܨܰܒܶܐ,ܬܶܨܛܰܒܶܐ,ܬܰܨܒܶܐ,ܬܶܬܨܰܛܒܶܐ
imperfect,2MS,ܬܶܨܒܶܐ,ܬܶܨܛܒܶܐ,ܬܨܰܒܶܐ,ܬܶܨܛܰܒܶܐ,ܬܰܨܒܶܐ,ܬܶܬܨܰܛܒܶܐ
imperfect,2FS,ܬܶܨܒܶܝܢ,ܬܶܨܛܒܶܝܢ,ܬܨܰܒܶܝܢ,ܬܶܨܛܰܒܶܝܢ,ܬܰܨܒܶܝܢ,ܬܶܬܨܰܛܒܶܝܢ
imperfect,1CS,ܐܶܨܒܶܐ,ܐܶܨܛܒܶܐ,ܐܶܨܰܒܶܐ,ܐܶܨܛܰܒܶܐ,ܐܰܨܒܶܐ,ܐܶܬܨܰܛܒܶܐ
imperfect,3MP,ܢܶܨܒܽܘܢ,ܢܶܨܛܒܽܘܢ,ܢܨܰܒܽܘܢ,ܢܶܨܛܰܒܽܘܢ,ܢܰܨܒܽܘܢ,ܢܶܬܨܰܛܒܽܘܢ
imperfect,3FP,ܢܶܨܒܝ̈ܳܢ,ܢܶܨܛܰܒܝ̈ܳܢ,ܢܨܰܒܝ̈ܳܢ,ܢܶܨܛܰܒ̈ܝܳܢ,ܢܰܨܒ̈ܳܢ,ܢܶܬܨܰܛܒ̈ܳܢ
imperfect,2MP,ܬܶܨܒܽܘܢ,ܬܶܨܛܒܽܘܢ,ܬܨܰܒܽܘܢ,ܬܶܨܛܰܒܽܘܢ,ܬܰܨܒܽܘܢ,ܬܶܬܨܰܛܒܽܘܢ
