ܨܠܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܨܠܳܐ,ܐܶܨܛܠܺܝ,ܨܰܠܺܝ,ܐܶܨܛܰܠܺܝ,ܐܰܨܠܺܝ,ܐܶܬܨܰܛܠܺܝ
perfect,3FS,ܨܠܳܐܬ,ܐܶܨܛܰܠܝܰܬ,ܨܰܠܝܰܬ,ܐܶܨܛܰܠܝܰܬ,ܐܰܨܠܝܰܬ,ܐܶܬܨܰܛܠܝܰܬ
perfect,2MS,ܨܠܰܝܬ,ܐܶܨܛܠܺܝܬ,ܨܰܠܺܝܬ,ܐܶܨܛܰܠܺܝܬ,ܐܰܨܠܺܝܬ,ܐܶܬܨܰܛܠܺܝܬ
perfect,2FS,ܨܠܰܝܬܝ,ܐܶܨܛܠܺܝܬܝ,ܨܰܠܺܝܬܝ,ܐܶܨܛܰܠܺܝܬܝ,ܐܰܨܠܺܝܬܝ,ܐܶܬܨܰܛܠܺܝܬܝ
perfect,1CS,ܨܠܺܝܬ,ܐܶܨܛܰܠܺܝܬ,ܨܰܠܺܝܬ,ܐܶܨܛܰܠܺܝܬ,ܐܰܨܠܺܝܬ,ܐܶܬܨܰܛܠܺܝܬ
perfect,3MP,ܨܠܰܘ,ܐܶܨܛܠܺܝܘ,ܨܰܠܺܝܘ,ܐܶܨܛܰܠܺܝܘ,ܐܰܨܠܺܝܘ,ܐܶܬܨܰܛܠܺܝܘ
perfect,3FP,ܨܠܰܝ̈,ܐܶܨܛܠܺܝ̈,ܨܰܠܺܝ̈,ܐܶܨܛܰܠܺܝ̈,ܐܰܨܠܺܝ̈,ܐܶܬܨܰܛܠܺܝ̈
perfect,2MP,ܨܠܰܝܬܽܘܢ,ܐܶܨܛܠܺܝܬܽܘܢ,ܨܰܠܺܝܬܽܘܢ,ܐܶܨܛܰܠܺܝܬܽܘܢ,ܐܰܨܠܺܝܬܽܘܢ,ܐܶܬܨܰܛܠܺܝܬܽܘܢ
perfect,2FP,ܨܠܰܝܬ̈ܶܝܢ,ܐܶܨܛܠܺܝ̈ܬܶܝܢ,ܨܰܠܺܝܬ̈ܶܝܢ,ܐܶܨܛܰܠܺܝ̈ܬܶܝܢ,ܐܰܨܠܺܝܬ̈ܶܝܢ,ܐܶܬܨܰܛܠܺܝܬܶܝ̈ܢ
perfect,1CP,ܨܠܰܝܢ,ܐܶܨܛܠܺܝܢ,ܨܰܠܺܝܢ,ܐܶܨܛܰܠܺܝܢ,ܐܰܨܠܺܝܢ,ܐܶܬܨܰܛܠܺܝܢ
imperfect,3MS,ܢܶܨܠܶܐ,ܢܶܨܛܠܶܐ,ܢܨܰܠܶܐ,ܢܶܨܛܰܠܶܐ,ܢܰܨܠܶܐ,ܢܶܬܨܰܛܠܶܐ
imperfect,3FS,ܬܶܨܠܶܐ,ܬܶܨܛܠܶܐ,ܬܨܰܠܶܐ,ܬܶܨܛܰܠܶܐ,ܬܰܨܠܶܐ,ܬܶܬܨܰܛܠܶܐ
imperfect,2MS,ܬܶܨܠܶܐ,ܬܶܨܛܠܶܐ,ܬܨܰܠܶܐ,ܬܶܨܛܰܠܶܐ,ܬܰܨܠܶܐ,ܬܶܬܨܰܛܠܶܐ
imperfect,2FS,ܬܶܨܠܶܝܢ,ܬܶܨܛܠܶܝܢ,ܬܨܰܠܶܝܢ,ܬܶܨܛܰܠܶܝܢ,ܬܰܨܠܶܝܢ,ܬܶܬܨܰܛܠܶܝܢ
imperfect,1CS,ܐܶܨܠܶܐ,ܐܶܨܛܠܶܐ,ܐܶܨܰܠܶܐ,ܐܶܨܛܰܠܶܐ,ܐܰܨܠܶܐ,ܐܶܬܨܰܛܠܶܐ
imperfect,3MP,ܢܶܨܠܽܘܢ,ܢܶܨܛܠܽܘܢ,ܢܨܰܠܽܘܢ,ܢܶܨܛܰܠܽܘܢ,ܢܰܨܠܽܘܢ,ܢܶܬܨܰܛܠܽܘܢ
imperfect,3FP,ܢܶܨܠܝ̈ܳܢ,ܢܶܨܛܰܠܝ̈ܳܢ,ܢܨܰܠܝ̈ܳܢ,ܢܶܨܛܰܠ̈ܝܳܢ,ܢܰܨܠ̈ܳܢ,ܢܶܬܨܰܛܠ̈ܳܢ
imperfect,2MP,ܬܶܨܠܽܘܢ,ܬܶܨܛܠܽܘܢ,ܬܨܰܠܽܘܢ,ܬܶܨܛܰܠܽܘܢ,ܬܰܨܠܽܘܢ,ܬܶܬܨܰܛܠܽܘܢ
imperfect,2FP,ܬܶܨܠܝ̈ܳܢ,ܬܶܨܛܰܠܝ̈ܳܢ,ܬܨܰܠܝ̈ܳܢ,ܬܶܨܛܰܠ̈ܝܳܢ,ܬܰܨܠ̈ܳܢ,ܬܶܬܨܰܛܠ̈ܳܢ
imperfect,1CP,ܢܶܨܠܶܐ,ܢܶܨܛܠܶܐ,ܢܨܰܠܶܐ,ܢܶܨܛܰܠܶܐ,ܢܰܨܠܶܐ,ܢܶܬܨܰܛܠܶܐ
imperative,MS,ܨܠܺܝ,ܐܶܨܛܠܰܝ,ܨܰܠܳܐ,ܐܶܨܛܰܠܳܐ,ܐܰܨܠܳܐ,ܐܶܬܨܰܛܠܳܐ
imperative,FS,ܨܠܳܝ,ܐܶܨܛܠܳܝ,ܨܰܠܳܝ,ܐܶܨܛܰܠܳܝ,ܐܰܨܠܳܝ,ܐܶܬܨܰܛܠܳܝ
imperative,MP,ܨܠܰܘ,ܐܶܨܛܠܰܘ,ܨܰܠܰܘ,ܐܶܨܛܰܠܰܘ,ܐܰܨܠܰܘ,ܐܶܬܨܰܛܠܰܘ
imperative,FP,ܨܠܰ̈ܝ,ܐܶܨܛܠܳܝ̈ܶܝܢ?,ܨܰܠܳܝ̈,ܐܶܨܛܰܠܳܝ̈,ܐܰܨܠܳܝ̈,ܐܶܬܨܰܛ̈ܠܳܝ
active-participle,MS,ܨܳܠܶܐ,ܡܶܨܛܠܶܐ,ܡܨܰܠܶܐ,ܡܶܨܛܰܠܶܐ,ܡܰܨܠܶܐ,ܡܶܬܨܰܛܠܶܐ
active-participle,FS,ܨܳܠܝܳܐ,ܡܶܨܛܰܠܝܳܐ,ܡܨܰܠܝܐ,ܡܶܨܛܰܠܝܳܐ,ܡܰܨܠܝܳܐ,ܡܶܬܨܰܛܠܝܳܐ
active-participle,MP,ܨܳܠܶܝܢ,ܡܶܨܛܠܶܝܢ,ܡܨܰܠܶܝܢ,ܡܶܨܛܰܠܶܝܢ,ܡܰܨܠܶܝܢ,ܡܶܬܨܰܛܠܶܝܢ
active-participle,FP,ܨܳܠܝ̈ܳܢ,ܡܶܨܛܰܠܝ̈ܳܢ,ܡܨܰܠܝ̈ܳܢ,ܡܶܨܛܰܠ̈ܝܳܢ,ܡܰܨܠ̈ܝܳܢ,ܡܶܬܨܰܛܠ̈ܝܳܢ
passive-participle,MS,ܨܠܶܐ,,ܡܨܰܠܰܝ,,ܡܰܨܠܰܝ,
passive-participle,FS,ܨܰܠܝܳܐ,,ܡܨܰܠܝܳܐ,,ܡܰܨܠܝܳܐ,
passive-participle,MP,ܨܠܶܝܢ,,ܡܨܰܠܶܝܢ,,ܡܰܨܠܶܝܢ,
passive-participle,FP,ܨܰܠܝ̈ܳܢ,,ܡܨܰܠܝ̈ܳܢ,,ܡܰܨܠ̈ܝܳܢ,
