ܩܥܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܥܳܐ,ܐܶܬܩܥܺܝ,ܩܰܥܺܝ,ܐܶܬܩܰܥܺܝ,ܐܰܩܥܺܝ,ܐܶܬܬܰܩܥܺܝ
perfect,3FS,ܩܥܳܐܬ,ܐܶܬܩܰܥܝܰܬ,ܩܰܥܝܰܬ,ܐܶܬܩܰܥܝܰܬ,ܐܰܩܥܝܰܬ,ܐܶܬܬܰܩܥܝܰܬ
perfect,2MS,ܩܥܰܝܬ,ܐܶܬܩܥܺܝܬ,ܩܰܥܺܝܬ,ܐܶܬܩܰܥܺܝܬ,ܐܰܩܥܺܝܬ,ܐܶܬܬܰܩܥܺܝܬ
perfect,2FS,ܩܥܰܝܬܝ,ܐܶܬܩܥܺܝܬܝ,ܩܰܥܺܝܬܝ,ܐܶܬܩܰܥܺܝܬܝ,ܐܰܩܥܺܝܬܝ,ܐܶܬܬܰܩܥܺܝܬܝ
perfect,1CS,ܩܥܺܝܬ,ܐܶܬܩܰܥܺܝܬ,ܩܰܥܺܝܬ,ܐܶܬܩܰܥܺܝܬ,ܐܰܩܥܺܝܬ,ܐܶܬܬܰܩܥܺܝܬ
perfect,3MP,ܩܥܰܘ,ܐܶܬܩܥܺܝܘ,ܩܰܥܺܝܘ,ܐܶܬܩܰܥܺܝܘ,ܐܰܩܥܺܝܘ,ܐܶܬܬܰܩܥܺܝܘ
perfect,3FP,ܩܥܰܝ̈,ܐܶܬܩܥܺܝ̈,ܩܰܥܺܝ̈,ܐܶܬܩܰܥܺܝ̈,ܐܰܩܥܺܝ̈,ܐܶܬܬܰܩܥܺܝ̈
perfect,2MP,ܩܥܰܝܬܽܘܢ,ܐܶܬܩܥܺܝܬܽܘܢ,ܩܰܥܺܝܬܽܘܢ,ܐܶܬܩܰܥܺܝܬܽܘܢ,ܐܰܩܥܺܝܬܽܘܢ,ܐܶܬܬܰܩܥܺܝܬܽܘܢ
perfect,2FP,ܩܥܰܝܬ̈ܶܝܢ,ܐܶܬܩܥܺܝ̈ܬܶܝܢ,ܩܰܥܺܝܬ̈ܶܝܢ,ܐܶܬܩܰܥܺܝ̈ܬܶܝܢ,ܐܰܩܥܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܩܥܺܝܬܶܝ̈ܢ
perfect,1CP,ܩܥܰܝܢ,ܐܶܬܩܥܺܝܢ,ܩܰܥܺܝܢ,ܐܶܬܩܰܥܺܝܢ,ܐܰܩܥܺܝܢ,ܐܶܬܬܰܩܥܺܝܢ
imperfect,3MS,ܢܶܩܥܶܐ,ܢܶܬܩܥܶܐ,ܢܩܰܥܶܐ,ܢܶܬܩܰܥܶܐ,ܢܰܩܥܶܐ,ܢܶܬܬܰܩܥܶܐ
imperfect,3FS,ܬܶܩܥܶܐ,ܬܶܬܩܥܶܐ,ܬܩܰܥܶܐ,ܬܶܬܩܰܥܶܐ,ܬܰܩܥܶܐ,ܬܶܬܬܰܩܥܶܐ
imperfect,2MS,ܬܶܩܥܶܐ,ܬܶܬܩܥܶܐ,ܬܩܰܥܶܐ,ܬܶܬܩܰܥܶܐ,ܬܰܩܥܶܐ,ܬܶܬܬܰܩܥܶܐ
imperfect,2FS,ܬܶܩܥܶܝܢ,ܬܶܬܩܥܶܝܢ,ܬܩܰܥܶܝܢ,ܬܶܬܩܰܥܶܝܢ,ܬܰܩܥܶܝܢ,ܬܶܬܬܰܩܥܶܝܢ
imperfect,1CS,ܐܶܩܥܶܐ,ܐܶܬܩܥܶܐ,ܐܶܩܰܥܶܐ,ܐܶܬܩܰܥܶܐ,ܐܰܩܥܶܐ,ܐܶܬܬܰܩܥܶܐ
imperfect,3MP,ܢܶܩܥܽܘܢ,ܢܶܬܩܥܽܘܢ,ܢܩܰܥܽܘܢ,ܢܶܬܩܰܥܽܘܢ,ܢܰܩܥܽܘܢ,ܢܶܬܬܰܩܥܽܘܢ
imperfect,3FP,ܢܶܩܥܝ̈ܳܢ,ܢܶܬܩܰܥܝ̈ܳܢ,ܢܩܰܥܝ̈ܳܢ,ܢܶܬܩܰܥ̈ܝܳܢ,ܢܰܩܥ̈ܳܢ,ܢܶܬܬܰܩܥ̈ܳܢ
imperfect,2MP,ܬܶܩܥܽܘܢ,ܬܶܬܩܥܽܘܢ,ܬܩܰܥܽܘܢ,ܬܶܬܩܰܥܽܘܢ,ܬܰܩܥܽܘܢ,ܬܶܬܬܰܩܥܽܘܢ
imperfect,2FP,ܬܶܩܥܝ̈ܳܢ,ܬܶܬܩܰܥܝ̈ܳܢ,ܬܩܰܥܝ̈ܳܢ,ܬܶܬܩܰܥ̈ܝܳܢ,ܬܰܩܥ̈ܳܢ,ܬܶܬܬܰܩܥ̈ܳܢ
imperfect,1CP,ܢܶܩܥܶܐ,ܢܶܬܩܥܶܐ,ܢܩܰܥܶܐ,ܢܶܬܩܰܥܶܐ,ܢܰܩܥܶܐ,ܢܶܬܬܰܩܥܶܐ
imperative,MS,ܩܥܺܝ,ܐܶܬܩܥܰܝ,ܩܰܥܳܐ,ܐܶܬܩܰܥܳܐ,ܐܰܩܥܳܐ,ܐܶܬܬܰܩܥܳܐ
imperative,FS,ܩܥܳܝ,ܐܶܬܩܥܳܝ,ܩܰܥܳܝ,ܐܶܬܩܰܥܳܝ,ܐܰܩܥܳܝ,ܐܶܬܬܰܩܥܳܝ
imperative,MP,ܩܥܰܘ,ܐܶܬܩܥܰܘ,ܩܰܥܰܘ,ܐܶܬܩܰܥܰܘ,ܐܰܩܥܰܘ,ܐܶܬܬܰܩܥܰܘ
