ܩܨܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܨܳܐ,ܐܶܬܩܨܺܝ,ܩܰܨܺܝ,ܐܶܬܩܰܨܺܝ,ܐܰܩܨܺܝ,ܐܶܬܬܰܩܨܺܝ
perfect,3FS,ܩܨܳܐܬ,ܐܶܬܩܰܨܝܰܬ,ܩܰܨܝܰܬ,ܐܶܬܩܰܨܝܰܬ,ܐܰܩܨܝܰܬ,ܐܶܬܬܰܩܨܝܰܬ
perfect,2MS,ܩܨܰܝܬ,ܐܶܬܩܨܺܝܬ,ܩܰܨܺܝܬ,ܐܶܬܩܰܨܺܝܬ,ܐܰܩܨܺܝܬ,ܐܶܬܬܰܩܨܺܝܬ
perfect,2FS,ܩܨܰܝܬܝ,ܐܶܬܩܨܺܝܬܝ,ܩܰܨܺܝܬܝ,ܐܶܬܩܰܨܺܝܬܝ,ܐܰܩܨܺܝܬܝ,ܐܶܬܬܰܩܨܺܝܬܝ
perfect,1CS,ܩܨܺܝܬ,ܐܶܬܩܰܨܺܝܬ,ܩܰܨܺܝܬ,ܐܶܬܩܰܨܺܝܬ,ܐܰܩܨܺܝܬ,ܐܶܬܬܰܩܨܺܝܬ
perfect,3MP,ܩܨܰܘ,ܐܶܬܩܨܺܝܘ,ܩܰܨܺܝܘ,ܐܶܬܩܰܨܺܝܘ,ܐܰܩܨܺܝܘ,ܐܶܬܬܰܩܨܺܝܘ
perfect,3FP,ܩܨܰܝ̈,ܐܶܬܩܨܺܝ̈,ܩܰܨܺܝ̈,ܐܶܬܩܰܨܺܝ̈,ܐܰܩܨܺܝ̈,ܐܶܬܬܰܩܨܺܝ̈
perfect,2MP,ܩܨܰܝܬܽܘܢ,ܐܶܬܩܨܺܝܬܽܘܢ,ܩܰܨܺܝܬܽܘܢ,ܐܶܬܩܰܨܺܝܬܽܘܢ,ܐܰܩܨܺܝܬܽܘܢ,ܐܶܬܬܰܩܨܺܝܬܽܘܢ
perfect,2FP,ܩܨܰܝܬ̈ܶܝܢ,ܐܶܬܩܨܺܝ̈ܬܶܝܢ,ܩܰܨܺܝܬ̈ܶܝܢ,ܐܶܬܩܰܨܺܝ̈ܬܶܝܢ,ܐܰܩܨܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܩܨܺܝܬܶܝ̈ܢ
perfect,1CP,ܩܨܰܝܢ,ܐܶܬܩܨܺܝܢ,ܩܰܨܺܝܢ,ܐܶܬܩܰܨܺܝܢ,ܐܰܩܨܺܝܢ,ܐܶܬܬܰܩܨܺܝܢ
imperfect,3MS,ܢܶܩܨܶܐ,ܢܶܬܩܨܶܐ,ܢܩܰܨܶܐ,ܢܶܬܩܰܨܶܐ,ܢܰܩܨܶܐ,ܢܶܬܬܰܩܨܶܐ
