ܩܪܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܪܳܐ,ܐܶܬܩܪܺܝ,ܩܰܪܺܝ,ܐܶܬܩܰܪܺܝ,ܐܰܩܪܺܝ,ܐܶܬܬܰܩܪܺܝ
perfect,3FS,ܩܪܳܐܬ,ܐܶܬܩܰܪܝܰܬ,ܩܰܪܝܰܬ,ܐܶܬܩܰܪܝܰܬ,ܐܰܩܪܝܰܬ,ܐܶܬܬܰܩܪܝܰܬ
perfect,2MS,ܩܪܰܝܬ,ܐܶܬܩܪܺܝܬ,ܩܰܪܺܝܬ,ܐܶܬܩܰܪܺܝܬ,ܐܰܩܪܺܝܬ,ܐܶܬܬܰܩܪܺܝܬ
perfect,2FS,ܩܪܰܝܬܝ,ܐܶܬܩܪܺܝܬܝ,ܩܰܪܺܝܬܝ,ܐܶܬܩܰܪܺܝܬܝ,ܐܰܩܪܺܝܬܝ,ܐܶܬܬܰܩܪܺܝܬܝ
perfect,1CS,ܩܪܺܝܬ,ܐܶܬܩܰܪܺܝܬ,ܩܰܪܺܝܬ,ܐܶܬܩܰܪܺܝܬ,ܐܰܩܪܺܝܬ,ܐܶܬܬܰܩܪܺܝܬ
perfect,3MP,ܩܪܰܘ,ܐܶܬܩܪܺܝܘ,ܩܰܪܺܝܘ,ܐܶܬܩܰܪܺܝܘ,ܐܰܩܪܺܝܘ,ܐܶܬܬܰܩܪܺܝܘ
perfect,3FP,ܩܪܰܝ̈,ܐܶܬܩܪܺܝ̈,ܩܰܪܺܝ̈,ܐܶܬܩܰܪܺܝ̈,ܐܰܩܪܺܝ̈,ܐܶܬܬܰܩܪܺܝ̈
perfect,2MP,ܩܪܰܝܬܽܘܢ,ܐܶܬܩܪܺܝܬܽܘܢ,ܩܰܪܺܝܬܽܘܢ,ܐܶܬܩܰܪܺܝܬܽܘܢ,ܐܰܩܪܺܝܬܽܘܢ,ܐܶܬܬܰܩܪܺܝܬܽܘܢ
perfect,2FP,ܩܪܰܝܬ̈ܶܝܢ,ܐܶܬܩܪܺܝ̈ܬܶܝܢ,ܩܰܪܺܝܬ̈ܶܝܢ,ܐܶܬܩܰܪܺܝ̈ܬܶܝܢ,ܐܰܩܪܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܩܪܺܝܬܶܝ̈ܢ
perfect,1CP,ܩܪܰܝܢ,ܐܶܬܩܪܺܝܢ,ܩܰܪܺܝܢ,ܐܶܬܩܰܪܺܝܢ,ܐܰܩܪܺܝܢ,ܐܶܬܬܰܩܪܺܝܢ
imperfect,3MS,ܢܶܩܪܶܐ,ܢܶܬܩܪܶܐ,ܢܩܰܪܶܐ,ܢܶܬܩܰܪܶܐ,ܢܰܩܪܶܐ,ܢܶܬܬܰܩܪܶܐ
imperfect,3FS,ܬܶܩܪܶܐ,ܬܶܬܩܪܶܐ,ܬܩܰܪܶܐ,ܬܶܬܩܰܪܶܐ,ܬܰܩܪܶܐ,ܬܶܬܬܰܩܪܶܐ
imperfect,2MS,ܬܶܩܪܶܐ,ܬܶܬܩܪܶܐ,ܬܩܰܪܶܐ,ܬܶܬܩܰܪܶܐ,ܬܰܩܪܶܐ,ܬܶܬܬܰܩܪܶܐ
imperfect,2FS,ܬܶܩܪܶܝܢ,ܬܶܬܩܪܶܝܢ,ܬܩܰܪܶܝܢ,ܬܶܬܩܰܪܶܝܢ,ܬܰܩܪܶܝܢ,ܬܶܬܬܰܩܪܶܝܢ
imperfect,1CS,ܐܶܩܪܶܐ,ܐܶܬܩܪܶܐ,ܐܶܩܰܪܶܐ,ܐܶܬܩܰܪܶܐ,ܐܰܩܪܶܐ,ܐܶܬܬܰܩܪܶܐ
imperfect,3MP,ܢܶܩܪܽܘܢ,ܢܶܬܩܪܽܘܢ,ܢܩܰܪܽܘܢ,ܢܶܬܩܰܪܽܘܢ,ܢܰܩܪܽܘܢ,ܢܶܬܬܰܩܪܽܘܢ
imperfect,3FP,ܢܶܩܪܝ̈ܳܢ,ܢܶܬܩܰܪܝ̈ܳܢ,ܢܩܰܪܝ̈ܳܢ,ܢܶܬܩܰܪ̈ܝܳܢ,ܢܰܩܪ̈ܳܢ,ܢܶܬܬܰܩܪ̈ܳܢ
imperfect,2MP,ܬܶܩܪܽܘܢ,ܬܶܬܩܪܽܘܢ,ܬܩܰܪܽܘܢ,ܬܶܬܩܰܪܽܘܢ,ܬܰܩܪܽܘܢ,ܬܶܬܬܰܩܪܽܘܢ
imperfect,2FP,ܬܶܩܪܝ̈ܳܢ,ܬܶܬܩܰܪܝ̈ܳܢ,ܬܩܰܪܝ̈ܳܢ,ܬܶܬܩܰܪ̈ܝܳܢ,ܬܰܩܪ̈ܳܢ,ܬܶܬܬܰܩܪ̈ܳܢ
imperfect,1CP,ܢܶܩܪܶܐ,ܢܶܬܩܪܶܐ,ܢܩܰܪܶܐ,ܢܶܬܩܰܪܶܐ,ܢܰܩܪܶܐ,ܢܶܬܬܰܩܪܶܐ
imperative,MS,ܩܪܺܝ,ܐܶܬܩܪܰܝ,ܩܰܪܳܐ,ܐܶܬܩܰܪܳܐ,ܐܰܩܪܳܐ,ܐܶܬܬܰܩܪܳܐ
imperative,FS,ܩܪܳܝ,ܐܶܬܩܪܳܝ,ܩܰܪܳܝ,ܐܶܬܩܰܪܳܝ,ܐܰܩܪܳܝ,ܐܶܬܬܰܩܪܳܝ
imperative,MP,ܩܪܰܘ,ܐܶܬܩܪܰܘ,ܩܰܪܰܘ,ܐܶܬܩܰܪܰܘ,ܐܰܩܪܰܘ,ܐܶܬܬܰܩܪܰܘ
imperative,FP,ܩܪܰ̈ܝ,ܐܶܬܩܪܳܝ̈ܶܝܢ?,ܩܰܪܳܝ̈,ܐܶܬܩܰܪܳܝ̈,ܐܰܩܪܳܝ̈,ܐܶܬܬܰܩ̈ܪܳܝ
active-participle,MS,ܩܳܪܶܐ,ܡܶܬܩܪܶܐ,ܡܩܰܪܶܐ,ܡܶܬܩܰܪܶܐ,ܡܰܩܪܶܐ,ܡܶܬܬܰܩܪܶܐ
active-participle,FS,ܩܳܪܝܳܐ,ܡܶܬܩܰܪܝܳܐ,ܡܩܰܪܝܐ,ܡܶܬܩܰܪܝܳܐ,ܡܰܩܪܝܳܐ,ܡܶܬܬܰܩܪܝܳܐ
active-participle,MP,ܩܳܪܶܝܢ,ܡܶܬܩܪܶܝܢ,ܡܩܰܪܶܝܢ,ܡܶܬܩܰܪܶܝܢ,ܡܰܩܪܶܝܢ,ܡܶܬܬܰܩܪܶܝܢ
active-participle,FP,ܩܳܪܝ̈ܳܢ,ܡܶܬܩܰܪܝ̈ܳܢ,ܡܩܰܪܝ̈ܳܢ,ܡܶܬܩܰܪ̈ܝܳܢ,ܡܰܩܪ̈ܝܳܢ,ܡܶܬܬܰܩܪ̈ܝܳܢ
passive-participle,MS,ܩܪܶܐ,,ܡܩܰܪܰܝ,,ܡܰܩܪܰܝ,
passive-participle,FS,ܩܰܪܝܳܐ,,ܡܩܰܪܝܳܐ,,ܡܰܩܪܝܳܐ,
passive-participle,MP,ܩܪܶܝܢ,,ܡܩܰܪܶܝܢ,,ܡܰܩܪܶܝܢ,
passive-participle,FP,ܩܰܪܝ̈ܳܢ,,ܡܩܰܪܝ̈ܳܢ,,ܡܰܩܪ̈ܝܳܢ,
infinitive,,ܡܶܩܪܳܐ,ܡܶܬܩܪܳܝܽܘ,ܡܩܰܪܳܝܽܘ,ܡܶܬܩܰܪܳܝܽܘ,ܡܰܩܪܳܝܽܘ,ܡܶܬܬܰܩܪܳܝܽܘ
