ܪܒܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܒܳܐ,ܐܶܬܪܒܺܝ,ܪܰܒܺܝ,ܐܶܬܪܰܒܺܝ,ܐܰܪܒܺܝ,ܐܶܬܬܰܪܒܺܝ
perfect,3FS,ܪܒܳܐܬ,ܐܶܬܪܰܒܝܰܬ,ܪܰܒܝܰܬ,ܐܶܬܪܰܒܝܰܬ,ܐܰܪܒܝܰܬ,ܐܶܬܬܰܪܒܝܰܬ
perfect,2MS,ܪܒܰܝܬ,ܐܶܬܪܒܺܝܬ,ܪܰܒܺܝܬ,ܐܶܬܪܰܒܺܝܬ,ܐܰܪܒܺܝܬ,ܐܶܬܬܰܪܒܺܝܬ
perfect,2FS,ܪܒܰܝܬܝ,ܐܶܬܪܒܺܝܬܝ,ܪܰܒܺܝܬܝ,ܐܶܬܪܰܒܺܝܬܝ,ܐܰܪܒܺܝܬܝ,ܐܶܬܬܰܪܒܺܝܬܝ
perfect,1CS,ܪܒܺܝܬ,ܐܶܬܪܰܒܺܝܬ,ܪܰܒܺܝܬ,ܐܶܬܪܰܒܺܝܬ,ܐܰܪܒܺܝܬ,ܐܶܬܬܰܪܒܺܝܬ
perfect,3MP,ܪܒܰܘ,ܐܶܬܪܒܺܝܘ,ܪܰܒܺܝܘ,ܐܶܬܪܰܒܺܝܘ,ܐܰܪܒܺܝܘ,ܐܶܬܬܰܪܒܺܝܘ
perfect,3FP,ܪܒܰܝ̈,ܐܶܬܪܒܺܝ̈,ܪܰܒܺܝ̈,ܐܶܬܪܰܒܺܝ̈,ܐܰܪܒܺܝ̈,ܐܶܬܬܰܪܒܺܝ̈
perfect,2MP,ܪܒܰܝܬܽܘܢ,ܐܶܬܪܒܺܝܬܽܘܢ,ܪܰܒܺܝܬܽܘܢ,ܐܶܬܪܰܒܺܝܬܽܘܢ,ܐܰܪܒܺܝܬܽܘܢ,ܐܶܬܬܰܪܒܺܝܬܽܘܢ
perfect,2FP,ܪܒܰܝܬ̈ܶܝܢ,ܐܶܬܪܒܺܝ̈ܬܶܝܢ,ܪܰܒܺܝܬ̈ܶܝܢ,ܐܶܬܪܰܒܺܝ̈ܬܶܝܢ,ܐܰܪܒܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܪܒܺܝܬܶܝ̈ܢ
perfect,1CP,ܪܒܰܝܢ,ܐܶܬܪܒܺܝܢ,ܪܰܒܺܝܢ,ܐܶܬܪܰܒܺܝܢ,ܐܰܪܒܺܝܢ,ܐܶܬܬܰܪܒܺܝܢ
imperfect,3MS,ܢܶܪܒܶܐ,ܢܶܬܪܒܶܐ,ܢܪܰܒܶܐ,ܢܶܬܪܰܒܶܐ,ܢܰܪܒܶܐ,ܢܶܬܬܰܪܒܶܐ
imperfect,3FS,ܬܶܪܒܶܐ,ܬܶܬܪܒܶܐ,ܬܪܰܒܶܐ,ܬܶܬܪܰܒܶܐ,ܬܰܪܒܶܐ,ܬܶܬܬܰܪܒܶܐ
imperfect,2MS,ܬܶܪܒܶܐ,ܬܶܬܪܒܶܐ,ܬܪܰܒܶܐ,ܬܶܬܪܰܒܶܐ,ܬܰܪܒܶܐ,ܬܶܬܬܰܪܒܶܐ
imperfect,2FS,ܬܶܪܒܶܝܢ,ܬܶܬܪܒܶܝܢ,ܬܪܰܒܶܝܢ,ܬܶܬܪܰܒܶܝܢ,ܬܰܪܒܶܝܢ,ܬܶܬܬܰܪܒܶܝܢ
imperfect,1CS,ܐܶܪܒܶܐ,ܐܶܬܪܒܶܐ,ܐܶܪܰܒܶܐ,ܐܶܬܪܰܒܶܐ,ܐܰܪܒܶܐ,ܐܶܬܬܰܪܒܶܐ
imperfect,3MP,ܢܶܪܒܽܘܢ,ܢܶܬܪܒܽܘܢ,ܢܪܰܒܽܘܢ,ܢܶܬܪܰܒܽܘܢ,ܢܰܪܒܽܘܢ,ܢܶܬܬܰܪܒܽܘܢ
imperfect,3FP,ܢܶܪܒܝ̈ܳܢ,ܢܶܬܪܰܒܝ̈ܳܢ,ܢܪܰܒܝ̈ܳܢ,ܢܶܬܪܰܒ̈ܝܳܢ,ܢܰܪܒ̈ܳܢ,ܢܶܬܬܰܪܒ̈ܳܢ
imperfect,2MP,ܬܶܪܒܽܘܢ,ܬܶܬܪܒܽܘܢ,ܬܪܰܒܽܘܢ,ܬܶܬܪܰܒܽܘܢ,ܬܰܪܒܽܘܢ,ܬܶܬܬܰܪܒܽܘܢ
imperfect,2FP,ܬܶܪܒܝ̈ܳܢ,ܬܶܬܪܰܒܝ̈ܳܢ,ܬܪܰܒܝ̈ܳܢ,ܬܶܬܪܰܒ̈ܝܳܢ,ܬܰܪܒ̈ܳܢ,ܬܶܬܬܰܪܒ̈ܳܢ
imperfect,1CP,ܢܶܪܒܶܐ,ܢܶܬܪܒܶܐ,ܢܪܰܒܶܐ,ܢܶܬܪܰܒܶܐ,ܢܰܪܒܶܐ,ܢܶܬܬܰܪܒܶܐ
imperative,MS,ܪܒܺܝ,ܐܶܬܪܒܰܝ,ܪܰܒܳܐ,ܐܶܬܪܰܒܳܐ,ܐܰܪܒܳܐ,ܐܶܬܬܰܪܒܳܐ
imperative,FS,ܪܒܳܝ,ܐܶܬܪܒܳܝ,ܪܰܒܳܝ,ܐܶܬܪܰܒܳܝ,ܐܰܪܒܳܝ,ܐܶܬܬܰܪܒܳܝ
