ܪܕܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܕܳܐ,ܐܶܬܪܕܺܝ,ܪܰܕܺܝ,ܐܶܬܪܰܕܺܝ,ܐܰܪܕܺܝ,ܐܶܬܬܰܪܕܺܝ
perfect,3FS,ܪܕܳܐܬ,ܐܶܬܪܰܕܝܰܬ,ܪܰܕܝܰܬ,ܐܶܬܪܰܕܝܰܬ,ܐܰܪܕܝܰܬ,ܐܶܬܬܰܪܕܝܰܬ
perfect,2MS,ܪܕܰܝܬ,ܐܶܬܪܕܺܝܬ,ܪܰܕܺܝܬ,ܐܶܬܪܰܕܺܝܬ,ܐܰܪܕܺܝܬ,ܐܶܬܬܰܪܕܺܝܬ
perfect,2FS,ܪܕܰܝܬܝ,ܐܶܬܪܕܺܝܬܝ,ܪܰܕܺܝܬܝ,ܐܶܬܪܰܕܺܝܬܝ,ܐܰܪܕܺܝܬܝ,ܐܶܬܬܰܪܕܺܝܬܝ
perfect,1S,ܪܕܺܝܬ,ܐܶܬܪܰܕܺܝܬ,ܪܰܕܺܝܬ,ܐܶܬܪܰܕܺܝܬ,ܐܰܪܕܺܝܬ,ܐܶܬܬܰܪܕܺܝܬ
perfect,3MP,ܪܕܰܘ,ܐܶܬܪܕܺܝܘ,ܪܰܕܺܝܘ,ܐܶܬܪܰܕܺܝܘ,ܐܰܪܕܺܝܘ,ܐܶܬܬܰܪܕܺܝܘ
perfect,3FP,ܪܕܰܝ̈,ܐܶܬܪܕܺܝ̈,ܪܰܕܺܝ̈,ܐܶܬܪܰܕܺܝ̈,ܐܰܪܕܺܝ̈,ܐܶܬܬܰܪܕܺܝ̈
perfect,2MP,ܪܕܰܝܬܽܘܢ,ܐܶܬܪܕܺܝܬܽܘܢ,ܪܰܕܺܝܬܽܘܢ,ܐܶܬܪܰܕܺܝܬܽܘܢ,ܐܰܪܕܺܝܬܽܘܢ,ܐܶܬܬܰܪܕܺܝܬܽܘܢ
perfect,2FP,ܪܕܰܝܬ̈ܶܝܢ,ܐܶܬܪܕܺܝ̈ܬܶܝܢ,ܪܰܕܺܝܬ̈ܶܝܢ,ܐܶܬܪܰܕܺܝ̈ܬܶܝܢ,ܐܰܪܕܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܪܕܺܝܬܶܝ̈ܢ
perfect,1P,ܪܕܰܝܢ,ܐܶܬܪܕܺܝܢ,ܪܰܕܺܝܢ,ܐܶܬܪܰܕܺܝܢ,ܐܰܪܕܺܝܢ,ܐܶܬܬܰܪܕܺܝܢ
imperfect,3MS,ܢܶܪܕܶܐ,ܢܶܬܪܕܶܐ,ܢܪܰܕܶܐ,ܢܶܬܪܰܕܶܐ,ܢܰܪܕܶܐ,ܢܶܬܬܰܪܕܶܐ
imperfect,3FS,ܬܶܪܕܶܐ,ܬܶܬܪܕܶܐ,ܬܪܰܕܶܐ,ܬܶܬܪܰܕܶܐ,ܬܰܪܕܶܐ,ܬܶܬܬܰܪܕܶܐ
imperfect,2MS,ܬܶܪܕܶܐ,ܬܶܬܪܕܶܐ,ܬܪܰܕܶܐ,ܬܶܬܪܰܕܶܐ,ܬܰܪܕܶܐ,ܬܶܬܬܰܪܕܶܐ
imperfect,2FS,ܬܶܪܕܶܝܢ,ܬܶܬܪܕܶܝܢ,ܬܪܰܕܶܝܢ,ܬܶܬܪܰܕܶܝܢ,ܬܰܪܕܶܝܢ,ܬܶܬܬܰܪܕܶܝܢ
imperfect,1S,ܐܶܪܕܶܐ,ܐܶܬܪܕܶܐ,ܐܶܪܰܕܶܐ,ܐܶܬܪܰܕܶܐ,ܐܰܪܕܶܐ,ܐܶܬܬܰܪܕܶܐ
imperfect,3MP,ܢܶܪܕܽܘܢ,ܢܶܬܪܕܽܘܢ,ܢܪܰܕܽܘܢ,ܢܶܬܪܰܕܽܘܢ,ܢܰܪܕܽܘܢ,ܢܶܬܬܰܪܕܽܘܢ
imperfect,3FP,ܢܶܪܕܝ̈ܳܢ,ܢܶܬܪܰܕܝ̈ܳܢ,ܢܪܰܕܝ̈ܳܢ,ܢܶܬܪܰܕ̈ܝܳܢ,ܢܰܪܕ̈ܳܢ,ܢܶܬܬܰܪܕ̈ܳܢ
imperfect,2MP,ܬܶܪܕܽܘܢ,ܬܶܬܪܕܽܘܢ,ܬܪܰܕܽܘܢ,ܬܶܬܪܰܕܽܘܢ,ܬܰܪܕܽܘܢ,ܬܶܬܬܰܪܕܽܘܢ
imperfect,2FP,ܬܶܪܕܝ̈ܳܢ,ܬܶܬܪܰܕܝ̈ܳܢ,ܬܪܰܕܝ̈ܳܢ,ܬܶܬܪܰܕ̈ܝܳܢ,ܬܰܪܕ̈ܳܢ,ܬܶܬܬܰܪܕ̈ܳܢ
imperfect,1P,ܢܶܪܕܶܐ,ܢܶܬܪܕܶܐ,ܢܪܰܕܶܐ,ܢܶܬܪܰܕܶܐ,ܢܰܪܕܶܐ,ܢܶܬܬܰܪܕܶܐ
imperative,MS,ܪܕܺܝ,ܐܶܬܪܕܰܝ,ܪܰܕܳܐ,ܐܶܬܪܰܕܳܐ,ܐܰܪܕܳܐ,ܐܶܬܬܰܪܕܳܐ
imperative,FS,ܪܕܳܝ,ܐܶܬܪܕܳܝ,ܪܰܕܳܝ,ܐܶܬܪܰܕܳܝ,ܐܰܪܕܳܝ,ܐܶܬܬܰܪܕܳܝ
imperative,MP,ܪܕܰܘ,ܐܶܬܪܕܰܘ,ܪܰܕܰܘ,ܐܶܬܪܰܕܰܘ,ܐܰܪܕܰܘ,ܐܶܬܬܰܪܕܰܘ
imperative,FP,ܪܕܰ̈ܝ,ܐܶܬܪܕܳܝ̈ܶܝܢ,ܪܰܕܳܝ̈,ܐܶܬܪܰܕܳܝ̈,ܐܰܪܕܳܝ̈,ܐܶܬܬܰܪ̈ܕܳܝ
active-participle,MS,ܪܳܕܶܐ,ܡܶܬܪܕܶܐ,ܡܪܰܕܶܐ,ܡܶܬܪܰܕܶܐ,ܡܰܪܕܶܐ,ܡܶܬܬܰܪܕܶܐ
active-participle,FS,ܪܳܕܝܳܐ,ܡܶܬܪܰܕܝܳܐ,ܡܪܰܕܝܐ,ܡܶܬܪܰܕܝܳܐ,ܡܰܪܕܝܳܐ,ܡܶܬܬܰܪܕܝܳܐ
active-participle,MP,ܪܳܕܶܝܢ,ܡܶܬܪܕܶܝܢ,ܡܪܰܕܶܝܢ,ܡܶܬܪܰܕܶܝܢ,ܡܰܪܕܶܝܢ,ܡܶܬܬܰܪܕܶܝܢ
active-participle,FP,ܪܳܕܝ̈ܳܢ,ܡܶܬܪܰܕܝ̈ܳܢ,ܡܪܰܕܝ̈ܳܢ,ܡܶܬܪܰܕ̈ܝܳܢ,ܡܰܪܕ̈ܝܳܢ,ܡܶܬܬܰܪܕ̈ܝܳܢ
passive-participle,MS,ܪܕܶܐ,,ܡܪܰܕܰܝ,,ܡܰܪܕܰܝ,
passive-participle,FS,ܪܰܕܝܳܐ,,ܡܪܰܕܝܳܐ,,ܡܰܪܕܝܳܐ,
passive-participle,MP,ܪܕܶܝܢ,,ܡܪܰܕܶܝܢ,,ܡܰܪܕܶܝܢ,
passive-participle,FP,ܪܰܕܝ̈ܳܢ,,ܡܪܰܕܝ̈ܳܢ,,ܡܰܪܕ̈ܝܳܢ,
