ܪܡܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܡܳܐ,ܐܶܬܪܡܺܝ,ܪܰܡܺܝ,ܐܶܬܪܰܡܺܝ,ܐܰܪܡܺܝ,ܐܶܬܬܰܪܡܺܝ
perfect,3FS,ܪܡܳܐܬ,ܐܶܬܪܰܡܝܰܬ,ܪܰܡܝܰܬ,ܐܶܬܪܰܡܝܰܬ,ܐܰܪܡܝܰܬ,ܐܶܬܬܰܪܡܝܰܬ
perfect,2MS,ܪܡܰܝܬ,ܐܶܬܪܡܺܝܬ,ܪܰܡܺܝܬ,ܐܶܬܪܰܡܺܝܬ,ܐܰܪܡܺܝܬ,ܐܶܬܬܰܪܡܺܝܬ
perfect,2FS,ܪܡܰܝܬܝ,ܐܶܬܪܡܺܝܬܝ,ܪܰܡܺܝܬܝ,ܐܶܬܪܰܡܺܝܬܝ,ܐܰܪܡܺܝܬܝ,ܐܶܬܬܰܪܡܺܝܬܝ
perfect,1S,ܪܡܺܝܬ,ܐܶܬܪܰܡܺܝܬ,ܪܰܡܺܝܬ,ܐܶܬܪܰܡܺܝܬ,ܐܰܪܡܺܝܬ,ܐܶܬܬܰܪܡܺܝܬ
perfect,3MP,ܪܡܰܘ,ܐܶܬܪܡܺܝܘ,ܪܰܡܺܝܘ,ܐܶܬܪܰܡܺܝܘ,ܐܰܪܡܺܝܘ,ܐܶܬܬܰܪܡܺܝܘ
perfect,3FP,ܪܡܰܝ̈,ܐܶܬܪܡܺܝ̈,ܪܰܡܺܝ̈,ܐܶܬܪܰܡܺܝ̈,ܐܰܪܡܺܝ̈,ܐܶܬܬܰܪܡܺܝ̈
perfect,2MP,ܪܡܰܝܬܽܘܢ,ܐܶܬܪܡܺܝܬܽܘܢ,ܪܰܡܺܝܬܽܘܢ,ܐܶܬܪܰܡܺܝܬܽܘܢ,ܐܰܪܡܺܝܬܽܘܢ,ܐܶܬܬܰܪܡܺܝܬܽܘܢ
perfect,2FP,ܪܡܰܝܬ̈ܶܝܢ,ܐܶܬܪܡܺܝ̈ܬܶܝܢ,ܪܰܡܺܝܬ̈ܶܝܢ,ܐܶܬܪܰܡܺܝ̈ܬܶܝܢ,ܐܰܪܡܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܪܡܺܝܬܶܝ̈ܢ
perfect,1P,ܪܡܰܝܢ,ܐܶܬܪܡܺܝܢ,ܪܰܡܺܝܢ,ܐܶܬܪܰܡܺܝܢ,ܐܰܪܡܺܝܢ,ܐܶܬܬܰܪܡܺܝܢ
