ܪܥܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܥܳܐ,ܐܶܬܪܥܺܝ,ܪܰܥܺܝ,ܐܶܬܪܰܥܺܝ,ܐܰܪܥܺܝ,ܐܶܬܬܰܪܥܺܝ
perfect,3FS,ܪܥܳܐܬ,ܐܶܬܪܰܥܝܰܬ,ܪܰܥܝܰܬ,ܐܶܬܪܰܥܝܰܬ,ܐܰܪܥܝܰܬ,ܐܶܬܬܰܪܥܝܰܬ
perfect,2MS,ܪܥܰܝܬ,ܐܶܬܪܥܺܝܬ,ܪܰܥܺܝܬ,ܐܶܬܪܰܥܺܝܬ,ܐܰܪܥܺܝܬ,ܐܶܬܬܰܪܥܺܝܬ
perfect,2FS,ܪܥܰܝܬܝ,ܐܶܬܪܥܺܝܬܝ,ܪܰܥܺܝܬܝ,ܐܶܬܪܰܥܺܝܬܝ,ܐܰܪܥܺܝܬܝ,ܐܶܬܬܰܪܥܺܝܬܝ
perfect,1S,ܪܥܺܝܬ,ܐܶܬܪܰܥܺܝܬ,ܪܰܥܺܝܬ,ܐܶܬܪܰܥܺܝܬ,ܐܰܪܥܺܝܬ,ܐܶܬܬܰܪܥܺܝܬ
perfect,3MP,ܪܥܰܘ,ܐܶܬܪܥܺܝܘ,ܪܰܥܺܝܘ,ܐܶܬܪܰܥܺܝܘ,ܐܰܪܥܺܝܘ,ܐܶܬܬܰܪܥܺܝܘ
perfect,3FP,ܪܥܰܝ̈,ܐܶܬܪܥܺܝ̈,ܪܰܥܺܝ̈,ܐܶܬܪܰܥܺܝ̈,ܐܰܪܥܺܝ̈,ܐܶܬܬܰܪܥܺܝ̈
perfect,2MP,ܪܥܰܝܬܽܘܢ,ܐܶܬܪܥܺܝܬܽܘܢ,ܪܰܥܺܝܬܽܘܢ,ܐܶܬܪܰܥܺܝܬܽܘܢ,ܐܰܪܥܺܝܬܽܘܢ,ܐܶܬܬܰܪܥܺܝܬܽܘܢ
perfect,2FP,ܪܥܰܝܬ̈ܶܝܢ,ܐܶܬܪܥܺܝ̈ܬܶܝܢ,ܪܰܥܺܝܬ̈ܶܝܢ,ܐܶܬܪܰܥܺܝ̈ܬܶܝܢ,ܐܰܪܥܺܝܬ̈ܶܝܢ,ܐܶܬܬܰܪܥܺܝܬܶܝ̈ܢ
perfect,1P,ܪܥܰܝܢ,ܐܶܬܪܥܺܝܢ,ܪܰܥܺܝܢ,ܐܶܬܪܰܥܺܝܢ,ܐܰܪܥܺܝܢ,ܐܶܬܬܰܪܥܺܝܢ
imperfect,3MS,ܢܶܪܥܶܐ,ܢܶܬܪܥܶܐ,ܢܪܰܥܶܐ,ܢܶܬܪܰܥܶܐ,ܢܰܪܥܶܐ,ܢܶܬܬܰܪܥܶܐ
imperfect,3FS,ܬܶܪܥܶܐ,ܬܶܬܪܥܶܐ,ܬܪܰܥܶܐ,ܬܶܬܪܰܥܶܐ,ܬܰܪܥܶܐ,ܬܶܬܬܰܪܥܶܐ
imperfect,2MS,ܬܶܪܥܶܐ,ܬܶܬܪܥܶܐ,ܬܪܰܥܶܐ,ܬܶܬܪܰܥܶܐ,ܬܰܪܥܶܐ,ܬܶܬܬܰܪܥܶܐ
imperfect,2FS,ܬܶܪܥܶܝܢ,ܬܶܬܪܥܶܝܢ,ܬܪܰܥܶܝܢ,ܬܶܬܪܰܥܶܝܢ,ܬܰܪܥܶܝܢ,ܬܶܬܬܰܪܥܶܝܢ
imperfect,1S,ܐܶܪܥܶܐ,ܐܶܬܪܥܶܐ,ܐܶܪܰܥܶܐ,ܐܶܬܪܰܥܶܐ,ܐܰܪܥܶܐ,ܐܶܬܬܰܪܥܶܐ
imperfect,3MP,ܢܶܪܥܽܘܢ,ܢܶܬܪܥܽܘܢ,ܢܪܰܥܽܘܢ,ܢܶܬܪܰܥܽܘܢ,ܢܰܪܥܽܘܢ,ܢܶܬܬܰܪܥܽܘܢ
imperfect,3FP,ܢܶܪܥܝ̈ܳܢ,ܢܶܬܪܰܥܝ̈ܳܢ,ܢܪܰܥܝ̈ܳܢ,ܢܶܬܪܰܥ̈ܝܳܢ,ܢܰܪܥ̈ܳܢ,ܢܶܬܬܰܪܥ̈ܳܢ
imperfect,2MP,ܬܶܪܥܽܘܢ,ܬܶܬܪܥܽܘܢ,ܬܪܰܥܽܘܢ,ܬܶܬܪܰܥܽܘܢ,ܬܰܪܥܽܘܢ,ܬܶܬܬܰܪܥܽܘܢ
imperfect,2FP,ܬܶܪܥܝ̈ܳܢ,ܬܶܬܪܰܥܝ̈ܳܢ,ܬܪܰܥܝ̈ܳܢ,ܬܶܬܪܰܥ̈ܝܳܢ,ܬܰܪܥ̈ܳܢ,ܬܶܬܬܰܪܥ̈ܳܢ
imperfect,1P,ܢܶܪܥܶܐ,ܢܶܬܪܥܶܐ,ܢܪܰܥܶܐ,ܢܶܬܪܰܥܶܐ,ܢܰܪܥܶܐ,ܢܶܬܬܰܪܥܶܐ
imperative,MS,ܪܥܺܝ,ܐܶܬܪܥܰܝ,ܪܰܥܳܐ,ܐܶܬܪܰܥܳܐ,ܐܰܪܥܳܐ,ܐܶܬܬܰܪܥܳܐ
imperative,FS,ܪܥܳܝ,ܐܶܬܪܥܳܝ,ܪܰܥܳܝ,ܐܶܬܪܰܥܳܝ,ܐܰܪܥܳܝ,ܐܶܬܬܰܪܥܳܝ
imperative,MP,ܪܥܰܘ,ܐܶܬܪܥܰܘ,ܪܰܥܰܘ,ܐܶܬܪܰܥܰܘ,ܐܰܪܥܰܘ,ܐܶܬܬܰܪܥܰܘ
imperative,FP,ܪܥܰ̈ܝ,ܐܶܬܪܥܳܝ̈ܶܝܢ?,ܪܰܥܳܝ̈,ܐܶܬܪܰܥܳܝ̈,ܐܰܪܥܳܝ̈,ܐܶܬܬܰܪ̈ܥܳܝ
active-participle,MS,ܪܳܥܶܐ,ܡܶܬܪܥܶܐ,ܡܪܰܥܶܐ,ܡܶܬܪܰܥܶܐ,ܡܰܪܥܶܐ,ܡܶܬܬܰܪܥܶܐ
active-participle,FS,ܪܳܥܝܳܐ,ܡܶܬܪܰܥܝܳܐ,ܡܪܰܥܝܐ,ܡܶܬܪܰܥܝܳܐ,ܡܰܪܥܝܳܐ,ܡܶܬܬܰܪܥܝܳܐ
active-participle,MP,ܪܳܥܶܝܢ,ܡܶܬܪܥܶܝܢ,ܡܪܰܥܶܝܢ,ܡܶܬܪܰܥܶܝܢ,ܡܰܪܥܶܝܢ,ܡܶܬܬܰܪܥܶܝܢ
active-participle,FP,ܪܳܥܝ̈ܳܢ,ܡܶܬܪܰܥܝ̈ܳܢ,ܡܪܰܥܝ̈ܳܢ,ܡܶܬܪܰܥ̈ܝܳܢ,ܡܰܪܥ̈ܝܳܢ,ܡܶܬܬܰܪܥ̈ܝܳܢ
passive-participle,MS,ܪܥܶܐ,,ܡܪܰܥܰܝ,,ܡܰܪܥܰܝ,
passive-participle,FS,ܪܰܥܝܳܐ,,ܡܪܰܥܝܳܐ,,ܡܰܪܥܝܳܐ,
passive-participle,MP,ܪܥܶܝܢ,,ܡܪܰܥܶܝܢ,,ܡܰܪܥܶܝܢ,
passive-participle,FP,ܪܰܥܝ̈ܳܢ,,ܡܪܰܥܝ̈ܳܢ,,ܡܰܪܥ̈ܝܳܢ,
infinitive,,ܡܶܪܥܳܐ,ܡܶܬܪܥܳܝܽܘ,ܡܪܰܥܳܝܽܘ,ܡܶܬܪܰܥܳܝܽܘ,ܡܰܪܥܳܝܽܘ,ܡܶܬܬܰܪܥܳܝܽܘ
