ܫܕܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܕܳܐ,ܐܶܫܬܕܺܝ,ܫܰܕܺܝ,ܐܶܫܬܰܕܺܝ,ܐܰܫܕܺܝ,ܐܶܬܫܰܬܕܺܝ
perfect,3FS,ܫܕܳܐܬ,ܐܶܫܬܰܕܝܰܬ,ܫܰܕܝܰܬ,ܐܶܫܬܰܕܝܰܬ,ܐܰܫܕܝܰܬ,ܐܶܬܫܰܬܕܝܰܬ
perfect,2MS,ܫܕܰܝܬ,ܐܶܫܬܕܺܝܬ,ܫܰܕܺܝܬ,ܐܶܫܬܰܕܺܝܬ,ܐܰܫܕܺܝܬ,ܐܶܬܫܰܬܕܺܝܬ
perfect,2FS,ܫܕܰܝܬܝ,ܐܶܫܬܕܺܝܬܝ,ܫܰܕܺܝܬܝ,ܐܶܫܬܰܕܺܝܬܝ,ܐܰܫܕܺܝܬܝ,ܐܶܬܫܰܬܕܺܝܬܝ
perfect,1CS,ܫܕܺܝܬ,ܐܶܫܬܰܕܺܝܬ,ܫܰܕܺܝܬ,ܐܶܫܬܰܕܺܝܬ,ܐܰܫܕܺܝܬ,ܐܶܬܫܰܬܕܺܝܬ
perfect,3MP,ܫܕܰܘ,ܐܶܫܬܕܺܝܘ,ܫܰܕܺܝܘ,ܐܶܫܬܰܕܺܝܘ,ܐܰܫܕܺܝܘ,ܐܶܬܫܰܬܕܺܝܘ
perfect,3FP,ܫܕܰܝ̈,ܐܶܫܬܕܺܝ̈,ܫܰܕܺܝ̈,ܐܶܫܬܰܕܺܝ̈,ܐܰܫܕܺܝ̈,ܐܶܬܫܰܬܕܺܝ̈
perfect,2MP,ܫܕܰܝܬܽܘܢ,ܐܶܫܬܕܺܝܬܽܘܢ,ܫܰܕܺܝܬܽܘܢ,ܐܶܫܬܰܕܺܝܬܽܘܢ,ܐܰܫܕܺܝܬܽܘܢ,ܐܶܬܫܰܬܕܺܝܬܽܘܢ
perfect,2FP,ܫܕܰܝܬ̈ܶܝܢ,ܐܶܫܬܕܺܝ̈ܬܶܝܢ,ܫܰܕܺܝܬ̈ܶܝܢ,ܐܶܫܬܰܕܺܝ̈ܬܶܝܢ,ܐܰܫܕܺܝܬ̈ܶܝܢ,ܐܶܬܫܰܬܕܺܝܬܶܝ̈ܢ
perfect,1CP,ܫܕܰܝܢ,ܐܶܫܬܕܺܝܢ,ܫܰܕܺܝܢ,ܐܶܫܬܰܕܺܝܢ,ܐܰܫܕܺܝܢ,ܐܶܬܫܰܬܕܺܝܢ
imperfect,3MS,ܢܶܫܕܶܐ,ܢܶܫܬܕܶܐ,ܢܫܰܕܶܐ,ܢܶܫܬܰܕܶܐ,ܢܰܫܕܶܐ,ܢܶܬܫܰܬܕܶܐ
