ܫܘܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܳܐ,,ܫܰܝܶܐ,ܐܶܫܬܰܝܰܐ,ܐܰܫܺܝܐ,ܐܶܬܺܫܬܝܐ
perfect,3FS,ܫܳܐܰܬ,,ܫܰܝܐܰܬ,ܐܶܫܬܰܝܐܰܬ,ܐܰܫܺܝܐܰܬ,ܐܶܬܺܫܬܝܐܰܬ
perfect,2MS,ܫܳܐܬ,,ܫܰܝܶܐܬ,ܐܶܫܬܰܝܰܐܬ,ܐܰܫܺܝܐܬ,ܐܶܬܺܫܬܝܐܬ
perfect,2FS,ܫܳܐܬܝ,,ܫܰܝܶܐܬܝ,ܐܶܫܬܰܝܰܐܬܝ,ܐܰܫܺܝܐܬܝ,ܐܶܬܝܺܬܐܬܝ
perfect,1CS,ܫܳܐܶܬ,,ܫܰܝܐܶܬ,ܐܶܫܬܰܝܐܶܬ,ܐܰܫܺܝܐܶܬ,ܐܶܬܝܺܬܐܶܬ
perfect,3MP,ܫܳܐܘ,,ܫܰܝܶܐܘ,ܐܶܫܬܰܝܰܐܘ,ܐܰܫܺܝܐܘ,ܐܶܬܺܫܬܝܐܘ
perfect,3FP,ܫܳܐ̈ܝ,,ܫܰܝܶܐ̈ܝ,ܐܶܫܬܰܝܰܐ̈ܝ,ܐܰܫܺܝܐ̈ܝ,ܐܶܬܺܫܬܝܐ̈ܝ
perfect,2MP,ܫܳܐܬܽܘܢ,,ܫܰܝܶܐܬܽܘܢ,ܐܶܫܬܰܝܰܐܬܽܘܢ,ܐܰܫܺܝܐܬܽܘܢ,ܐܶܬܺܫܬܝܐܬܽܘܢ
perfect,2FP,ܫܳܐܬ̈ܶܝܢ,,ܫܰܝܶܐܬ̈ܶܝܢ,ܐܶܫܬܰܝܰܐ̈ܬܶܝܢ,ܐܰܫܺܝܐܬ̈ܶܝܢ,ܐܶܬܺܫܬܝܐ̈ܬܶܝܢ
perfect,1CP,ܫܳܐܢ,,ܫܰܝܶܐܢ,ܐܶܫܬܰܝܰܐܢ,ܐܰܫܺܝܐܢ,ܐܶܬܺܫܬܝܐܢ
imperfect,3MS,ܢܫܽܘܐ,,ܢܫܰܝܶܐ,ܢܶܫܬܰܝܰܐ,ܢܫܺܝܐ,ܢܶܬܺܫܬܝܐ
imperfect,3FS,ܬܫܽܘܐ,,ܬܫܰܝܶܐ,ܬܶܫܬܰܝܰܐ,ܬܫܺܝܐ,ܬܶܬܺܫܬܝܐܝ
imperfect,2MS,ܬܫܽܘܐ,,ܬܫܰܝܶܐ,ܬܶܫܬܰܝܰܐ,ܬܫܺܝܐ,ܬܶܬܺܫܬܝܐ
imperfect,2FS,ܬܫܐܺܝܢ,,ܬܫܰܝܐܺܝܢ,ܬܶܫܬܰܝܐܺܝܢ,ܬܫܺܝܐܺܝܢ,ܬܶܬܺܫܬܝܐܺܝܢ
imperfect,1CS,ܐܶܫܽܘܐ,,ܐܶܫܰܝܶܐ,ܐܶܫܬܰܝܰܐ,ܐܰܫܺܝܐ,ܐܶܬܺܫܬܝܐ
imperfect,3MP,ܢܫܽܘܐܽܘܢ,,ܢܫܰܝܐܽܘܢ,ܢܶܫܬܰܝܐܽܘܢ,ܢܫܺܝܐܽܘܢ,ܢܶܬܫܰܬܺܝܐܽܘܢ
imperfect,3FP,ܢܫ̈ܽܘܐܳܢ,,ܢܫܰܝܐ̈ܳܢ,ܢܶܫܬܰܝܐ̈ܳܢ,ܢܫܺܝܐ̈ܳܢ,ܢܶܬܫܰܬܺܝܐ̈ܳܢ
imperfect,2MP,ܬܫܽܘܐܽܘܢ,,ܬܫܰܝܐܽܘܢ,ܬܶܫܬܰܝܐܽܘܢ,ܬܫܺܝܐܽܘܢ,ܬܶܬܫܰܬܺܝܐܽܘܢ
imperfect,2FP,ܬܫ̈ܽܘܐܳܢ,,ܬܫܰܝܐ̈ܳܢ,ܬܶܫܬܰܝܐ̈ܳܢ,ܬܫܺܝܐ̈ܳܢ,ܬܶܬܫܰܬܺܝܐ̈ܳܢ
imperfect,1CP,ܢܫܽܘܐ,,ܢܫܰܝܶܐ,ܢܶܫܬܰܝܰܐ,ܢܫܺܝܐ,ܢܶܬܫܰܬܺܝܐ
imperative,MS,ܫܽܘܐ,,ܫܰܝܶܐ,ܐܶܫܬܰܝܰܐ,ܐܰܫܺܝܐ,ܐܶܬܺܫܬܝܐ
imperative,FS,ܫܽܘܐܝ,,ܫܰܝܶܐܝ,ܐܶܫܬܰܝܰܐܝ,ܐܰܫܺܝܐܝ,ܐܶܬܺܫܬܝܐܝ
imperative,MP,ܫܽܘܐܘ,,ܫܰܝܶܐܘ,ܐܶܫܬܰܝܰܐܘ,ܐܰܫܺܝܐܘ,ܐܶܬܺܫܬܝܐܘ
