ܫܢܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܢܳܐ,ܐܶܫܬܢܺܝ,ܫܰܢܺܝ,ܐܶܫܬܰܢܺܝ,ܐܰܫܢܺܝ,ܐܶܬܫܰܬܢܺܝ
perfect,3FS,ܫܢܳܐܬ,ܐܶܫܬܰܢܝܰܬ,ܫܰܢܝܰܬ,ܐܶܫܬܰܢܝܰܬ,ܐܰܫܢܝܰܬ,ܐܶܬܫܰܬܢܝܰܬ
perfect,2MS,ܫܢܰܝܬ,ܐܶܫܬܢܺܝܬ,ܫܰܢܺܝܬ,ܐܶܫܬܰܢܺܝܬ,ܐܰܫܢܺܝܬ,ܐܶܬܫܰܬܢܺܝܬ
perfect,2FS,ܫܢܰܝܬܝ,ܐܶܫܬܢܺܝܬܝ,ܫܰܢܺܝܬܝ,ܐܶܫܬܰܢܺܝܬܝ,ܐܰܫܢܺܝܬܝ,ܐܶܬܫܰܬܢܺܝܬܝ
perfect,1CS,ܫܢܺܝܬ,ܐܶܫܬܰܢܺܝܬ,ܫܰܢܺܝܬ,ܐܶܫܬܰܢܺܝܬ,ܐܰܫܢܺܝܬ,ܐܶܬܫܰܬܢܺܝܬ
perfect,3MP,ܫܢܰܘ,ܐܶܫܬܢܺܝܘ,ܫܰܢܺܝܘ,ܐܶܫܬܰܢܺܝܘ,ܐܰܫܢܺܝܘ,ܐܶܬܫܰܬܢܺܝܘ
perfect,3FP,ܫܢܰܝ̈,ܐܶܫܬܢܺܝ̈,ܫܰܢܺܝ̈,ܐܶܫܬܰܢܺܝ̈,ܐܰܫܢܺܝ̈,ܐܶܬܫܰܬܢܺܝ̈
perfect,2MP,ܫܢܰܝܬܽܘܢ,ܐܶܫܬܢܺܝܬܽܘܢ,ܫܰܢܺܝܬܽܘܢ,ܐܶܫܬܰܢܺܝܬܽܘܢ,ܐܰܫܢܺܝܬܽܘܢ,ܐܶܬܫܰܬܢܺܝܬܽܘܢ
perfect,2FP,ܫܢܰܝܬ̈ܶܝܢ,ܐܶܫܬܢܺܝ̈ܬܶܝܢ,ܫܰܢܺܝܬ̈ܶܝܢ,ܐܶܫܬܰܢܺܝ̈ܬܶܝܢ,ܐܰܫܢܺܝܬ̈ܶܝܢ,ܐܶܬܫܰܬܢܺܝܬܶܝ̈ܢ
perfect,1CP,ܫܢܰܝܢ,ܐܶܫܬܢܺܝܢ,ܫܰܢܺܝܢ,ܐܶܫܬܰܢܺܝܢ,ܐܰܫܢܺܝܢ,ܐܶܬܫܰܬܢܺܝܢ
imperfect,3MS,ܢܶܫܢܶܐ,ܢܶܫܬܢܶܐ,ܢܫܰܢܶܐ,ܢܶܫܬܰܢܶܐ,ܢܰܫܢܶܐ,ܢܶܬܫܰܬܢܶܐ
imperfect,3FS,ܬܶܫܢܶܐ,ܬܶܫܬܢܶܐ,ܬܫܰܢܶܐ,ܬܶܫܬܰܢܶܐ,ܬܰܫܢܶܐ,ܬܶܬܫܰܬܢܶܐ
imperfect,2MS,ܬܶܫܢܶܐ,ܬܶܫܬܢܶܐ,ܬܫܰܢܶܐ,ܬܶܫܬܰܢܶܐ,ܬܰܫܢܶܐ,ܬܶܬܫܰܬܢܶܐ
imperfect,2FS,ܬܶܫܢܶܝܢ,ܬܶܫܬܢܶܝܢ,ܬܫܰܢܶܝܢ,ܬܶܫܬܰܢܶܝܢ,ܬܰܫܢܶܝܢ,ܬܶܬܫܰܬܢܶܝܢ
imperfect,1CS,ܐܶܫܢܶܐ,ܐܶܫܬܢܶܐ,ܐܶܫܰܢܶܐ,ܐܶܫܬܰܢܶܐ,ܐܰܫܢܶܐ,ܐܶܬܫܰܬܢܶܐ
imperfect,3MP,ܢܶܫܢܽܘܢ,ܢܶܫܬܢܽܘܢ,ܢܫܰܢܽܘܢ,ܢܶܫܬܰܢܽܘܢ,ܢܰܫܢܽܘܢ,ܢܶܬܫܰܬܢܽܘܢ
imperfect,3FP,ܢܶܫܢܝ̈ܳܢ,ܢܶܫܬܰܢܝ̈ܳܢ,ܢܫܰܢܝ̈ܳܢ,ܢܶܫܬܰܢ̈ܝܳܢ,ܢܰܫܢ̈ܳܢ,ܢܶܬܫܰܬܢ̈ܳܢ
