ܫܥܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܥܳܐ,ܐܶܫܬܥܺܝ,ܫܰܥܺܝ,ܐܶܫܬܰܥܺܝ,ܐܰܫܥܺܝ,ܐܶܬܫܰܬܥܺܝ
perfect,3FS,ܫܥܳܐܬ,ܐܶܫܬܰܥܝܰܬ,ܫܰܥܝܰܬ,ܐܶܫܬܰܥܝܰܬ,ܐܰܫܥܝܰܬ,ܐܶܬܫܰܬܥܝܰܬ
perfect,2MS,ܫܥܰܝܬ,ܐܶܫܬܥܺܝܬ,ܫܰܥܺܝܬ,ܐܶܫܬܰܥܺܝܬ,ܐܰܫܥܺܝܬ,ܐܶܬܫܰܬܥܺܝܬ
perfect,2FS,ܫܥܰܝܬܝ,ܐܶܫܬܥܺܝܬܝ,ܫܰܥܺܝܬܝ,ܐܶܫܬܰܥܺܝܬܝ,ܐܰܫܥܺܝܬܝ,ܐܶܬܫܰܬܥܺܝܬܝ
perfect,1S,ܫܥܺܝܬ,ܐܶܫܬܰܥܺܝܬ,ܫܰܥܺܝܬ,ܐܶܫܬܰܥܺܝܬ,ܐܰܫܥܺܝܬ,ܐܶܬܫܰܬܥܺܝܬ
perfect,3MP,ܫܥܰܘ,ܐܶܫܬܥܺܝܘ,ܫܰܥܺܝܘ,ܐܶܫܬܰܥܺܝܘ,ܐܰܫܥܺܝܘ,ܐܶܬܫܰܬܥܺܝܘ
perfect,3FP,ܫܥܰܝ̈,ܐܶܫܬܥܺܝ̈,ܫܰܥܺܝ̈,ܐܶܫܬܰܥܺܝ̈,ܐܰܫܥܺܝ̈,ܐܶܬܫܰܬܥܺܝ̈
perfect,2MP,ܫܥܰܝܬܽܘܢ,ܐܶܫܬܥܺܝܬܽܘܢ,ܫܰܥܺܝܬܽܘܢ,ܐܶܫܬܰܥܺܝܬܽܘܢ,ܐܰܫܥܺܝܬܽܘܢ,ܐܶܬܫܰܬܥܺܝܬܽܘܢ
perfect,2FP,ܫܥܰܝܬ̈ܶܝܢ,ܐܶܫܬܥܺܝ̈ܬܶܝܢ,ܫܰܥܺܝܬ̈ܶܝܢ,ܐܶܫܬܰܥܺܝ̈ܬܶܝܢ,ܐܰܫܥܺܝܬ̈ܶܝܢ,ܐܶܬܫܰܬܥܺܝܬܶܝ̈ܢ
perfect,1P,ܫܥܰܝܢ,ܐܶܫܬܥܺܝܢ,ܫܰܥܺܝܢ,ܐܶܫܬܰܥܺܝܢ,ܐܰܫܥܺܝܢ,ܐܶܬܫܰܬܥܺܝܢ
imperfect,3MS,ܢܶܫܥܶܐ,ܢܶܫܬܥܶܐ,ܢܫܰܥܶܐ,ܢܶܫܬܰܥܶܐ,ܢܰܫܥܶܐ,ܢܶܬܫܰܬܥܶܐ
imperfect,3FS,ܬܶܫܥܶܐ,ܬܶܫܬܥܶܐ,ܬܫܰܥܶܐ,ܬܶܫܬܰܥܶܐ,ܬܰܫܥܶܐ,ܬܶܬܫܰܬܥܶܐ
imperfect,2MS,ܬܶܫܥܶܐ,ܬܶܫܬܥܶܐ,ܬܫܰܥܶܐ,ܬܶܫܬܰܥܶܐ,ܬܰܫܥܶܐ,ܬܶܬܫܰܬܥܶܐ
imperfect,2FS,ܬܶܫܥܶܝܢ,ܬܶܫܬܥܶܝܢ,ܬܫܰܥܶܝܢ,ܬܶܫܬܰܥܶܝܢ,ܬܰܫܥܶܝܢ,ܬܶܬܫܰܬܥܶܝܢ
imperfect,1S,ܐܶܫܥܶܐ,ܐܶܫܬܥܶܐ,ܐܶܫܰܥܶܐ,ܐܶܫܬܰܥܶܐ,ܐܰܫܥܶܐ,ܐܶܬܫܰܬܥܶܐ
imperfect,3MP,ܢܶܫܥܽܘܢ,ܢܶܫܬܥܽܘܢ,ܢܫܰܥܽܘܢ,ܢܶܫܬܰܥܽܘܢ,ܢܰܫܥܽܘܢ,ܢܶܬܫܰܬܥܽܘܢ
imperfect,3FP,ܢܶܫܥܝ̈ܳܢ,ܢܶܫܬܰܥܝ̈ܳܢ,ܢܫܰܥܝ̈ܳܢ,ܢܶܫܬܰܥ̈ܝܳܢ,ܢܰܫܥ̈ܳܢ,ܢܶܬܫܰܬܥ̈ܳܢ
imperfect,2MP,ܬܶܫܥܽܘܢ,ܬܶܫܬܥܽܘܢ,ܬܫܰܥܽܘܢ,ܬܶܫܬܰܥܽܘܢ,ܬܰܫܥܽܘܢ,ܬܶܬܫܰܬܥܽܘܢ
imperfect,2FP,ܬܶܫܥܝ̈ܳܢ,ܬܶܫܬܰܥܝ̈ܳܢ,ܬܫܰܥܝ̈ܳܢ,ܬܶܫܬܰܥ̈ܝܳܢ,ܬܰܫܥ̈ܳܢ,ܬܶܬܫܰܬܥ̈ܳܢ
imperfect,1P,ܢܶܫܥܶܐ,ܢܶܫܬܥܶܐ,ܢܫܰܥܶܐ,ܢܶܫܬܰܥܶܐ,ܢܰܫܥܶܐ,ܢܶܬܫܰܬܥܶܐ
imperative,MS,ܫܥܺܝ,ܐܶܫܬܥܰܝ,ܫܰܥܳܐ,ܐܶܫܬܰܥܳܐ,ܐܰܫܥܳܐ,ܐܶܬܫܰܬܥܳܐ
imperative,FS,ܫܥܳܝ,ܐܶܫܬܥܳܝ,ܫܰܥܳܝ,ܐܶܫܬܰܥܳܝ,ܐܰܫܥܳܝ,ܐܶܬܫܰܬܥܳܝ
imperative,MP,ܫܥܰܘ,ܐܶܫܬܥܰܘ,ܫܰܥܰܘ,ܐܶܫܬܰܥܰܘ,ܐܰܫܥܰܘ,ܐܶܬܫܰܬܥܰܘ
imperative,FP,ܫܥܰ̈ܝ,ܐܶܫܬܥܳܝ̈ܶܝܢ?,ܫܰܥܳܝ̈,ܐܶܫܬܰܥܳܝ̈,ܐܰܫܥܳܝ̈,ܐܶܬܫܰܬ̈ܥܳܝ
active-participle,MS,ܫܳܥܶܐ,ܡܶܫܬܥܶܐ,ܡܫܰܥܶܐ,ܡܶܫܬܰܥܶܐ,ܡܰܫܥܶܐ,ܡܶܬܫܰܬܥܶܐ
active-participle,FS,ܫܳܥܝܳܐ,ܡܶܫܬܰܥܝܳܐ,ܡܫܰܥܝܐ,ܡܶܫܬܰܥܝܳܐ,ܡܰܫܥܝܳܐ,ܡܶܬܫܰܬܥܝܳܐ
active-participle,MP,ܫܳܥܶܝܢ,ܡܶܫܬܥܶܝܢ,ܡܫܰܥܶܝܢ,ܡܶܫܬܰܥܶܝܢ,ܡܰܫܥܶܝܢ,ܡܶܬܫܰܬܥܶܝܢ
active-participle,FP,ܫܳܥܝ̈ܳܢ,ܡܶܫܬܰܥܝ̈ܳܢ,ܡܫܰܥܝ̈ܳܢ,ܡܶܫܬܰܥ̈ܝܳܢ,ܡܰܫܥ̈ܝܳܢ,ܡܶܬܫܰܬܥ̈ܝܳܢ
passive-participle,MS,ܫܥܶܐ,,ܡܫܰܥܰܝ,,ܡܰܫܥܰܝ,
passive-participle,FS,ܫܰܥܝܳܐ,,ܡܫܰܥܝܳܐ,,ܡܰܫܥܝܳܐ,
passive-participle,MP,ܫܥܶܝܢ,,ܡܫܰܥܶܝܢ,,ܡܰܫܥܶܝܢ,
passive-participle,FP,ܫܰܥܝ̈ܳܢ,,ܡܫܰܥܝ̈ܳܢ,,ܡܰܫܥ̈ܝܳܢ,
infinitive,,ܡܶܫܥܳܐ,ܡܶܫܬܥܳܝܽܘ,ܡܫܰܥܳܝܽܘ,ܡܶܫܬܰܥܳܝܽܘ,ܡܰܫܥܳܝܽܘ,ܡܶܬܫܰܬܥܳܝܽܘ
