ܫܪܐ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܪܳܐ,ܐܶܫܬܪܺܝ,ܫܰܪܺܝ,ܐܶܫܬܰܪܺܝ,ܐܰܫܪܺܝ,ܐܶܬܫܰܬܪܺܝ
perfect,3FS,ܫܪܳܐܬ,ܐܶܫܬܰܪܝܰܬ,ܫܰܪܝܰܬ,ܐܶܫܬܰܪܝܰܬ,ܐܰܫܪܝܰܬ,ܐܶܬܫܰܬܪܝܰܬ
perfect,2MS,ܫܪܰܝܬ,ܐܶܫܬܪܺܝܬ,ܫܰܪܺܝܬ,ܐܶܫܬܰܪܺܝܬ,ܐܰܫܪܺܝܬ,ܐܶܬܫܰܬܪܺܝܬ
perfect,2FS,ܫܪܰܝܬܝ,ܐܶܫܬܪܺܝܬܝ,ܫܰܪܺܝܬܝ,ܐܶܫܬܰܪܺܝܬܝ,ܐܰܫܪܺܝܬܝ,ܐܶܬܫܰܬܪܺܝܬܝ
perfect,1S,ܫܪܺܝܬ,ܐܶܫܬܰܪܺܝܬ,ܫܰܪܺܝܬ,ܐܶܫܬܰܪܺܝܬ,ܐܰܫܪܺܝܬ,ܐܶܬܫܰܬܪܺܝܬ
perfect,3MP,ܫܪܰܘ,ܐܶܫܬܪܺܝܘ,ܫܰܪܺܝܘ,ܐܶܫܬܰܪܺܝܘ,ܐܰܫܪܺܝܘ,ܐܶܬܫܰܬܪܺܝܘ
perfect,3FP,ܫܪܰܝ̈,ܐܶܫܬܪܺܝ̈,ܫܰܪܺܝ̈,ܐܶܫܬܰܪܺܝ̈,ܐܰܫܪܺܝ̈,ܐܶܬܫܰܬܪܺܝ̈
perfect,2MP,ܫܪܰܝܬܽܘܢ,ܐܶܫܬܪܺܝܬܽܘܢ,ܫܰܪܺܝܬܽܘܢ,ܐܶܫܬܰܪܺܝܬܽܘܢ,ܐܰܫܪܺܝܬܽܘܢ,ܐܶܬܫܰܬܪܺܝܬܽܘܢ
perfect,2FP,ܫܪܰܝܬ̈ܶܝܢ,ܐܶܫܬܪܺܝ̈ܬܶܝܢ,ܫܰܪܺܝܬ̈ܶܝܢ,ܐܶܫܬܰܪܺܝ̈ܬܶܝܢ,ܐܰܫܪܺܝܬ̈ܶܝܢ,ܐܶܬܫܰܬܪܺܝܬܶܝ̈ܢ
perfect,1P,ܫܪܰܝܢ,ܐܶܫܬܪܺܝܢ,ܫܰܪܺܝܢ,ܐܶܫܬܰܪܺܝܢ,ܐܰܫܪܺܝܢ,ܐܶܬܫܰܬܪܺܝܢ
imperfect,3MS,ܢܶܫܪܶܐ,ܢܶܫܬܪܶܐ,ܢܫܰܪܶܐ,ܢܶܫܬܰܪܶܐ,ܢܰܫܪܶܐ,ܢܶܬܫܰܬܪܶܐ
imperfect,3FS,ܬܶܫܪܶܐ,ܬܶܫܬܪܶܐ,ܬܫܰܪܶܐ,ܬܶܫܬܰܪܶܐ,ܬܰܫܪܶܐ,ܬܶܬܫܰܬܪܶܐ
imperfect,2MS,ܬܶܫܪܶܐ,ܬܶܫܬܪܶܐ,ܬܫܰܪܶܐ,ܬܶܫܬܰܪܶܐ,ܬܰܫܪܶܐ,ܬܶܬܫܰܬܪܶܐ
imperfect,2FS,ܬܶܫܪܶܝܢ,ܬܶܫܬܪܶܝܢ,ܬܫܰܪܶܝܢ,ܬܶܫܬܰܪܶܝܢ,ܬܰܫܪܶܝܢ,ܬܶܬܫܰܬܪܶܝܢ
imperfect,1S,ܐܶܫܪܶܐ,ܐܶܫܬܪܶܐ,ܐܶܫܰܪܶܐ,ܐܶܫܬܰܪܶܐ,ܐܰܫܪܶܐ,ܐܶܬܫܰܬܪܶܐ
imperfect,3MP,ܢܶܫܪܽܘܢ,ܢܶܫܬܪܽܘܢ,ܢܫܰܪܽܘܢ,ܢܶܫܬܰܪܽܘܢ,ܢܰܫܪܽܘܢ,ܢܶܬܫܰܬܪܽܘܢ
imperfect,3FP,ܢܶܫܪܝ̈ܳܢ,ܢܶܫܬܰܪܝ̈ܳܢ,ܢܫܰܪܝ̈ܳܢ,ܢܶܫܬܰܪ̈ܝܳܢ,ܢܰܫܪ̈ܳܢ,ܢܶܬܫܰܬܪ̈ܳܢ
imperfect,2MP,ܬܶܫܪܽܘܢ,ܬܶܫܬܪܽܘܢ,ܬܫܰܪܽܘܢ,ܬܶܫܬܰܪܽܘܢ,ܬܰܫܪܽܘܢ,ܬܶܬܫܰܬܪܽܘܢ
imperfect,2FP,ܬܶܫܪܝ̈ܳܢ,ܬܶܫܬܰܪܝ̈ܳܢ,ܬܫܰܪܝ̈ܳܢ,ܬܶܫܬܰܪ̈ܝܳܢ,ܬܰܫܪ̈ܳܢ,ܬܶܬܫܰܬܪ̈ܳܢ
imperfect,1P,ܢܶܫܪܶܐ,ܢܶܫܬܪܶܐ,ܢܫܰܪܶܐ,ܢܶܫܬܰܪܶܐ,ܢܰܫܪܶܐ,ܢܶܬܫܰܬܪܶܐ
imperative,MS,ܫܪܺܝ,ܐܶܫܬܪܰܝ,ܫܰܪܳܐ,ܐܶܫܬܰܪܳܐ,ܐܰܫܪܳܐ,ܐܶܬܫܰܬܪܳܐ
imperative,FS,ܫܪܳܝ,ܐܶܫܬܪܳܝ,ܫܰܪܳܝ,ܐܶܫܬܰܪܳܝ,ܐܰܫܪܳܝ,ܐܶܬܫܰܬܪܳܝ
imperative,MP,ܫܪܰܘ,ܐܶܫܬܪܰܘ,ܫܰܪܰܘ,ܐܶܫܬܰܪܰܘ,ܐܰܫܪܰܘ,ܐܶܬܫܰܬܪܰܘ
imperative,FP,ܫܪܰ̈ܝ,ܐܶܫܬܪܳܝ̈ܶܝܢ?,ܫܰܪܳܝ̈,ܐܶܫܬܰܪܳܝ̈,ܐܰܫܪܳܝ̈,ܐܶܬܫܰܬ̈ܪܳܝ
active-participle,MS,ܫܳܪܶܐ,ܡܶܫܬܪܶܐ,ܡܫܰܪܶܐ,ܡܶܫܬܰܪܶܐ,ܡܰܫܪܶܐ,ܡܶܬܫܰܬܪܶܐ
active-participle,FS,ܫܳܪܝܳܐ,ܡܶܫܬܰܪܝܳܐ,ܡܫܰܪܝܐ,ܡܶܫܬܰܪܝܳܐ,ܡܰܫܪܝܳܐ,ܡܶܬܫܰܬܪܝܳܐ
active-participle,MP,ܫܳܪܶܝܢ,ܡܶܫܬܪܶܝܢ,ܡܫܰܪܶܝܢ,ܡܶܫܬܰܪܶܝܢ,ܡܰܫܪܶܝܢ,ܡܶܬܫܰܬܪܶܝܢ
active-participle,FP,ܫܳܪܝ̈ܳܢ,ܡܶܫܬܰܪܝ̈ܳܢ,ܡܫܰܪܝ̈ܳܢ,ܡܶܫܬܰܪ̈ܝܳܢ,ܡܰܫܪ̈ܝܳܢ,ܡܶܬܫܰܬܪ̈ܝܳܢ
passive-participle,MS,ܫܪܶܐ,,ܡܫܰܪܰܝ,,ܡܰܫܪܰܝ,
passive-participle,FS,ܫܰܪܝܳܐ,,ܡܫܰܪܝܳܐ,,ܡܰܫܪܝܳܐ,
passive-participle,MP,ܫܪܶܝܢ,,ܡܫܰܪܶܝܢ,,ܡܰܫܪܶܝܢ,
passive-participle,FP,ܫܰܪܝ̈ܳܢ,,ܡܫܰܪܝ̈ܳܢ,,ܡܰܫܪ̈ܝܳܢ,
infinitive,,ܡܶܫܪܳܐ,ܡܶܫܬܪܳܝܽܘ,ܡܫܰܪܳܝܽܘ,ܡܶܫܬܰܪܳܝܽܘ,ܡܰܫܪܳܝܽܘ,ܡܶܬܫܰܬܪܳܝܽܘ
