ܒܐܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܐܶܫ,ܐܶܬܒܶܐܫ,ܒܰܐܶܫ,ܐܶܬܒܰܐܰܫ,ܐܰܒܶܐܫ,ܐܶܬܬܰܒܰܐܫ
perfect,3FS,ܒܶܐܫܰܬ,ܐܶܬܒܰܐܫܰܬ,ܒܰܐܫܰܬ,ܐܶܬܒܰܐܫܰܬ,ܐܰܒܐܫܰܬ,ܐܶܬܬܰܒܐܫܰܬ
perfect,2MS,ܒܐܶܫܬ,ܐܶܬܒܶܐܫܬ,ܒܰܐܶܫܬ,ܐܶܬܒܰܐܰܫܬ,ܐܰܒܶܐܫܬ,ܐܶܬܬܰܒܰܐܫܬ
perfect,2FS,ܒܐܶܫܬܝ,ܐܶܬܒܶܐܫܬܝ,ܒܰܐܶܫܬܝ,ܐܶܬܒܰܐܰܫܬܝ,ܐܰܒܶܐܫܬܝ,ܐܶܬܰܒܰܐܫܬܝ
perfect,1S,ܒܶܐܫܶܬ,ܐܶܬܒܰܐܫܶܬ,ܒܰܐܫܶܬ,ܐܶܬܒܰܐܫܶܬ,ܐܰܒܐܫܶܬ,ܐܶܬܰܒܐܫܶܬ
perfect,3MP,ܒܐܶܫܘ,ܐܶܬܒܶܐܫܘ,ܒܰܐܶܫܘ,ܐܶܬܒܰܐܰܫܘ,ܐܰܒܶܐܫܘ,ܐܶܬܬܰܒܰܐܫܘ
perfect,3FP,ܒܐܶܫ̈ܝ,ܐܶܬܒܶܐܫ̈ܝ,ܒܰܐܶܫ̈ܝ,ܐܶܬܒܰܐܰܫ̈ܝ,ܐܰܒܶܐܫ̈ܝ,ܐܶܬܬܰܒܰܐܫ̈ܝ
perfect,2MP,ܒܐܶܫܬܽܘܢ,ܐܶܬܒܶܐܫܬܽܘܢ,ܒܰܐܶܫܬܽܘܢ,ܐܶܬܒܰܐܰܫܬܽܘܢ,ܐܰܒܶܐܫܬܽܘܢ,ܐܶܬܬܰܒܰܐܫܬܽܘܢ
perfect,2FP,ܒܐܶܫܬ̈ܶܝܢ,ܐܶܬܒܶܐܫ̈ܬܶܝܢ,ܒܰܐܶܫܬ̈ܶܝܢ,ܐܶܬܒܰܐܰܫ̈ܬܶܝܢ,ܐܰܒܶܐܫܬ̈ܶܝܢ,ܐܶܬܬܰܒܰܐܫ̈ܬܶܝܢ
perfect,1P,ܒܐܶܫܢ,ܐܶܬܒܶܐܫܢ,ܒܰܐܶܫܢ,ܐܶܬܒܰܐܰܫܢ,ܐܰܒܶܐܫܢ,ܐܶܬܬܰܒܰܐܫܢ
imperfect,3MS,,ܢܶܬܒܶܐܫ,ܢܒܰܐܶܫ,ܢܶܬܒܰܐܰܫ,ܢܰܒܶܐܫ,ܢܶܬܬܰܒܰܐܫ
imperfect,3FS,,ܬܶܬܒܶܐܫ,ܬܒܰܐܶܫ,ܬܶܬܒܰܐܰܫ,ܬܰܒܶܐܫ,ܬܶܬܬܰܒܰܐܫܝ
imperfect,2MS,,ܬܶܬܒܶܐܫ,ܬܒܰܐܶܫ,ܬܶܬܒܰܐܰܫ,ܬܰܒܶܐܫ,ܬܶܬܬܰܒܰܐܫ
imperfect,2FS,,ܬܶܬܒܰܐܫܺܝܢ,ܬܒܰܐܫܺܝܢ,ܬܶܬܒܰܐܫܺܝܢ,ܬܰܒܐܫܺܝܢ,ܬܶܬܬܰܒܐܫܺܝܢ
imperfect,1S,,ܐܶܬܒܶܐܫ,ܐܶܒܰܐܶܫ,ܐܶܬܒܰܐܰܫ,ܐܰܒܶܐܫ,ܐܶܬܬܰܒܰܐܫ
imperfect,3MP,,ܢܶܬܒܰܐܫܽܘܢ,ܢܒܰܐܫܽܘܢ,ܢܶܬܒܰܐܫܽܘܢ,ܢܰܒܐܫܽܘܢ,ܢܶܬܬܰܒܐܫܽܘܢ
imperfect,3FP,,ܢܶܬܒܰܐܫ̈ܳܢ,ܢܒܰܐܫ̈ܳܢ,ܢܶܬܒܰܐܫ̈ܳܢ,ܢܰܒܐܫ̈ܳܢ,ܢܶܬܬܰܒܐܫ̈ܳܢ
imperfect,2MP,,ܬܶܬܒܰܐܫܽܘܢ,ܬܒܰܐܫܽܘܢ,ܬܶܬܒܰܐܫܽܘܢ,ܬܰܒܐܫܽܘܢ,ܬܶܬܬܰܒܐܫܽܘܢ
imperfect,2FP,,ܬܶܬܒܰܐܫ̈ܳܢ,ܬܒܰܐܫ̈ܳܢ,ܬܶܬܒܰܐܫ̈ܳܢ,ܬܰܒܐܫ̈ܳܢ,ܬܶܬܬܰܒܐܫ̈ܳܢ
imperfect,1P,,ܢܶܬܒܶܐܫ,ܢܒܰܐܶܫ,ܢܶܬܒܰܐܰܫ,ܢܰܒܶܐܫ,ܢܶܬܬܰܒܰܐܫ
imperative,MS,,ܐܶܬܒܰܐܫ,ܒܰܐܶܫ,ܐܶܬܒܰܐܰܫ,ܐܰܒܶܐܫ,ܐܶܬܬܰܒܰܐܫ
imperative,FS,,ܐܶܬܒܰܐܫܝ,ܒܰܐܶܫܝ,ܐܶܬܒܰܐܰܫܝ,ܐܰܒܶܐܫܝ,ܐܶܬܬܰܒܰܐܫܝ
imperative,MP,,ܐܶܬܒܰܐܫܘ,ܒܰܐܶܫܘ,ܐܶܬܒܰܐܰܫܘ,ܐܰܒܶܐܫܘ,ܐܶܬܬܰܒܰܐܫܘ
imperative,FP,,ܐܶܬܒܰܐܫ̈ܝ,ܒܰܐܶܫ̈ܝ,ܐܶܬܒܰܐܰܫ̈ܝ,ܐܰܒܶܐܫ̈ܝ,ܐܶܬܬܰܒܰܐܫ̈ܝ
active-participle,MS,ܒܳܐܶܫ,ܡܶܬܒܶܐܫ,ܡܒܰܐܶܫ,ܡܶܬܒܰܐܰܫ,ܡܰܒܶܐܫ,ܡܶܬܬܰܒܰܐܫ
active-participle,FS,ܒܳܐܫܳܐ,ܡܶܬܒܰܐܫܳܐ,ܡܒܰܐܫܳܐ,ܡܶܬܒܰܐܫܳܐ,ܡܰܒܐܫܳܐ,ܡܶܬܬܰܒܐܫܳܐ
active-participle,MP,ܒܳܐܫܺܝܢ,ܡܶܬܒܰܐܫܺܝܢ,ܡܒܰܐܫܺܝܢ,ܡܶܬܒܰܐܫܺܝܢ,ܡܰܒܐܫܺܝܢ,ܡܶܬܬܰܒܐܫܺܝܢ
active-participle,FP,ܒܳܐ̈ܫܳܢ,ܡܶܬܒܰܐܫ̈ܳܢ,ܡܒܰܐܫ̈ܳܢ,ܡܶܬܒܰܐܫ̈ܳܢ,ܡܰܒܐܫ̈ܳܢ,ܡܶܬܬܰܒܐܫ̈ܳܢ
passive-participle,MS,ܒܐܺܝܫ,,ܡܒܰܐܰܫ,,ܡܰܒܐܰܫ,
passive-participle,FS,ܒܐܺܝܫܳܐ,,ܡܒܰܐܫܳܐ,,ܡܰܒܐܫܳܐ,
passive-participle,MP,ܒܐܺܝܫܺܝܢ,,ܡܒܰܐܫܺܝܢ,,ܡܰܒܐܫܺܝܢ,
passive-participle,FP,ܒܐܺܝܫ̈ܳ,,ܡܒܰܐ̈ܫܳܢ,,ܡܰܒܐ̈ܫܳܢ,
infinitive,,ܡܶܒܰܐܫ,ܡܶܬܒܳܐܫܽܘ,ܡܒܰܐܳܫܽܘ,ܡܶܬܒܰܐܳܫܽܘ,ܡܰܒܳܐܫܽܘ,ܡܶܬܬܰܒܳܐܫܽܘ
