ܛܐܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܛܐܶܒ,ܐܶܬܛܶܐܒ,ܛܰܐܶܒ,ܐܶܬܛܰܐܰܒ,ܐܰܛܶܐܒ,ܐܶܬܬܰܛܰܐܒ
perfect,3FS,ܛܶܐܒܰܬ,ܐܶܬܛܰܐܒܰܬ,ܛܰܐܒܰܬ,ܐܶܬܛܰܐܒܰܬ,ܐܰܛܐܒܰܬ,ܐܶܬܬܰܛܐܒܰܬ
perfect,2MS,ܛܐܶܒܬ,ܐܶܬܛܶܐܒܬ,ܛܰܐܶܒܬ,ܐܶܬܛܰܐܰܒܬ,ܐܰܛܶܐܒܬ,ܐܶܬܬܰܛܰܐܒܬ
perfect,2FS,ܛܐܶܒܬܝ,ܐܶܬܛܶܐܒܬܝ,ܛܰܐܶܒܬܝ,ܐܶܬܛܰܐܰܒܬܝ,ܐܰܛܶܐܒܬܝ,ܐܶܬܰܛܰܐܒܬܝ
perfect,1S,ܛܶܐܒܶܬ,ܐܶܬܛܰܐܒܶܬ,ܛܰܐܒܶܬ,ܐܶܬܛܰܐܒܶܬ,ܐܰܛܐܒܶܬ,ܐܶܬܰܛܐܒܶܬ
perfect,3MP,ܛܐܶܒܘ,ܐܶܬܛܶܐܒܘ,ܛܰܐܶܒܘ,ܐܶܬܛܰܐܰܒܘ,ܐܰܛܶܐܒܘ,ܐܶܬܬܰܛܰܐܒܘ
perfect,3FP,ܛܐܶܒ̈ܝ,ܐܶܬܛܶܐܒ̈ܝ,ܛܰܐܶܒ̈ܝ,ܐܶܬܛܰܐܰܒ̈ܝ,ܐܰܛܶܐܒ̈ܝ,ܐܶܬܬܰܛܰܐܒ̈ܝ
perfect,2MP,ܛܐܶܒܬܽܘܢ,ܐܶܬܛܶܐܒܬܽܘܢ,ܛܰܐܶܒܬܽܘܢ,ܐܶܬܛܰܐܰܒܬܽܘܢ,ܐܰܛܶܐܒܬܽܘܢ,ܐܶܬܬܰܛܰܐܒܬܽܘܢ
perfect,2FP,ܛܐܶܒܬ̈ܶܝܢ,ܐܶܬܛܶܐܒ̈ܬܶܝܢ,ܛܰܐܶܒܬ̈ܶܝܢ,ܐܶܬܛܰܐܰܒ̈ܬܶܝܢ,ܐܰܛܶܐܒܬ̈ܶܝܢ,ܐܶܬܬܰܛܰܐܒ̈ܬܶܝܢ
perfect,1P,ܛܐܶܒܢ,ܐܶܬܛܶܐܒܢ,ܛܰܐܶܒܢ,ܐܶܬܛܰܐܰܒܢ,ܐܰܛܶܐܒܢ,ܐܶܬܬܰܛܰܐܒܢ
imperfect,3MS,,ܢܶܬܛܶܐܒ,ܢܛܰܐܶܒ,ܢܶܬܛܰܐܰܒ,ܢܰܛܶܐܒ,ܢܶܬܬܰܛܰܐܒ
imperfect,3FS,,ܬܶܬܛܶܐܒ,ܬܛܰܐܶܒ,ܬܶܬܛܰܐܰܒ,ܬܰܛܶܐܒ,ܬܶܬܬܰܛܰܐܒܝ
imperfect,2MS,,ܬܶܬܛܶܐܒ,ܬܛܰܐܶܒ,ܬܶܬܛܰܐܰܒ,ܬܰܛܶܐܒ,ܬܶܬܬܰܛܰܐܒ
imperfect,2FS,,ܬܶܬܛܰܐܒܺܝܢ,ܬܛܰܐܒܺܝܢ,ܬܶܬܛܰܐܒܺܝܢ,ܬܰܛܐܒܺܝܢ,ܬܶܬܬܰܛܐܒܺܝܢ
imperfect,1S,,ܐܶܬܛܶܐܒ,ܐܶܛܰܐܶܒ,ܐܶܬܛܰܐܰܒ,ܐܰܛܶܐܒ,ܐܶܬܬܰܛܰܐܒ
