ܡܐܢ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܐܶܢ,ܐܶܬܡܶܐܢ,ܡܰܐܶܢ,ܐܶܬܡܰܐܰܢ,ܐܰܡܶܐܢ,ܐܶܬܬܰܡܰܐܢ
perfect,3FS,ܡܶܐܢܰܬ,ܐܶܬܡܰܐܢܰܬ,ܡܰܐܢܰܬ,ܐܶܬܡܰܐܢܰܬ,ܐܰܡܐܢܰܬ,ܐܶܬܬܰܡܐܢܰܬ
perfect,2MS,ܡܐܶܢܬ,ܐܶܬܡܶܐܢܬ,ܡܰܐܶܢܬ,ܐܶܬܡܰܐܰܢܬ,ܐܰܡܶܐܢܬ,ܐܶܬܬܰܡܰܐܢܬ
perfect,2FS,ܡܐܶܢܬܝ,ܐܶܬܡܶܐܢܬܝ,ܡܰܐܶܢܬܝ,ܐܶܬܡܰܐܰܢܬܝ,ܐܰܡܶܐܢܬܝ,ܐܶܬܰܡܰܐܢܬܝ
perfect,1S,ܡܶܐܢܶܬ,ܐܶܬܡܰܐܢܶܬ,ܡܰܐܢܶܬ,ܐܶܬܡܰܐܢܶܬ,ܐܰܡܐܢܶܬ,ܐܶܬܰܡܐܢܶܬ
perfect,3MP,ܡܐܶܢܘ,ܐܶܬܡܶܐܢܘ,ܡܰܐܶܢܘ,ܐܶܬܡܰܐܰܢܘ,ܐܰܡܶܐܢܘ,ܐܶܬܬܰܡܰܐܢܘ
perfect,3FP,ܡܐܶܢ̈ܝ,ܐܶܬܡܶܐܢ̈ܝ,ܡܰܐܶܢ̈ܝ,ܐܶܬܡܰܐܰܢ̈ܝ,ܐܰܡܶܐܢ̈ܝ,ܐܶܬܬܰܡܰܐܢ̈ܝ
perfect,2MP,ܡܐܶܢܬܽܘܢ,ܐܶܬܡܶܐܢܬܽܘܢ,ܡܰܐܶܢܬܽܘܢ,ܐܶܬܡܰܐܰܢܬܽܘܢ,ܐܰܡܶܐܢܬܽܘܢ,ܐܶܬܬܰܡܰܐܢܬܽܘܢ
perfect,2FP,ܡܐܶܢܬ̈ܶܝܢ,ܐܶܬܡܶܐܢ̈ܬܶܝܢ,ܡܰܐܶܢܬ̈ܶܝܢ,ܐܶܬܡܰܐܰܢ̈ܬܶܝܢ,ܐܰܡܶܐܢܬ̈ܶܝܢ,ܐܶܬܬܰܡܰܐܢ̈ܬܶܝܢ
perfect,1P,ܡܐܶܢܢ,ܐܶܬܡܶܐܢܢ,ܡܰܐܶܢܢ,ܐܶܬܡܰܐܰܢܢ,ܐܰܡܶܐܢܢ,ܐܶܬܬܰܡܰܐܢܢ
imperfect,3MS,,ܢܶܬܡܶܐܢ,ܢܡܰܐܶܢ,ܢܶܬܡܰܐܰܢ,ܢܰܡܶܐܢ,ܢܶܬܬܰܡܰܐܢ
imperfect,3FS,,ܬܶܬܡܶܐܢ,ܬܡܰܐܶܢ,ܬܶܬܡܰܐܰܢ,ܬܰܡܶܐܢ,ܬܶܬܬܰܡܰܐܢܝ
imperfect,2MS,,ܬܶܬܡܶܐܢ,ܬܡܰܐܶܢ,ܬܶܬܡܰܐܰܢ,ܬܰܡܶܐܢ,ܬܶܬܬܰܡܰܐܢ
imperfect,2FS,,ܬܶܬܡܰܐܢܺܝܢ,ܬܡܰܐܢܺܝܢ,ܬܶܬܡܰܐܢܺܝܢ,ܬܰܡܐܢܺܝܢ,ܬܶܬܬܰܡܐܢܺܝܢ
imperfect,1S,,ܐܶܬܡܶܐܢ,ܐܶܡܰܐܶܢ,ܐܶܬܡܰܐܰܢ,ܐܰܡܶܐܢ,ܐܶܬܬܰܡܰܐܢ
imperfect,3MP,,ܢܶܬܡܰܐܢܽܘܢ,ܢܡܰܐܢܽܘܢ,ܢܶܬܡܰܐܢܽܘܢ,ܢܰܡܐܢܽܘܢ,ܢܶܬܬܰܡܐܢܽܘܢ
imperfect,3FP,,ܢܶܬܡܰܐܢ̈ܳܢ,ܢܡܰܐܢ̈ܳܢ,ܢܶܬܡܰܐܢ̈ܳܢ,ܢܰܡܐܢ̈ܳܢ,ܢܶܬܬܰܡܐܢ̈ܳܢ
