ܣܐܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,,ܐܶܣܬܶܐܒ,ܣܰܐܶܒ,ܐܶܣܬܰܐܰܒ,ܐܰܣܶܐܒ,ܐܶܬܣܰܬܰܐܒ
perfect,3FS,,ܐܶܣܬܰܐܒܰܬ,ܣܰܐܒܰܬ,ܐܶܣܬܰܐܒܰܬ,ܐܰܣܐܒܰܬ,ܐܶܬܣܰܬܐܒܰܬ
perfect,2MS,,ܐܶܣܬܶܐܒܬ,ܣܰܐܶܒܬ,ܐܶܣܬܰܐܰܒܬ,ܐܰܣܶܐܒܬ,ܐܶܬܣܰܬܰܐܒܬ
perfect,2FS,,ܐܶܣܬܶܐܒܬܝ,ܣܰܐܶܒܬܝ,ܐܶܣܬܰܐܰܒܬܝ,ܐܰܣܶܐܒܬܝ,ܐܶܬܰܣܬܐܒܬܝ
perfect,1S,,ܐܶܣܬܰܐܒܶܬ,ܣܰܐܒܶܬ,ܐܶܣܬܰܐܒܶܬ,ܐܰܣܐܒܶܬ,ܐܶܬܐܣܬܒܶܬ
perfect,3MP,,ܐܶܣܬܶܐܒܘ,ܣܰܐܶܒܘ,ܐܶܣܬܰܐܰܒܘ,ܐܰܣܶܐܒܘ,ܐܶܬܣܰܬܰܐܒܘ
perfect,3FP,,ܐܶܣܬܶܐܒ̈ܝ,ܣܰܐܶܒ̈ܝ,ܐܶܣܬܰܐܰܒ̈ܝ,ܐܰܣܶܐܒ̈ܝ,ܐܶܬܣܰܬܰܐܒ̈ܝ
perfect,2MP,,ܐܶܣܬܶܐܒܬܽܘܢ,ܣܰܐܶܒܬܽܘܢ,ܐܶܣܬܰܐܰܒܬܽܘܢ,ܐܰܣܶܐܒܬܽܘܢ,ܐܶܬܣܰܬܰܐܒܬܽܘܢ
perfect,2FP,,ܐܶܣܬܶܐܒ̈ܬܶܝܢ,ܣܰܐܶܒܬ̈ܶܝܢ,ܐܶܣܬܰܐܰܒ̈ܬܶܝܢ,ܐܰܣܶܐܒܬ̈ܶܝܢ,ܐܶܬܣܰܬܰܐܒ̈ܬܶܝܢ
perfect,1P,,ܐܶܣܬܶܐܒܢ,ܣܰܐܶܒܢ,ܐܶܣܬܰܐܰܒܢ,ܐܰܣܶܐܒܢ,ܐܶܬܣܰܬܰܐܒܢ
imperfect,3MS,,ܢܶܣܬܶܐܒ,ܢܣܰܐܶܒ,ܢܶܣܬܰܐܰܒ,ܢܰܣܶܐܒ,ܢܶܬܣܰܬܰܐܒ
imperfect,3FS,,ܬܶܣܬܶܐܒ,ܬܣܰܐܶܒ,ܬܶܣܬܰܐܰܒ,ܬܰܣܶܐܒ,ܬܶܬܣܰܬܰܐܒܝ
imperfect,2MS,,ܬܶܣܬܶܐܒ,ܬܣܰܐܶܒ,ܬܶܣܬܰܐܰܒ,ܬܰܣܶܐܒ,ܬܶܬܣܰܬܰܐܒ
imperfect,2FS,,ܬܶܣܬܰܐܒܺܝܢ,ܬܣܰܐܒܺܝܢ,ܬܶܣܬܰܐܒܺܝܢ,ܬܰܣܐܒܺܝܢ,ܬܶܬܣܰܬܐܒܺܝܢ
imperfect,1S,,ܐܶܣܬܶܐܒ,ܐܶܣܰܐܶܒ,ܐܶܣܬܰܐܰܒ,ܐܰܣܶܐܒ,ܐܶܬܣܰܬܰܐܒ
imperfect,3MP,,ܢܶܣܬܰܐܒܽܘܢ,ܢܣܰܐܒܽܘܢ,ܢܶܣܬܰܐܒܽܘܢ,ܢܰܣܐܒܽܘܢ,ܢܶܬܣܰܬܐܒܽܘܢ
imperfect,3FP,,ܢܶܣܬܰܐܒ̈ܳܢ,ܢܣܰܐܒ̈ܳܢ,ܢܶܣܬܰܐܒ̈ܳܢ,ܢܰܣܐܒ̈ܳܢ,ܢܶܬܣܰܬܐܒ̈ܳܢ
imperfect,2MP,,ܬܶܣܬܰܐܒܽܘܢ,ܬܣܰܐܒܽܘܢ,ܬܶܣܬܰܐܒܽܘܢ,ܬܰܣܐܒܽܘܢ,ܬܶܬܣܰܬܐܒܽܘܢ
imperfect,2FP,,ܬܶܣܬܰܐܒ̈ܳܢ,ܬܣܰܐܒ̈ܳܢ,ܬܶܣܬܰܐܒ̈ܳܢ,ܬܰܣܐܒ̈ܳܢ,ܬܶܬܣܰܬܐܒ̈ܳܢ
imperfect,1P,,ܢܶܣܬܶܐܒ,ܢܣܰܐܶܒ,ܢܶܣܬܰܐܰܒ,ܢܰܣܶܐܒ,ܢܶܬܣܰܬܰܐܒ
imperative,MS,,ܐܶܣܬܰܐܒ,ܣܰܐܶܒ,ܐܶܣܬܰܐܰܒ,ܐܰܣܶܐܒ,ܐܶܬܣܰܬܰܐܒ
imperative,FS,,ܐܶܣܬܰܐܒܝ,ܣܰܐܶܒܝ,ܐܶܣܬܰܐܰܒܝ,ܐܰܣܶܐܒܝ,ܐܶܬܣܰܬܰܐܒܝ
imperative,MP,,ܐܶܣܬܰܐܒܘ,ܣܰܐܶܒܘ,ܐܶܣܬܰܐܰܒܘ,ܐܰܣܶܐܒܘ,ܐܶܬܣܰܬܰܐܒܘ
imperative,FP,,ܐܶܣܬܰܐܒ̈ܝ,ܣܰܐܶܒ̈ܝ,ܐܶܣܬܰܐܰܒ̈ܝ,ܐܰܣܶܐܒ̈ܝ,ܐܶܬܣܰܬܰܐܒ̈ܝ
active-participle,MS,ܣܳܐܶܒ,ܡܶܣܬܶܐܒ,ܡܣܰܐܶܒ,ܡܶܣܬܰܐܰܒ,ܡܰܣܶܐܒ,ܡܶܬܣܰܬܰܐܒ
active-participle,FS,ܣܳܐܒܳܐ,ܡܶܣܬܰܐܒܳܐ,ܡܣܰܐܒܳܐ,ܡܶܣܬܰܐܒܳܐ,ܡܰܣܐܒܳܐ,ܡܶܬܣܰܬܐܒܳܐ
active-participle,MP,ܣܳܐܒܺܝܢ,ܡܶܣܬܰܐܒܺܝܢ,ܡܣܰܐܒܺܝܢ,ܡܶܣܬܰܐܒܺܝܢ,ܡܰܣܐܒܺܝܢ,ܡܶܬܣܰܬܐܒܺܝܢ
active-participle,FP,ܣܳܐ̈ܒܳܢ,ܡܶܣܬܰܐܒ̈ܳܢ,ܡܣܰܐܒ̈ܳܢ,ܡܶܣܬܰܐܒ̈ܳܢ,ܡܰܣܐܒ̈ܳܢ,ܡܶܬܣܰܬܐܒ̈ܳܢ
passive-participle,MS,ܣܐܺܝܒ,,ܡܣܰܐܰܒ,,ܡܰܣܐܰܒ,
