ܫܐܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܐܶܠ,ܐܶܫܬܶܐܠ,ܫܰܐܶܠ,ܐܶܫܬܰܐܰܠ,ܐܰܫܶܐܠ,ܐܶܬܫܰܬܰܐܠ
perfect,3FS,ܫܶܐܠܰܬ,ܐܶܫܬܰܐܠܰܬ,ܫܰܐܠܰܬ,ܐܶܫܬܰܐܠܰܬ,ܐܰܫܐܠܰܬ,ܐܶܬܫܰܬܐܠܰܬ
perfect,2MS,ܫܐܶܠܬ,ܐܶܫܬܶܐܠܬ,ܫܰܐܶܠܬ,ܐܶܫܬܰܐܰܠܬ,ܐܰܫܶܐܠܬ,ܐܶܬܫܰܬܰܐܠܬ
perfect,2FS,ܫܐܶܠܬܝ,ܐܶܫܬܶܐܠܬܝ,ܫܰܐܶܠܬܝ,ܐܶܫܬܰܐܰܠܬܝ,ܐܰܫܶܐܠܬܝ,ܐܶܬܰܫܬܐܠܬܝ
perfect,1S,ܫܶܐܠܶܬ,ܐܶܫܬܰܐܠܶܬ,ܫܰܐܠܶܬ,ܐܶܫܬܰܐܠܶܬ,ܐܰܫܐܠܶܬ,ܐܶܬܐܫܬܠܶܬ
perfect,3MP,ܫܐܶܠܘ,ܐܶܫܬܶܐܠܘ,ܫܰܐܶܠܘ,ܐܶܫܬܰܐܰܠܘ,ܐܰܫܶܐܠܘ,ܐܶܬܫܰܬܰܐܠܘ
perfect,3FP,ܫܐܶܠ̈ܝ,ܐܶܫܬܶܐܠ̈ܝ,ܫܰܐܶܠ̈ܝ,ܐܶܫܬܰܐܰܠ̈ܝ,ܐܰܫܶܐܠ̈ܝ,ܐܶܬܫܰܬܰܐܠ̈ܝ
perfect,2MP,ܫܐܶܠܬܽܘܢ,ܐܶܫܬܶܐܠܬܽܘܢ,ܫܰܐܶܠܬܽܘܢ,ܐܶܫܬܰܐܰܠܬܽܘܢ,ܐܰܫܶܐܠܬܽܘܢ,ܐܶܬܫܰܬܰܐܠܬܽܘܢ
perfect,2FP,ܫܐܶܠܬ̈ܶܝܢ,ܐܶܫܬܶܐܠ̈ܬܶܝܢ,ܫܰܐܶܠܬ̈ܶܝܢ,ܐܶܫܬܰܐܰܠ̈ܬܶܝܢ,ܐܰܫܶܐܠܬ̈ܶܝܢ,ܐܶܬܫܰܬܰܐܠ̈ܬܶܝܢ
perfect,1P,ܫܐܶܠܢ,ܐܶܫܬܶܐܠܢ,ܫܰܐܶܠܢ,ܐܶܫܬܰܐܰܠܢ,ܐܰܫܶܐܠܢ,ܐܶܬܫܰܬܰܐܠܢ
imperfect,3MS,ܢܶܫܰܐܠ,ܢܶܫܬܶܐܠ,ܢܫܰܐܶܠ,ܢܶܫܬܰܐܰܠ,ܢܰܫܶܐܠ,ܢܶܬܫܰܬܰܐܠ
imperfect,3FS,ܬܶܫܰܐܠ,ܬܶܫܬܶܐܠ,ܬܫܰܐܶܠ,ܬܶܫܬܰܐܰܠ,ܬܰܫܶܐܠ,ܬܶܬܫܰܬܰܐܠܝ
imperfect,2MS,ܬܶܫܰܐܠ,ܬܶܫܬܶܐܠ,ܬܫܰܐܶܠ,ܬܶܫܬܰܐܰܠ,ܬܰܫܶܐܠ,ܬܶܬܫܰܬܰܐܠ
imperfect,2FS,ܬܶܫܶܐܠܺܝܢ,ܬܶܫܬܰܐܠܺܝܢ,ܬܫܰܐܠܺܝܢ,ܬܶܫܬܰܐܠܺܝܢ,ܬܰܫܐܠܺܝܢ,ܬܶܬܫܰܬܐܠܺܝܢ
imperfect,1S,ܐܶܫܰܐܠ,ܐܶܫܬܶܐܠ,ܐܶܫܰܐܶܠ,ܐܶܫܬܰܐܰܠ,ܐܰܫܶܐܠ,ܐܶܬܫܰܬܰܐܠ
imperfect,3MP,ܢܶܫܶܐܠܽܘܢ,ܢܶܫܬܰܐܠܽܘܢ,ܢܫܰܐܠܽܘܢ,ܢܶܫܬܰܐܠܽܘܢ,ܢܰܫܐܠܽܘܢ,ܢܶܬܫܰܬܐܠܽܘܢ
imperfect,3FP,ܢܶܫ̈ܶܐܠܳܢ,ܢܶܫܬܰܐܠ̈ܳܢ,ܢܫܰܐܠ̈ܳܢ,ܢܶܫܬܰܐܠ̈ܳܢ,ܢܰܫܐܠ̈ܳܢ,ܢܶܬܫܰܬܐܠ̈ܳܢ
imperfect,2MP,ܬܶܫܶܐܠܽܘܢ,ܬܶܫܬܰܐܠܽܘܢ,ܬܫܰܐܠܽܘܢ,ܬܶܫܬܰܐܠܽܘܢ,ܬܰܫܐܠܽܘܢ,ܬܶܬܫܰܬܐܠܽܘܢ
imperfect,2FP,ܬܶܫ̈ܶܐܠܳܢ,ܬܶܫܬܰܐܠ̈ܳܢ,ܬܫܰܐܠ̈ܳܢ,ܬܶܫܬܰܐܠ̈ܳܢ,ܬܰܫܐܠ̈ܳܢ,ܬܶܬܫܰܬܐܠ̈ܳܢ
imperfect,1P,ܢܶܫܰܐܠ,ܢܶܫܬܶܐܠ,ܢܫܰܐܶܠ,ܢܶܫܬܰܐܰܠ,ܢܰܫܶܐܠ,ܢܶܬܫܰܬܰܐܠ
imperative,MS,ܫܰܐܠ,ܐܶܫܬܰܐܠ,ܫܰܐܶܠ,ܐܶܫܬܰܐܰܠ,ܐܰܫܶܐܠ,ܐܶܬܫܰܬܰܐܠ
imperative,FS,ܫܰܐܠܝ,ܐܶܫܬܰܐܠܝ,ܫܰܐܶܠܝ,ܐܶܫܬܰܐܰܠܝ,ܐܰܫܶܐܠܝ,ܐܶܬܫܰܬܰܐܠܝ
imperative,MP,ܫܰܐܠܘ,ܐܶܫܬܰܐܠܘ,ܫܰܐܶܠܘ,ܐܶܫܬܰܐܰܠܘ,ܐܰܫܶܐܠܘ,ܐܶܬܫܰܬܰܐܠܘ
imperative,FP,ܫܰܐܠ̈ܝ,ܐܶܫܬܰܐܠ̈ܝ,ܫܰܐܶܠ̈ܝ,ܐܶܫܬܰܐܰܠ̈ܝ,ܐܰܫܶܐܠ̈ܝ,ܐܶܬܫܰܬܰܐܠ̈ܝ
active-participle,MS,ܫܳܐܶܠ,ܡܶܫܬܶܐܠ,ܡܫܰܐܶܠ,ܡܶܫܬܰܐܰܠ,ܡܰܫܶܐܠ,ܡܶܬܫܰܬܰܐܠ
active-participle,FS,ܫܳܐܠܳܐ,ܡܶܫܬܰܐܠܳܐ,ܡܫܰܐܠܳܐ,ܡܶܫܬܰܐܠܳܐ,ܡܰܫܐܠܳܐ,ܡܶܬܫܰܬܐܠܳܐ
active-participle,MP,ܫܳܐܠܺܝܢ,ܡܶܫܬܰܐܠܺܝܢ,ܡܫܰܐܠܺܝܢ,ܡܶܫܬܰܐܠܺܝܢ,ܡܰܫܐܠܺܝܢ,ܡܶܬܫܰܬܐܠܺܝܢ
active-participle,FP,ܫܳܐ̈ܠܳܢ,ܡܶܫܬܰܐܠ̈ܳܢ,ܡܫܰܐܠ̈ܳܢ,ܡܶܫܬܰܐܠ̈ܳܢ,ܡܰܫܐܠ̈ܳܢ,ܡܶܬܫܰܬܐܠ̈ܳܢ
passive-participle,MS,ܫܐܺܝܠ,,ܡܫܰܐܰܠ,,ܡܰܫܐܰܠ,
passive-participle,FS,ܫܐܺܝܠܳܐ,,ܡܫܰܐܠܳܐ,,ܡܰܫܐܠܳܐ,
passive-participle,MP,ܫܐܺܝܠܺܝܢ,,ܡܫܰܐܠܺܝܢ,,ܡܰܫܐܠܺܝܢ,
passive-participle,FP,ܫܐܺܝܠ̈ܳ,,ܡܫܰܐ̈ܠܳܢ,,ܡܰܫܐ̈ܠܳܢ,
infinitive,,ܡܶܫܰܐܠ,ܡܶܫܬܳܐܠܽܘ,ܡܫܰܐܳܠܽܘ,ܡܶܫܬܰܐܳܠܽܘ,ܡܰܫܳܐܠܽܘ,ܡܶܬܫܰܬܳܐܠܽܘ
