ܐܒܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܒܰܕ,ܐܶܬܐܶܒܶܕ,ܐܰܒܶܕ,ܐܶܬܰܐܒܰܕ,ܐܰܘܒܶܕ,ܐܶܬܬܰܘܒܰܕ
perfect,3FS,ܐܶܒܕܰܬ,ܐܶܬܰܐܒܕܰܬ,ܐܰܒܕܰܬ,ܐܶܬܰܐܒܕܰܬ,ܐܰܘܒܕܰܬ,ܐܶܬܬܰܘܒܕܰܬ
perfect,2MS,ܐܶܒܰܕܬ,ܐܶܬܐܶܒܶܕܬ,ܐܰܒܶܕܬ,ܐܶܬܰܐܒܰܕܬ,ܐܰܘܒܶܕܬ,ܐܶܬܬܰܘܒܰܕܬ
perfect,2FS,ܐܶܒܰܕܬܝ,ܐܶܬܐܶܒܶܕܬܝ,ܐܰܒܶܕܬܝ,ܐܶܬܰܐܒܰܕܬܝ,ܐܰܘܒܶܕܬܝ,ܐܶܬܰܘܒܰܕܬܝ
perfect,1CS,ܐܶܶܒܕܶܬ,ܐܶܬܰܐܒܕܶܬ,ܐܰܒܕܶܬ,ܐܶܬܰܐܒܕܶܬ,ܐܰܘܒܕܶܬ,ܐܶܬܰܘܒܕܶܬ
perfect,3MP,ܐܶܒܰܕܘ,ܐܶܬܶܐܒܶܕܘ,ܐܰܒܶܕܘ,ܐܶܬܰܐܒܰܕܘ,ܐܰܘܒܶܕܘ,ܐܶܬܬܰܘܒܰܕܘ
perfect,3FP,ܐܶܒܰܕ̈ܝ,ܐܶܬܶܐܒܶܕ̈ܝ,ܐܰܒܶܕ̈ܝ,ܐܶܬܰܐܒܰܕ̈ܝ,ܐܰܘܒܶܕ̈ܝ,ܐܶܬܬܰܘܒܰܕ̈ܝ
perfect,2MP,ܐܶܒܰܕܬܽܘܢ,ܐܶܬܶܐܒܶܕܬܽܘܢ,ܐܰܒܶܕܬܽܘܢ,ܐܶܬܰܐܒܰܕܬܽܘܢ,ܐܰܘܒܶܕܬܽܘܢ,ܐܶܬܬܰܘܒܰܕܬܽܘܢ
perfect,2FP,ܐܶܒܰܕܬ̈ܶܝܢ,ܐܶܬܶܐܒܶܕ̈ܬܶܝܢ,ܐܰܒܶܕܬ̈ܶܝܢ,ܐܶܬܰܐܒܰܕ̈ܬܶܝܢ,ܐܰܘܒܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܘܒܰܕ̈ܬܶܝܢ
perfect,1CP,ܐܶܒܰܕܢ,ܐܶܬܶܐܒܶܕܢ,ܐܰܒܶܕܢ,ܐܶܬܰܐܒܰܕܢ,ܐܰܘܒܶܕܢ,ܐܶܬܬܰܘܒܰܕܢ
imperfect,3MS,ܢܶܐܒܽܘܕ,ܢܶܬܶܐܒܶܕ,ܢܰܐܒܶܕ,ܢܶܬܰܐܒܰܕ,ܢܰܘܒܶܕ,ܢܶܬܬܰܘܒܰܕ
imperfect,3FS,ܬܶܐܒܽܘܕ,ܬܶܬܶܐܒܶܕ,ܬܰܐܒܶܕ,ܬܶܬܰܐܒܰܕ,ܬܰܘܒܶܕ,ܬܶܬܬܰܘܒܰܕܝ
imperfect,2MS,ܬܶܐܒܽܘܕ,ܬܶܬܶܐܒܶܕ,ܬܰܐܒܶܕ,ܬܶܬܰܐܒܰܕ,ܬܰܘܒܶܕ,ܬܶܬܬܰܘܒܰܕ
imperfect,2FS,ܬܶܐܒܕܺܝܢ,ܬܶܬܰܐܒܕܺܝܢ,ܬܰܐܒܕܺܝܢ,ܬܶܬܰܐܒܕܺܝܢ,ܬܰܘܒܕܺܝܢ,ܬܶܬܬܰܘܒܕܺܝܢ
imperfect,1CS,ܐܶܐܒܽܘܕ,ܐܶܬܶܐܒܶܕ,ܐܰܐܒܶܕ,ܐܶܬܰܐܒܰܕ,ܐܰܘܒܶܕ,ܐܶܬܬܰܘܒܰܕ
imperfect,3MP,ܢܶܐܒܕܽܘܢ,ܢܶܬܰܐܒܕܽܘܢ,ܢܰܐܒܕܽܘܢ,ܢܶܬܰܐܒܕܽܘܢ,ܢܰܘܒܕܽܘܢ,ܢܶܬܬܰܘܒܕܽܘܢ
imperfect,3FP,ܢܶܐ̈ܒܕܳܢ,ܢܶܬܰܐܒܕ̈ܳܢ,ܢܰܐܒܕ̈ܳܢ,ܢܶܬܰܐܒܕ̈ܳܢ,ܢܰܘܒܕ̈ܳܢ,ܢܶܬܬܰܘܒܕ̈ܳܢ
imperfect,2MP,ܬܶܐܒܕܽܘܢ,ܬܶܬܰܐܒܕܽܘܢ,ܬܰܐܒܕܽܘܢ,ܬܶܬܰܐܒܕܽܘܢ,ܬܰܘܒܕܽܘܢ,ܬܶܬܬܰܘܒܕܽܘܢ
imperfect,2FP,ܬܶܐ̈ܒܕܳܢ,ܬܶܬܰܐܒܕ̈ܳܢ,ܬܰܐܒܕ̈ܳܢ,ܬܶܬܰܐܒܕ̈ܳܢ,ܬܰܘܒܕ̈ܳܢ,ܬܶܬܬܰܘܒܕ̈ܳܢ
imperfect,1CP,ܢܶܐܒܽܘܕ,ܢܶܬܶܐܒܶܕ,ܢܰܐܒܶܕ,ܢܶܬܰܐܒܰܕ,ܢܰܘܒܶܕ,ܢܶܬܬܰܘܒܰܕ
imperative,MS,ܐܰܒܽܘܕ,ܐܶܬܰܐܒܕ,ܐܰܒܶܕ,ܐܶܬܰܐܒܰܕ,ܐܰܘܒܶܕ,ܐܶܬܬܰܘܒܰܕ
imperative,FS,ܐܰܒܽܘܕܝ,ܐܶܬܰܐܒܕܝ,ܐܰܒܶܕܝ,ܐܶܬܰܐܒܰܕܝ,ܐܰܘܒܶܕܝ,ܐܶܬܬܰܘܒܰܕܝ
imperative,MP,ܐܰܒܽܘܕܘ,ܐܶܬܰܐܒܕܘ,ܐܰܒܶܕܘ,ܐܶܬܰܐܒܰܕܘ,ܐܰܘܒܶܕܘ,ܐܶܬܬܰܘܒܰܕܘ
