ܐܒܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܒܰܠ,ܐܶܬܐܶܒܶܠ,ܐܰܒܶܠ,ܐܶܬܰܐܒܰܠ,ܐܰܘܒܶܠ,ܐܶܬܬܰܘܒܰܠ
perfect,3FS,ܐܶܒܠܰܬ,ܐܶܬܰܐܒܠܰܬ,ܐܰܒܠܰܬ,ܐܶܬܰܐܒܠܰܬ,ܐܰܘܒܠܰܬ,ܐܶܬܬܰܘܒܠܰܬ
perfect,2MS,ܐܶܒܰܠܬ,ܐܶܬܐܶܒܶܠܬ,ܐܰܒܶܠܬ,ܐܶܬܰܐܒܰܠܬ,ܐܰܘܒܶܠܬ,ܐܶܬܬܰܘܒܰܠܬ
perfect,2FS,ܐܶܒܰܠܬܝ,ܐܶܬܐܶܒܶܠܬܝ,ܐܰܒܶܠܬܝ,ܐܶܬܰܐܒܰܠܬܝ,ܐܰܘܒܶܠܬܝ,ܐܶܬܰܘܒܰܠܬܝ
perfect,1CS,ܐܶܶܒܠܶܬ,ܐܶܬܰܐܒܠܶܬ,ܐܰܒܠܶܬ,ܐܶܬܰܐܒܠܶܬ,ܐܰܘܒܠܶܬ,ܐܶܬܰܘܒܠܶܬ
perfect,3MP,ܐܶܒܰܠܘ,ܐܶܬܶܐܒܶܠܘ,ܐܰܒܶܠܘ,ܐܶܬܰܐܒܰܠܘ,ܐܰܘܒܶܠܘ,ܐܶܬܬܰܘܒܰܠܘ
perfect,3FP,ܐܶܒܰܠ̈ܝ,ܐܶܬܶܐܒܶܠ̈ܝ,ܐܰܒܶܠ̈ܝ,ܐܶܬܰܐܒܰܠ̈ܝ,ܐܰܘܒܶܠ̈ܝ,ܐܶܬܬܰܘܒܰܠ̈ܝ
perfect,2MP,ܐܶܒܰܠܬܽܘܢ,ܐܶܬܶܐܒܶܠܬܽܘܢ,ܐܰܒܶܠܬܽܘܢ,ܐܶܬܰܐܒܰܠܬܽܘܢ,ܐܰܘܒܶܠܬܽܘܢ,ܐܶܬܬܰܘܒܰܠܬܽܘܢ
perfect,2FP,ܐܶܒܰܠܬ̈ܶܝܢ,ܐܶܬܶܐܒܶܠ̈ܬܶܝܢ,ܐܰܒܶܠܬ̈ܶܝܢ,ܐܶܬܰܐܒܰܠ̈ܬܶܝܢ,ܐܰܘܒܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܘܒܰܠ̈ܬܶܝܢ
perfect,1CP,ܐܶܒܰܠܢ,ܐܶܬܶܐܒܶܠܢ,ܐܰܒܶܠܢ,ܐܶܬܰܐܒܰܠܢ,ܐܰܘܒܶܠܢ,ܐܶܬܬܰܘܒܰܠܢ
imperfect,3MS,ܢܶܐܒܽܘܠ,ܢܶܬܶܐܒܶܠ,ܢܰܐܒܶܠ,ܢܶܬܰܐܒܰܠ,ܢܰܘܒܶܠ,ܢܶܬܬܰܘܒܰܠ
imperfect,3FS,ܬܶܐܒܽܘܠ,ܬܶܬܶܐܒܶܠ,ܬܰܐܒܶܠ,ܬܶܬܰܐܒܰܠ,ܬܰܘܒܶܠ,ܬܶܬܬܰܘܒܰܠܝ
imperfect,2MS,ܬܶܐܒܽܘܠ,ܬܶܬܶܐܒܶܠ,ܬܰܐܒܶܠ,ܬܶܬܰܐܒܰܠ,ܬܰܘܒܶܠ,ܬܶܬܬܰܘܒܰܠ
imperfect,2FS,ܬܶܐܒܠܺܝܢ,ܬܶܬܰܐܒܠܺܝܢ,ܬܰܐܒܠܺܝܢ,ܬܶܬܰܐܒܠܺܝܢ,ܬܰܘܒܠܺܝܢ,ܬܶܬܬܰܘܒܠܺܝܢ
imperfect,1CS,ܐܶܐܒܽܘܠ,ܐܶܬܶܐܒܶܠ,ܐܰܐܒܶܠ,ܐܶܬܰܐܒܰܠ,ܐܰܘܒܶܠ,ܐܶܬܬܰܘܒܰܠ
imperfect,3MP,ܢܶܐܒܠܽܘܢ,ܢܶܬܰܐܒܠܽܘܢ,ܢܰܐܒܠܽܘܢ,ܢܶܬܰܐܒܠܽܘܢ,ܢܰܘܒܠܽܘܢ,ܢܶܬܬܰܘܒܠܽܘܢ
imperfect,3FP,ܢܶܐ̈ܒܠܳܢ,ܢܶܬܰܐܒܠ̈ܳܢ,ܢܰܐܒܠ̈ܳܢ,ܢܶܬܰܐܒܠ̈ܳܢ,ܢܰܘܒܠ̈ܳܢ,ܢܶܬܬܰܘܒܠ̈ܳܢ
imperfect,2MP,ܬܶܐܒܠܽܘܢ,ܬܶܬܰܐܒܠܽܘܢ,ܬܰܐܒܠܽܘܢ,ܬܶܬܰܐܒܠܽܘܢ,ܬܰܘܒܠܽܘܢ,ܬܶܬܬܰܘܒܠܽܘܢ
