ܐܙܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܙܰܠ,ܐܶܬܐܶܙܶܠ,ܐܰܙܶܠ,ܐܶܬܰܐܙܰܠ,ܐܰܘܙܶܠ,ܐܶܬܬܰܘܙܰܠ
perfect,3FS,ܐܶܙܠܰܬ,ܐܶܬܰܐܙܠܰܬ,ܐܰܙܠܰܬ,ܐܶܬܰܐܙܠܰܬ,ܐܰܘܙܠܰܬ,ܐܶܬܬܰܘܙܠܰܬ
perfect,2MS,ܐܶܙܰܠܬ,ܐܶܬܐܶܙܶܠܬ,ܐܰܙܶܠܬ,ܐܶܬܰܐܙܰܠܬ,ܐܰܘܙܶܠܬ,ܐܶܬܬܰܘܙܰܠܬ
perfect,2FS,ܐܶܙܰܠܬܝ,ܐܶܬܐܶܙܶܠܬܝ,ܐܰܙܶܠܬܝ,ܐܶܬܰܐܙܰܠܬܝ,ܐܰܘܙܶܠܬܝ,ܐܶܬܰܘܙܰܠܬܝ
perfect,1CS,ܐܶܶܙܠܶܬ,ܐܶܬܰܐܙܠܶܬ,ܐܰܙܠܶܬ,ܐܶܬܰܐܙܠܶܬ,ܐܰܘܙܠܶܬ,ܐܶܬܰܘܙܠܶܬ
perfect,3MP,ܐܶܙܰܠܘ,ܐܶܬܶܐܙܶܠܘ,ܐܰܙܶܠܘ,ܐܶܬܰܐܙܰܠܘ,ܐܰܘܙܶܠܘ,ܐܶܬܬܰܘܙܰܠܘ
perfect,3FP,ܐܶܙܰܠ̈ܝ,ܐܶܬܶܐܙܶܠ̈ܝ,ܐܰܙܶܠ̈ܝ,ܐܶܬܰܐܙܰܠ̈ܝ,ܐܰܘܙܶܠ̈ܝ,ܐܶܬܬܰܘܙܰܠ̈ܝ
perfect,2MP,ܐܶܙܰܠܬܽܘܢ,ܐܶܬܶܐܙܶܠܬܽܘܢ,ܐܰܙܶܠܬܽܘܢ,ܐܶܬܰܐܙܰܠܬܽܘܢ,ܐܰܘܙܶܠܬܽܘܢ,ܐܶܬܬܰܘܙܰܠܬܽܘܢ
perfect,2FP,ܐܶܙܰܠܬ̈ܶܝܢ,ܐܶܬܶܐܙܶܠ̈ܬܶܝܢ,ܐܰܙܶܠܬ̈ܶܝܢ,ܐܶܬܰܐܙܰܠ̈ܬܶܝܢ,ܐܰܘܙܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܘܙܰܠ̈ܬܶܝܢ
perfect,1CP,ܐܶܙܰܠܢ,ܐܶܬܶܐܙܶܠܢ,ܐܰܙܶܠܢ,ܐܶܬܰܐܙܰܠܢ,ܐܰܘܙܶܠܢ,ܐܶܬܬܰܘܙܰܠܢ
imperfect,3MS,ܢܺܐܙܰܠ,ܢܶܬܶܐܙܶܠ,ܢܰܐܙܶܠ,ܢܶܬܰܐܙܰܠ,ܢܰܘܙܶܠ,ܢܶܬܬܰܘܙܰܠ
imperfect,3FS,ܬܺܐܙܰܠ,ܬܶܬܶܐܙܶܠ,ܬܰܐܙܶܠ,ܬܶܬܰܐܙܰܠ,ܬܰܘܙܶܠ,ܬܶܬܬܰܘܙܰܠܝ
imperfect,2MS,ܬܺܐܙܰܠ,ܬܶܬܶܐܙܶܠ,ܬܰܐܙܶܠ,ܬܶܬܰܐܙܰܠ,ܬܰܘܙܶܠ,ܬܶܬܬܰܘܙܰܠ
imperfect,2FS,ܬܺܐܙܠܺܝܢ,ܬܶܬܰܐܙܠܺܝܢ,ܬܰܐܙܠܺܝܢ,ܬܶܬܰܐܙܠܺܝܢ,ܬܰܘܙܠܺܝܢ,ܬܶܬܬܰܘܙܠܺܝܢ
imperfect,1CS,ܐܺܐܙܰܠ,ܐܶܬܶܐܙܶܠ,ܐܰܐܙܶܠ,ܐܶܬܰܐܙܰܠ,ܐܰܘܙܶܠ,ܐܶܬܬܰܘܙܰܠ
imperfect,3MP,ܢܺܐܙܠܽܘܢ,ܢܶܬܰܐܙܠܽܘܢ,ܢܰܐܙܠܽܘܢ,ܢܶܬܰܐܙܠܽܘܢ,ܢܰܘܙܠܽܘܢ,ܢܶܬܬܰܘܙܠܽܘܢ
imperfect,3FP,ܢܺܐ̈ܙܠܳܢ,ܢܶܬܰܐܙܠ̈ܳܢ,ܢܰܐܙܠ̈ܳܢ,ܢܶܬܰܐܙܠ̈ܳܢ,ܢܰܘܙܠ̈ܳܢ,ܢܶܬܬܰܘܙܠ̈ܳܢ
imperfect,2MP,ܬܺܐܙܠܽܘܢ,ܬܶܬܰܐܙܠܽܘܢ,ܬܰܐܙܠܽܘܢ,ܬܶܬܰܐܙܠܽܘܢ,ܬܰܘܙܠܽܘܢ,ܬܶܬܬܰܘܙܠܽܘܢ
imperfect,2FP,ܬܺܐ̈ܙܠܳܢ,ܬܶܬܰܐܙܠ̈ܳܢ,ܬܰܐܙܠ̈ܳܢ,ܬܶܬܰܐܙܠ̈ܳܢ,ܬܰܘܙܠ̈ܳܢ,ܬܶܬܬܰܘܙܠ̈ܳܢ
imperfect,1CP,ܢܺܐܙܰܠ,ܢܶܬܶܐܙܶܠ,ܢܰܐܙܶܠ,ܢܶܬܰܐܙܰܠ,ܢܰܘܙܶܠ,ܢܶܬܬܰܘܙܰܠ
imperative,MS,ܐܰܙܶܠ,ܐܶܬܰܐܙܠ,ܐܰܙܶܠ,ܐܶܬܰܐܙܰܠ,ܐܰܘܙܶܠ,ܐܶܬܬܰܘܙܰܠ
imperative,FS,ܐܰܙܶܠܝ,ܐܶܬܰܐܙܠܝ,ܐܰܙܶܠܝ,ܐܶܬܰܐܙܰܠܝ,ܐܰܘܙܶܠܝ,ܐܶܬܬܰܘܙܰܠܝ
imperative,MP,ܐܰܙܶܠܘ,ܐܶܬܰܐܙܠܘ,ܐܰܙܶܠܘ,ܐܶܬܰܐܙܰܠܘ,ܐܰܘܙܶܠܘ,ܐܶܬܬܰܘܙܰܠܘ
imperative,FP,ܐܰܙܶܠ̈ܝ,ܐܶܬܰܐܙܠ̈ܝ,ܐܰܙܶܠ̈ܝ,ܐܶܬܰܐܙܰܠ̈ܝ,ܐܰܘܙܶܠ̈ܝ,ܐܶܬܬܰܘܙܰܠ̈ܝ
active-participle,MS,ܐܳܙܶܠ,ܡܶܬܶܐܙܶܠ,ܡܰܐܙܶܠ,ܡܶܬܰܐܙܰܠ,ܡܰܘܙܶܠ,ܡܶܬܬܰܘܙܰܠ
active-participle,FS,ܐܳܙܠܳܐ,ܡܶܬܰܐܙܠܳܐ,ܡܰܐܙܠܳܐ,ܡܶܬܰܐܙܠܳܐ,ܡܰܘܙܠܳܐ,ܡܶܬܬܰܘܙܠܳܐ
active-participle,MP,ܐܳܙܠܺܝܢ,ܡܶܬܰܐܙܠܺܝܢ,ܡܰܐܙܠܺܝܢ,ܡܶܬܰܐܙܠܺܝܢ,ܡܰܘܙܠܺܝܢ,ܡܶܬܬܰܘܙܠܺܝܢ
active-participle,FP,ܐܳܙ̈ܠܳܢ,ܡܶܬܰܐܙܠ̈ܳܢ,ܡܰܐܙܠ̈ܳܢ,ܡܶܬܰܐܙܠ̈ܳܢ,ܡܰܘܙܠ̈ܳܢ,ܡܶܬܬܰܘܙܠ̈ܳܢ
passive-participle,MS,ܐܰܙܺܝܠ,,ܡܰܐܙܰܠ,,ܡܰܘܙܰܠ,
passive-participle,FS,ܐܰܙܺܝܠܳܐ,,ܡܰܐܙܠܳܐ,,ܡܰܘܙܠܳܐ,
passive-participle,MP,ܐܰܙܺܝܠܺܝܢ,,ܡܰܐܙܠܺܝܢ,,ܡܰܘܙܠܺܝܢ,
passive-participle,FP,ܐܰܙܺܝܠ̈ܳ,,ܡܰܐܙ̈ܠܳܢ,,ܡܰܘܙ̈ܠܳܢ,
