ܐܚܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܚܰܕ,ܐܶܬܐܶܚܶܕ,ܐܰܚܶܕ,ܐܶܬܰܐܚܰܕ,ܐܰܘܚܶܕ,ܐܶܬܬܰܘܚܰܕ
perfect,3FS,ܐܶܚܕܰܬ,ܐܶܬܰܐܚܕܰܬ,ܐܰܚܕܰܬ,ܐܶܬܰܐܚܕܰܬ,ܐܰܘܚܕܰܬ,ܐܶܬܬܰܘܚܕܰܬ
perfect,2MS,ܐܶܚܰܕܬ,ܐܶܬܐܶܚܶܕܬ,ܐܰܚܶܕܬ,ܐܶܬܰܐܚܰܕܬ,ܐܰܘܚܶܕܬ,ܐܶܬܬܰܘܚܰܕܬ
perfect,2FS,ܐܶܚܰܕܬܝ,ܐܶܬܐܶܚܶܕܬܝ,ܐܰܚܶܕܬܝ,ܐܶܬܰܐܚܰܕܬܝ,ܐܰܘܚܶܕܬܝ,ܐܶܬܰܘܚܰܕܬܝ
perfect,1S,ܐܶܶܚܕܶܬ,ܐܶܬܰܐܚܕܶܬ,ܐܰܚܕܶܬ,ܐܶܬܰܐܚܕܶܬ,ܐܰܘܚܕܶܬ,ܐܶܬܰܘܚܕܶܬ
perfect,3MP,ܐܶܚܰܕܘ,ܐܶܬܶܐܚܶܕܘ,ܐܰܚܶܕܘ,ܐܶܬܰܐܚܰܕܘ,ܐܰܘܚܶܕܘ,ܐܶܬܬܰܘܚܰܕܘ
perfect,3FP,ܐܶܚܰܕ̈ܝ,ܐܶܬܶܐܚܶܕ̈ܝ,ܐܰܚܶܕ̈ܝ,ܐܶܬܰܐܚܰܕ̈ܝ,ܐܰܘܚܶܕ̈ܝ,ܐܶܬܬܰܘܚܰܕ̈ܝ
perfect,2MP,ܐܶܚܰܕܬܽܘܢ,ܐܶܬܶܐܚܶܕܬܽܘܢ,ܐܰܚܶܕܬܽܘܢ,ܐܶܬܰܐܚܰܕܬܽܘܢ,ܐܰܘܚܶܕܬܽܘܢ,ܐܶܬܬܰܘܚܰܕܬܽܘܢ
perfect,2FP,ܐܶܚܰܕܬ̈ܶܝܢ,ܐܶܬܶܐܚܶܕ̈ܬܶܝܢ,ܐܰܚܶܕܬ̈ܶܝܢ,ܐܶܬܰܐܚܰܕ̈ܬܶܝܢ,ܐܰܘܚܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܘܚܰܕ̈ܬܶܝܢ
perfect,1P,ܐܶܚܰܕܢ,ܐܶܬܶܐܚܶܕܢ,ܐܰܚܶܕܢ,ܐܶܬܰܐܚܰܕܢ,ܐܰܘܚܶܕܢ,ܐܶܬܬܰܘܚܰܕܢ
imperfect,3MS,ܢܶܐܚܽܘܕ,ܢܶܬܶܐܚܶܕ,ܢܰܐܚܶܕ,ܢܶܬܰܐܚܰܕ,ܢܰܘܚܶܕ,ܢܶܬܬܰܘܚܰܕ
imperfect,3FS,ܬܶܐܚܽܘܕ,ܬܶܬܶܐܚܶܕ,ܬܰܐܚܶܕ,ܬܶܬܰܐܚܰܕ,ܬܰܘܚܶܕ,ܬܶܬܬܰܘܚܰܕܝ
imperfect,2MS,ܬܶܐܚܽܘܕ,ܬܶܬܶܐܚܶܕ,ܬܰܐܚܶܕ,ܬܶܬܰܐܚܰܕ,ܬܰܘܚܶܕ,ܬܶܬܬܰܘܚܰܕ
imperfect,2FS,ܬܶܐܚܕܺܝܢ,ܬܶܬܰܐܚܕܺܝܢ,ܬܰܐܚܕܺܝܢ,ܬܶܬܰܐܚܕܺܝܢ,ܬܰܘܚܕܺܝܢ,ܬܶܬܬܰܘܚܕܺܝܢ
imperfect,1S,ܐܶܐܚܽܘܕ,ܐܶܬܶܐܚܶܕ,ܐܰܐܚܶܕ,ܐܶܬܰܐܚܰܕ,ܐܰܘܚܶܕ,ܐܶܬܬܰܘܚܰܕ
imperfect,3MP,ܢܶܐܚܕܽܘܢ,ܢܶܬܰܐܚܕܽܘܢ,ܢܰܐܚܕܽܘܢ,ܢܶܬܰܐܚܕܽܘܢ,ܢܰܘܚܕܽܘܢ,ܢܶܬܬܰܘܚܕܽܘܢ
imperfect,3FP,ܢܶܐ̈ܚܕܳܢ,ܢܶܬܰܐܚܕ̈ܳܢ,ܢܰܐܚܕ̈ܳܢ,ܢܶܬܰܐܚܕ̈ܳܢ,ܢܰܘܚܕ̈ܳܢ,ܢܶܬܬܰܘܚܕ̈ܳܢ
imperfect,2MP,ܬܶܐܚܕܽܘܢ,ܬܶܬܰܐܚܕܽܘܢ,ܬܰܐܚܕܽܘܢ,ܬܶܬܰܐܚܕܽܘܢ,ܬܰܘܚܕܽܘܢ,ܬܶܬܬܰܘܚܕܽܘܢ
imperfect,2FP,ܬܶܐ̈ܚܕܳܢ,ܬܶܬܰܐܚܕ̈ܳܢ,ܬܰܐܚܕ̈ܳܢ,ܬܶܬܰܐܚܕ̈ܳܢ,ܬܰܘܚܕ̈ܳܢ,ܬܶܬܬܰܘܚܕ̈ܳܢ
imperfect,1P,ܢܶܐܚܽܘܕ,ܢܶܬܶܐܚܶܕ,ܢܰܐܚܶܕ,ܢܶܬܰܐܚܰܕ,ܢܰܘܚܶܕ,ܢܶܬܬܰܘܚܰܕ
imperative,MS,ܐܰܚܽܘܕ,ܐܶܬܰܐܚܕ,ܐܰܚܶܕ,ܐܶܬܰܐܚܰܕ,ܐܰܘܚܶܕ,ܐܶܬܬܰܘܚܰܕ
imperative,FS,ܐܰܚܽܘܕܝ,ܐܶܬܰܐܚܕܝ,ܐܰܚܶܕܝ,ܐܶܬܰܐܚܰܕܝ,ܐܰܘܚܶܕܝ,ܐܶܬܬܰܘܚܰܕܝ
imperative,MP,ܐܰܚܽܘܕܘ,ܐܶܬܰܐܚܕܘ,ܐܰܚܶܕܘ,ܐܶܬܰܐܚܰܕܘ,ܐܰܘܚܶܕܘ,ܐܶܬܬܰܘܚܰܕܘ
imperative,FP,ܐܰܚܽܘܕ̈ܝ,ܐܶܬܰܐܚܕ̈ܝ,ܐܰܚܶܕ̈ܝ,ܐܶܬܰܐܚܰܕ̈ܝ,ܐܰܘܚܶܕ̈ܝ,ܐܶܬܬܰܘܚܰܕ̈ܝ
active-participle,MS,ܐܳܚܶܕ,ܡܶܬܶܐܚܶܕ,ܡܰܐܚܶܕ,ܡܶܬܰܐܚܰܕ,ܡܰܘܚܶܕ,ܡܶܬܬܰܘܚܰܕ
active-participle,FS,ܐܳܚܕܳܐ,ܡܶܬܰܐܚܕܳܐ,ܡܰܐܚܕܳܐ,ܡܶܬܰܐܚܕܳܐ,ܡܰܘܚܕܳܐ,ܡܶܬܬܰܘܚܕܳܐ
active-participle,MP,ܐܳܚܕܺܝܢ,ܡܶܬܰܐܚܕܺܝܢ,ܡܰܐܚܕܺܝܢ,ܡܶܬܰܐܚܕܺܝܢ,ܡܰܘܚܕܺܝܢ,ܡܶܬܬܰܘܚܕܺܝܢ
active-participle,FP,ܐܳܚ̈ܕܳܢ,ܡܶܬܰܐܚܕ̈ܳܢ,ܡܰܐܚܕ̈ܳܢ,ܡܶܬܰܐܚܕ̈ܳܢ,ܡܰܘܚܕ̈ܳܢ,ܡܶܬܬܰܘܚܕ̈ܳܢ
passive-participle,MS,ܐܰܚܺܝܕ,,ܡܰܐܚܰܕ,,ܡܰܘܚܰܕ,
passive-participle,FS,ܐܰܚܺܝܕܳܐ,,ܡܰܐܚܕܳܐ,,ܡܰܘܚܕܳܐ,
passive-participle,MP,ܐܰܚܺܝܕܺܝܢ,,ܡܰܐܚܕܺܝܢ,,ܡܰܘܚܕܺܝܢ,
passive-participle,FP,ܐܰܚܺܝܕ̈ܳ,,ܡܰܐܚ̈ܕܳܢ,,ܡܰܘܚ̈ܕܳܢ,
infinitive,,ܡܶܐܚܰܕ,ܡܶܬܶܐܚܳܕܽܘ,ܡܰܐܚܳܕܽܘ,ܡܶܬܰܐܚܳܕܽܘ,ܡܰܘܚܳܕܽܘ,ܡܶܬܬܰܘܚܳܕܽܘ
