ܐܟܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܟܰܠ,ܐܶܬܐܶܟܶܠ,ܐܰܟܶܠ,ܐܶܬܰܐܟܰܠ,ܐܰܘܟܶܠ,ܐܶܬܬܰܘܟܰܠ
perfect,3FS,ܐܶܟܠܰܬ,ܐܶܬܰܐܟܠܰܬ,ܐܰܟܠܰܬ,ܐܶܬܰܐܟܠܰܬ,ܐܰܘܟܠܰܬ,ܐܶܬܬܰܘܟܠܰܬ
perfect,2MS,ܐܶܟܰܠܬ,ܐܶܬܐܶܟܶܠܬ,ܐܰܟܶܠܬ,ܐܶܬܰܐܟܰܠܬ,ܐܰܘܟܶܠܬ,ܐܶܬܬܰܘܟܰܠܬ
perfect,2FS,ܐܶܟܰܠܬܝ,ܐܶܬܐܶܟܶܠܬܝ,ܐܰܟܶܠܬܝ,ܐܶܬܰܐܟܰܠܬܝ,ܐܰܘܟܶܠܬܝ,ܐܶܬܰܘܟܰܠܬܝ
perfect,1S,ܐܶܶܟܠܶܬ,ܐܶܬܰܐܟܠܶܬ,ܐܰܟܠܶܬ,ܐܶܬܰܐܟܠܶܬ,ܐܰܘܟܠܶܬ,ܐܶܬܰܘܟܠܶܬ
perfect,3MP,ܐܶܟܰܠܘ,ܐܶܬܶܐܟܶܠܘ,ܐܰܟܶܠܘ,ܐܶܬܰܐܟܰܠܘ,ܐܰܘܟܶܠܘ,ܐܶܬܬܰܘܟܰܠܘ
perfect,3FP,ܐܶܟܰܠ̈ܝ,ܐܶܬܶܐܟܶܠ̈ܝ,ܐܰܟܶܠ̈ܝ,ܐܶܬܰܐܟܰܠ̈ܝ,ܐܰܘܟܶܠ̈ܝ,ܐܶܬܬܰܘܟܰܠ̈ܝ
perfect,2MP,ܐܶܟܰܠܬܽܘܢ,ܐܶܬܶܐܟܶܠܬܽܘܢ,ܐܰܟܶܠܬܽܘܢ,ܐܶܬܰܐܟܰܠܬܽܘܢ,ܐܰܘܟܶܠܬܽܘܢ,ܐܶܬܬܰܘܟܰܠܬܽܘܢ
perfect,2FP,ܐܶܟܰܠܬ̈ܶܝܢ,ܐܶܬܶܐܟܶܠ̈ܬܶܝܢ,ܐܰܟܶܠܬ̈ܶܝܢ,ܐܶܬܰܐܟܰܠ̈ܬܶܝܢ,ܐܰܘܟܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܘܟܰܠ̈ܬܶܝܢ
perfect,1P,ܐܶܟܰܠܢ,ܐܶܬܶܐܟܶܠܢ,ܐܰܟܶܠܢ,ܐܶܬܰܐܟܰܠܢ,ܐܰܘܟܶܠܢ,ܐܶܬܬܰܘܟܰܠܢ
imperfect,3MS,ܢܶܐܟܽܘܠ,ܢܶܬܶܐܟܶܠ,ܢܰܐܟܶܠ,ܢܶܬܰܐܟܰܠ,ܢܰܘܟܶܠ,ܢܶܬܬܰܘܟܰܠ
imperfect,3FS,ܬܶܐܟܽܘܠ,ܬܶܬܶܐܟܶܠ,ܬܰܐܟܶܠ,ܬܶܬܰܐܟܰܠ,ܬܰܘܟܶܠ,ܬܶܬܬܰܘܟܰܠܝ
imperfect,2MS,ܬܶܐܟܽܘܠ,ܬܶܬܶܐܟܶܠ,ܬܰܐܟܶܠ,ܬܶܬܰܐܟܰܠ,ܬܰܘܟܶܠ,ܬܶܬܬܰܘܟܰܠ
imperfect,2FS,ܬܶܐܟܠܺܝܢ,ܬܶܬܰܐܟܠܺܝܢ,ܬܰܐܟܠܺܝܢ,ܬܶܬܰܐܟܠܺܝܢ,ܬܰܘܟܠܺܝܢ,ܬܶܬܬܰܘܟܠܺܝܢ
imperfect,1S,ܐܶܐܟܽܘܠ,ܐܶܬܶܐܟܶܠ,ܐܰܐܟܶܠ,ܐܶܬܰܐܟܰܠ,ܐܰܘܟܶܠ,ܐܶܬܬܰܘܟܰܠ
imperfect,3MP,ܢܶܐܟܠܽܘܢ,ܢܶܬܰܐܟܠܽܘܢ,ܢܰܐܟܠܽܘܢ,ܢܶܬܰܐܟܠܽܘܢ,ܢܰܘܟܠܽܘܢ,ܢܶܬܬܰܘܟܠܽܘܢ
imperfect,3FP,ܢܶܐ̈ܟܠܳܢ,ܢܶܬܰܐܟܠ̈ܳܢ,ܢܰܐܟܠ̈ܳܢ,ܢܶܬܰܐܟܠ̈ܳܢ,ܢܰܘܟܠ̈ܳܢ,ܢܶܬܬܰܘܟܠ̈ܳܢ
imperfect,2MP,ܬܶܐܟܠܽܘܢ,ܬܶܬܰܐܟܠܽܘܢ,ܬܰܐܟܠܽܘܢ,ܬܶܬܰܐܟܠܽܘܢ,ܬܰܘܟܠܽܘܢ,ܬܶܬܬܰܘܟܠܽܘܢ
imperfect,2FP,ܬܶܐ̈ܟܠܳܢ,ܬܶܬܰܐܟܠ̈ܳܢ,ܬܰܐܟܠ̈ܳܢ,ܬܶܬܰܐܟܠ̈ܳܢ,ܬܰܘܟܠ̈ܳܢ,ܬܶܬܬܰܘܟܠ̈ܳܢ
imperfect,1P,ܢܶܐܟܽܘܠ,ܢܶܬܶܐܟܶܠ,ܢܰܐܟܶܠ,ܢܶܬܰܐܟܰܠ,ܢܰܘܟܶܠ,ܢܶܬܬܰܘܟܰܠ
imperative,MS,ܐܰܟܽܘܠ,ܐܶܬܰܐܟܠ,ܐܰܟܶܠ,ܐܶܬܰܐܟܰܠ,ܐܰܘܟܶܠ,ܐܶܬܬܰܘܟܰܠ
imperative,FS,ܐܰܟܽܘܠܝ,ܐܶܬܰܐܟܠܝ,ܐܰܟܶܠܝ,ܐܶܬܰܐܟܰܠܝ,ܐܰܘܟܶܠܝ,ܐܶܬܬܰܘܟܰܠܝ
imperative,MP,ܐܰܟܽܘܠܘ,ܐܶܬܰܐܟܠܘ,ܐܰܟܶܠܘ,ܐܶܬܰܐܟܰܠܘ,ܐܰܘܟܶܠܘ,ܐܶܬܬܰܘܟܰܠܘ
imperative,FP,ܐܰܟܽܘܠ̈ܝ,ܐܶܬܰܐܟܠ̈ܝ,ܐܰܟܶܠ̈ܝ,ܐܶܬܰܐܟܰܠ̈ܝ,ܐܰܘܟܶܠ̈ܝ,ܐܶܬܬܰܘܟܰܠ̈ܝ
active-participle,MS,ܐܳܟܶܠ,ܡܶܬܶܐܟܶܠ,ܡܰܐܟܶܠ,ܡܶܬܰܐܟܰܠ,ܡܰܘܟܶܠ,ܡܶܬܬܰܘܟܰܠ
active-participle,FS,ܐܳܟܠܳܐ,ܡܶܬܰܐܟܠܳܐ,ܡܰܐܟܠܳܐ,ܡܶܬܰܐܟܠܳܐ,ܡܰܘܟܠܳܐ,ܡܶܬܬܰܘܟܠܳܐ
active-participle,MP,ܐܳܟܠܺܝܢ,ܡܶܬܰܐܟܠܺܝܢ,ܡܰܐܟܠܺܝܢ,ܡܶܬܰܐܟܠܺܝܢ,ܡܰܘܟܠܺܝܢ,ܡܶܬܬܰܘܟܠܺܝܢ
