ܐܠܨ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܠܰܨ,ܐܶܬܐܶܠܶܨ,ܐܰܠܶܨ,ܐܶܬܰܐܠܰܨ,ܐܰܘܠܶܨ,ܐܶܬܬܰܘܠܰܨ
perfect,3FS,ܐܶܠܨܰܬ,ܐܶܬܰܐܠܨܰܬ,ܐܰܠܨܰܬ,ܐܶܬܰܐܠܨܰܬ,ܐܰܘܠܨܰܬ,ܐܶܬܬܰܘܠܨܰܬ
perfect,2MS,ܐܶܠܰܨܬ,ܐܶܬܐܶܠܶܨܬ,ܐܰܠܶܨܬ,ܐܶܬܰܐܠܰܨܬ,ܐܰܘܠܶܨܬ,ܐܶܬܬܰܘܠܰܨܬ
perfect,2FS,ܐܶܠܰܨܬܝ,ܐܶܬܐܶܠܶܨܬܝ,ܐܰܠܶܨܬܝ,ܐܶܬܰܐܠܰܨܬܝ,ܐܰܘܠܶܨܬܝ,ܐܶܬܰܘܠܰܨܬܝ
perfect,1CS,ܐܶܶܠܨܶܬ,ܐܶܬܰܐܠܨܶܬ,ܐܰܠܨܶܬ,ܐܶܬܰܐܠܨܶܬ,ܐܰܘܠܨܶܬ,ܐܶܬܰܘܠܨܶܬ
perfect,3MP,ܐܶܠܰܨܘ,ܐܶܬܶܐܠܶܨܘ,ܐܰܠܶܨܘ,ܐܶܬܰܐܠܰܨܘ,ܐܰܘܠܶܨܘ,ܐܶܬܬܰܘܠܰܨܘ
perfect,3FP,ܐܶܠܰܨ̈ܝ,ܐܶܬܶܐܠܶܨ̈ܝ,ܐܰܠܶܨ̈ܝ,ܐܶܬܰܐܠܰܨ̈ܝ,ܐܰܘܠܶܨ̈ܝ,ܐܶܬܬܰܘܠܰܨ̈ܝ
perfect,2MP,ܐܶܠܰܨܬܽܘܢ,ܐܶܬܶܐܠܶܨܬܽܘܢ,ܐܰܠܶܨܬܽܘܢ,ܐܶܬܰܐܠܰܨܬܽܘܢ,ܐܰܘܠܶܨܬܽܘܢ,ܐܶܬܬܰܘܠܰܨܬܽܘܢ
perfect,2FP,ܐܶܠܰܨܬ̈ܶܝܢ,ܐܶܬܶܐܠܶܨ̈ܬܶܝܢ,ܐܰܠܶܨܬ̈ܶܝܢ,ܐܶܬܰܐܠܰܨ̈ܬܶܝܢ,ܐܰܘܠܶܨܬ̈ܶܝܢ,ܐܶܬܬܰܘܠܰܨ̈ܬܶܝܢ
perfect,1CP,ܐܶܠܰܨܢ,ܐܶܬܶܐܠܶܨܢ,ܐܰܠܶܨܢ,ܐܶܬܰܐܠܰܨܢ,ܐܰܘܠܶܨܢ,ܐܶܬܬܰܘܠܰܨܢ
imperfect,3MS,ܢܶܐܠܽܘܨ,ܢܶܬܶܐܠܶܨ,ܢܰܐܠܶܨ,ܢܶܬܰܐܠܰܨ,ܢܰܘܠܶܨ,ܢܶܬܬܰܘܠܰܨ
imperfect,3FS,ܬܶܐܠܽܘܨ,ܬܶܬܶܐܠܶܨ,ܬܰܐܠܶܨ,ܬܶܬܰܐܠܰܨ,ܬܰܘܠܶܨ,ܬܶܬܬܰܘܠܰܨܝ
imperfect,2MS,ܬܶܐܠܽܘܨ,ܬܶܬܶܐܠܶܨ,ܬܰܐܠܶܨ,ܬܶܬܰܐܠܰܨ,ܬܰܘܠܶܨ,ܬܶܬܬܰܘܠܰܨ
