ܐܡܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܡܰܪ,ܐܶܬܐܶܡܶܪ,ܐܰܡܶܪ,ܐܶܬܰܐܡܰܪ,ܐܰܘܡܶܪ,ܐܶܬܬܰܘܡܰܪ
perfect,3FS,ܐܶܡܪܰܬ,ܐܶܬܰܐܡܪܰܬ,ܐܰܡܪܰܬ,ܐܶܬܰܐܡܪܰܬ,ܐܰܘܡܪܰܬ,ܐܶܬܬܰܘܡܪܰܬ
perfect,2MS,ܐܶܡܰܪܬ,ܐܶܬܐܶܡܶܪܬ,ܐܰܡܶܪܬ,ܐܶܬܰܐܡܰܪܬ,ܐܰܘܡܶܪܬ,ܐܶܬܬܰܘܡܰܪܬ
perfect,2FS,ܐܶܡܰܪܬܝ,ܐܶܬܐܶܡܶܪܬܝ,ܐܰܡܶܪܬܝ,ܐܶܬܰܐܡܰܪܬܝ,ܐܰܘܡܶܪܬܝ,ܐܶܬܰܘܡܰܪܬܝ
perfect,1CS,ܐܶܶܡܪܶܬ,ܐܶܬܰܐܡܪܶܬ,ܐܰܡܪܶܬ,ܐܶܬܰܐܡܪܶܬ,ܐܰܘܡܪܶܬ,ܐܶܬܰܘܡܪܶܬ
perfect,3MP,ܐܶܡܰܪܘ,ܐܶܬܶܐܡܶܪܘ,ܐܰܡܶܪܘ,ܐܶܬܰܐܡܰܪܘ,ܐܰܘܡܶܪܘ,ܐܶܬܬܰܘܡܰܪܘ
perfect,3FP,ܐܶܡܰܪ̈ܝ,ܐܶܬܶܐܡܶܪ̈ܝ,ܐܰܡܶܪ̈ܝ,ܐܶܬܰܐܡܰܪ̈ܝ,ܐܰܘܡܶܪ̈ܝ,ܐܶܬܬܰܘܡܰܪ̈ܝ
perfect,2MP,ܐܶܡܰܪܬܽܘܢ,ܐܶܬܶܐܡܶܪܬܽܘܢ,ܐܰܡܶܪܬܽܘܢ,ܐܶܬܰܐܡܰܪܬܽܘܢ,ܐܰܘܡܶܪܬܽܘܢ,ܐܶܬܬܰܘܡܰܪܬܽܘܢ
perfect,2FP,ܐܶܡܰܪܬ̈ܶܝܢ,ܐܶܬܶܐܡܶܪ̈ܬܶܝܢ,ܐܰܡܶܪܬ̈ܶܝܢ,ܐܶܬܰܐܡܰܪ̈ܬܶܝܢ,ܐܰܘܡܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܘܡܰܪ̈ܬܶܝܢ
