ܐܣܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܣܰܪ,ܐܶܬܐܶܣܶܪ,ܐܰܣܶܪ,ܐܶܬܰܐܣܰܪ,ܐܰܘܣܶܪ,ܐܶܬܬܰܘܣܰܪ
perfect,3FS,ܐܶܣܪܰܬ,ܐܶܬܰܐܣܪܰܬ,ܐܰܣܪܰܬ,ܐܶܬܰܐܣܪܰܬ,ܐܰܘܣܪܰܬ,ܐܶܬܬܰܘܣܪܰܬ
perfect,2MS,ܐܶܣܰܪܬ,ܐܶܬܐܶܣܶܪܬ,ܐܰܣܶܪܬ,ܐܶܬܰܐܣܰܪܬ,ܐܰܘܣܶܪܬ,ܐܶܬܬܰܘܣܰܪܬ
perfect,2FS,ܐܶܣܰܪܬܝ,ܐܶܬܐܶܣܶܪܬܝ,ܐܰܣܶܪܬܝ,ܐܶܬܰܐܣܰܪܬܝ,ܐܰܘܣܶܪܬܝ,ܐܶܬܰܘܣܰܪܬܝ
perfect,1CS,ܐܶܶܣܪܶܬ,ܐܶܬܰܐܣܪܶܬ,ܐܰܣܪܶܬ,ܐܶܬܰܐܣܪܶܬ,ܐܰܘܣܪܶܬ,ܐܶܬܰܘܣܪܶܬ
perfect,3MP,ܐܶܣܰܪܘ,ܐܶܬܶܐܣܶܪܘ,ܐܰܣܶܪܘ,ܐܶܬܰܐܣܰܪܘ,ܐܰܘܣܶܪܘ,ܐܶܬܬܰܘܣܰܪܘ
perfect,3FP,ܐܶܣܰܪ̈ܝ,ܐܶܬܶܐܣܶܪ̈ܝ,ܐܰܣܶܪ̈ܝ,ܐܶܬܰܐܣܰܪ̈ܝ,ܐܰܘܣܶܪ̈ܝ,ܐܶܬܬܰܘܣܰܪ̈ܝ
perfect,2MP,ܐܶܣܰܪܬܽܘܢ,ܐܶܬܶܐܣܶܪܬܽܘܢ,ܐܰܣܶܪܬܽܘܢ,ܐܶܬܰܐܣܰܪܬܽܘܢ,ܐܰܘܣܶܪܬܽܘܢ,ܐܶܬܬܰܘܣܰܪܬܽܘܢ
perfect,2FP,ܐܶܣܰܪܬ̈ܶܝܢ,ܐܶܬܶܐܣܶܪ̈ܬܶܝܢ,ܐܰܣܶܪܬ̈ܶܝܢ,ܐܶܬܰܐܣܰܪ̈ܬܶܝܢ,ܐܰܘܣܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܘܣܰܪ̈ܬܶܝܢ
perfect,1CP,ܐܶܣܰܪܢ,ܐܶܬܶܐܣܶܪܢ,ܐܰܣܶܪܢ,ܐܶܬܰܐܣܰܪܢ,ܐܰܘܣܶܪܢ,ܐܶܬܬܰܘܣܰܪܢ
imperfect,3MS,ܢܶܐܣܽܘܪ,ܢܶܬܶܐܣܶܪ,ܢܰܐܣܶܪ,ܢܶܬܰܐܣܰܪ,ܢܰܘܣܶܪ,ܢܶܬܬܰܘܣܰܪ
imperfect,3FS,ܬܶܐܣܽܘܪ,ܬܶܬܶܐܣܶܪ,ܬܰܐܣܶܪ,ܬܶܬܰܐܣܰܪ,ܬܰܘܣܶܪ,ܬܶܬܬܰܘܣܰܪܝ
imperfect,2MS,ܬܶܐܣܽܘܪ,ܬܶܬܶܐܣܶܪ,ܬܰܐܣܶܪ,ܬܶܬܰܐܣܰܪ,ܬܰܘܣܶܪ,ܬܶܬܬܰܘܣܰܪ
imperfect,2FS,ܬܶܐܣܪܺܝܢ,ܬܶܬܰܐܣܪܺܝܢ,ܬܰܐܣܪܺܝܢ,ܬܶܬܰܐܣܪܺܝܢ,ܬܰܘܣܪܺܝܢ,ܬܶܬܬܰܘܣܪܺܝܢ
imperfect,1CS,ܐܶܐܣܽܘܪ,ܐܶܬܶܐܣܶܪ,ܐܰܐܣܶܪ,ܐܶܬܰܐܣܰܪ,ܐܰܘܣܶܪ,ܐܶܬܬܰܘܣܰܪ
imperfect,3MP,ܢܶܐܣܪܽܘܢ,ܢܶܬܰܐܣܪܽܘܢ,ܢܰܐܣܪܽܘܢ,ܢܶܬܰܐܣܪܽܘܢ,ܢܰܘܣܪܽܘܢ,ܢܶܬܬܰܘܣܪܽܘܢ
imperfect,3FP,ܢܶܐ̈ܣܪܳܢ,ܢܶܬܰܐܣܪ̈ܳܢ,ܢܰܐܣܪ̈ܳܢ,ܢܶܬܰܐܣܪ̈ܳܢ,ܢܰܘܣܪ̈ܳܢ,ܢܶܬܬܰܘܣܪ̈ܳܢ
imperfect,2MP,ܬܶܐܣܪܽܘܢ,ܬܶܬܰܐܣܪܽܘܢ,ܬܰܐܣܪܽܘܢ,ܬܶܬܰܐܣܪܽܘܢ,ܬܰܘܣܪܽܘܢ,ܬܶܬܬܰܘܣܪܽܘܢ
imperfect,2FP,ܬܶܐ̈ܣܪܳܢ,ܬܶܬܰܐܣܪ̈ܳܢ,ܬܰܐܣܪ̈ܳܢ,ܬܶܬܰܐܣܪ̈ܳܢ,ܬܰܘܣܪ̈ܳܢ,ܬܶܬܬܰܘܣܪ̈ܳܢ
imperfect,1CP,ܢܶܐܣܽܘܪ,ܢܶܬܶܐܣܶܪ,ܢܰܐܣܶܪ,ܢܶܬܰܐܣܰܪ,ܢܰܘܣܶܪ,ܢܶܬܬܰܘܣܰܪ
imperative,MS,ܐܰܣܽܘܪ,ܐܶܬܰܐܣܪ,ܐܰܣܶܪ,ܐܶܬܰܐܣܰܪ,ܐܰܘܣܶܪ,ܐܶܬܬܰܘܣܰܪ
