ܐܫܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܐܶܫܰܕ,ܐܶܬܐܶܫܶܕ,ܐܰܫܶܕ,ܐܶܬܰܐܫܰܕ,ܐܰܘܫܶܕ,ܐܶܬܬܰܘܫܰܕ
perfect,3FS,ܐܶܫܕܰܬ,ܐܶܬܰܐܫܕܰܬ,ܐܰܫܕܰܬ,ܐܶܬܰܐܫܕܰܬ,ܐܰܘܫܕܰܬ,ܐܶܬܬܰܘܫܕܰܬ
perfect,2MS,ܐܶܫܰܕܬ,ܐܶܬܐܶܫܶܕܬ,ܐܰܫܶܕܬ,ܐܶܬܰܐܫܰܕܬ,ܐܰܘܫܶܕܬ,ܐܶܬܬܰܘܫܰܕܬ
perfect,2FS,ܐܶܫܰܕܬܝ,ܐܶܬܐܶܫܶܕܬܝ,ܐܰܫܶܕܬܝ,ܐܶܬܰܐܫܰܕܬܝ,ܐܰܘܫܶܕܬܝ,ܐܶܬܰܘܫܰܕܬܝ
perfect,1S,ܐܶܶܫܕܶܬ,ܐܶܬܰܐܫܕܶܬ,ܐܰܫܕܶܬ,ܐܶܬܰܐܫܕܶܬ,ܐܰܘܫܕܶܬ,ܐܶܬܰܘܫܕܶܬ
perfect,3MP,ܐܶܫܰܕܘ,ܐܶܬܶܐܫܶܕܘ,ܐܰܫܶܕܘ,ܐܶܬܰܐܫܰܕܘ,ܐܰܘܫܶܕܘ,ܐܶܬܬܰܘܫܰܕܘ
perfect,3FP,ܐܶܫܰܕ̈ܝ,ܐܶܬܶܐܫܶܕ̈ܝ,ܐܰܫܶܕ̈ܝ,ܐܶܬܰܐܫܰܕ̈ܝ,ܐܰܘܫܶܕ̈ܝ,ܐܶܬܬܰܘܫܰܕ̈ܝ
perfect,2MP,ܐܶܫܰܕܬܽܘܢ,ܐܶܬܶܐܫܶܕܬܽܘܢ,ܐܰܫܶܕܬܽܘܢ,ܐܶܬܰܐܫܰܕܬܽܘܢ,ܐܰܘܫܶܕܬܽܘܢ,ܐܶܬܬܰܘܫܰܕܬܽܘܢ
perfect,2FP,ܐܶܫܰܕܬ̈ܶܝܢ,ܐܶܬܶܐܫܶܕ̈ܬܶܝܢ,ܐܰܫܶܕܬ̈ܶܝܢ,ܐܶܬܰܐܫܰܕ̈ܬܶܝܢ,ܐܰܘܫܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܘܫܰܕ̈ܬܶܝܢ
perfect,1P,ܐܶܫܰܕܢ,ܐܶܬܶܐܫܶܕܢ,ܐܰܫܶܕܢ,ܐܶܬܰܐܫܰܕܢ,ܐܰܘܫܶܕܢ,ܐܶܬܬܰܘܫܰܕܢ
imperfect,3MS,ܢܶܐܫܽܘܕ,ܢܶܬܶܐܫܶܕ,ܢܰܐܫܶܕ,ܢܶܬܰܐܫܰܕ,ܢܰܘܫܶܕ,ܢܶܬܬܰܘܫܰܕ
imperfect,3FS,ܬܶܐܫܽܘܕ,ܬܶܬܶܐܫܶܕ,ܬܰܐܫܶܕ,ܬܶܬܰܐܫܰܕ,ܬܰܘܫܶܕ,ܬܶܬܬܰܘܫܰܕܝ
imperfect,2MS,ܬܶܐܫܽܘܕ,ܬܶܬܶܐܫܶܕ,ܬܰܐܫܶܕ,ܬܶܬܰܐܫܰܕ,ܬܰܘܫܶܕ,ܬܶܬܬܰܘܫܰܕ
imperfect,2FS,ܬܶܐܫܕܺܝܢ,ܬܶܬܰܐܫܕܺܝܢ,ܬܰܐܫܕܺܝܢ,ܬܶܬܰܐܫܕܺܝܢ,ܬܰܘܫܕܺܝܢ,ܬܶܬܬܰܘܫܕܺܝܢ
imperfect,1S,ܐܶܐܫܽܘܕ,ܐܶܬܶܐܫܶܕ,ܐܰܐܫܶܕ,ܐܶܬܰܐܫܰܕ,ܐܰܘܫܶܕ,ܐܶܬܬܰܘܫܰܕ
imperfect,3MP,ܢܶܐܫܕܽܘܢ,ܢܶܬܰܐܫܕܽܘܢ,ܢܰܐܫܕܽܘܢ,ܢܶܬܰܐܫܕܽܘܢ,ܢܰܘܫܕܽܘܢ,ܢܶܬܬܰܘܫܕܽܘܢ
