ܢܓܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܓܰܕ,ܐܶܬܢܓܶܕ,ܢܰܓܶܕ,ܐܶܬܢܰܓܰܕ,ܐܰܓܶܕ,ܐܶܬܬܰܓܰܕ
perfect,3FS,ܢܶܓܕܰܬ,ܐܶܬܢܰܓܕܰܬ,ܢܰܓܕܰܬ,ܐܶܬܢܰܓܕܰܬ,ܐܰܓܕܰܬ,ܐܶܬܬܰܓܕܰܬ
perfect,2MS,ܢܓܰܕܬ,ܐܶܬܢܓܶܕܬ,ܢܰܓܶܕܬ,ܐܶܬܢܰܓܰܕܬ,ܐܰܓܶܕܬ,ܐܶܬܬܰܓܰܕܬ
perfect,2FS,ܢܓܰܕܬܝ,ܐܶܬܢܓܶܕܬܝ,ܢܰܓܶܕܬܝ,ܐܶܬܢܰܓܰܕܬܝ,ܐܰܓܶܕܬܝ,ܐܶܬܰܓܰܕܬܝ
perfect,1CS,ܢܶܓܕܶܬ,ܐܶܬܢܰܓܕܶܬ,ܢܰܓܕܶܬ,ܐܶܬܢܰܓܕܶܬ,ܐܰܓܕܶܬ,ܐܶܬܰܓܕܶܬ
perfect,3MP,ܢܓܰܕܘ,ܐܶܬܢܓܶܕܘ,ܢܰܓܶܕܘ,ܐܶܬܢܰܓܰܕܘ,ܐܰܓܶܕܘ,ܐܶܬܬܰܓܰܕܘ
perfect,3FP,ܢܓܰܕ̈ܝ,ܐܶܬܢܓܶܕ̈ܝ,ܢܰܓܶܕ̈ܝ,ܐܶܬܢܰܓܰܕ̈ܝ,ܐܰܓܶܕ̈ܝ,ܐܶܬܬܰܓܰܕ̈ܝ
perfect,2MP,ܢܓܰܕܬܽܘܢ,ܐܶܬܢܓܶܕܬܽܘܢ,ܢܰܓܶܕܬܽܘܢ,ܐܶܬܢܰܓܰܕܬܽܘܢ,ܐܰܓܶܕܬܽܘܢ,ܐܶܬܬܰܓܰܕܬܽܘܢ
perfect,2FP,ܢܓܰܕܬ̈ܶܝܢ,ܐܶܬܢܓܶܕ̈ܬܶܝܢ,ܢܰܓܶܕܬ̈ܶܝܢ,ܐܶܬܢܰܓܰܕ̈ܬܶܝܢ,ܐܰܓܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܓܰܕ̈ܬܶܝܢ
perfect,1CP,ܢܓܰܕܢ,ܐܶܬܢܓܶܕܢ,ܢܰܓܶܕܢ,ܐܶܬܢܰܓܰܕܢ,ܐܰܓܶܕܢ,ܐܶܬܬܰܓܰܕܢ
imperfect,3MS,ܢܶܓܽܘܕ,ܢܶܬܢܓܶܕ,ܢܢܰܓܶܕ,ܢܶܬܢܰܓܰܕ,ܢܰܓܶܕ,ܢܶܬܬܰܓܰܕ
