ܢܗܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܗܰܪ,ܐܶܬܢܗܶܪ,ܢܰܗܶܪ,ܐܶܬܢܰܗܰܪ,ܐܰܗܶܪ,ܐܶܬܬܰܗܰܪ
perfect,3FS,ܢܶܗܪܰܬ,ܐܶܬܢܰܗܪܰܬ,ܢܰܗܪܰܬ,ܐܶܬܢܰܗܪܰܬ,ܐܰܗܪܰܬ,ܐܶܬܬܰܗܪܰܬ
perfect,2MS,ܢܗܰܪܬ,ܐܶܬܢܗܶܪܬ,ܢܰܗܶܪܬ,ܐܶܬܢܰܗܰܪܬ,ܐܰܗܶܪܬ,ܐܶܬܬܰܗܰܪܬ
perfect,2FS,ܢܗܰܪܬܝ,ܐܶܬܢܗܶܪܬܝ,ܢܰܗܶܪܬܝ,ܐܶܬܢܰܗܰܪܬܝ,ܐܰܗܶܪܬܝ,ܐܶܬܰܗܰܪܬܝ
perfect,1CS,ܢܶܗܪܶܬ,ܐܶܬܢܰܗܪܶܬ,ܢܰܗܪܶܬ,ܐܶܬܢܰܗܪܶܬ,ܐܰܗܪܶܬ,ܐܶܬܰܗܪܶܬ
perfect,3MP,ܢܗܰܪܘ,ܐܶܬܢܗܶܪܘ,ܢܰܗܶܪܘ,ܐܶܬܢܰܗܰܪܘ,ܐܰܗܶܪܘ,ܐܶܬܬܰܗܰܪܘ
perfect,3FP,ܢܗܰܪ̈ܝ,ܐܶܬܢܗܶܪ̈ܝ,ܢܰܗܶܪ̈ܝ,ܐܶܬܢܰܗܰܪ̈ܝ,ܐܰܗܶܪ̈ܝ,ܐܶܬܬܰܗܰܪ̈ܝ
perfect,2MP,ܢܗܰܪܬܽܘܢ,ܐܶܬܢܗܶܪܬܽܘܢ,ܢܰܗܶܪܬܽܘܢ,ܐܶܬܢܰܗܰܪܬܽܘܢ,ܐܰܗܶܪܬܽܘܢ,ܐܶܬܬܰܗܰܪܬܽܘܢ
perfect,2FP,ܢܗܰܪܬ̈ܶܝܢ,ܐܶܬܢܗܶܪ̈ܬܶܝܢ,ܢܰܗܶܪܬ̈ܶܝܢ,ܐܶܬܢܰܗܰܪ̈ܬܶܝܢ,ܐܰܗܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܗܰܪ̈ܬܶܝܢ
perfect,1CP,ܢܗܰܪܢ,ܐܶܬܢܗܶܪܢ,ܢܰܗܶܪܢ,ܐܶܬܢܰܗܰܪܢ,ܐܰܗܶܪܢ,ܐܶܬܬܰܗܰܪܢ
imperfect,3MS,ܢܶܗܽܘܪ,ܢܶܬܢܗܶܪ,ܢܢܰܗܶܪ,ܢܶܬܢܰܗܰܪ,ܢܰܗܶܪ,ܢܶܬܬܰܗܰܪ
imperfect,3FS,ܬܶܗܽܘܪ,ܬܶܬܢܗܶܪ,ܬܢܰܗܶܪ,ܬܶܬܢܰܗܰܪ,ܬܰܗܶܪ,ܬܶܬܬܰܗܰܪܝ
imperfect,2MS,ܬܶܗܽܘܪ,ܬܶܬܢܗܶܪ,ܬܢܰܗܶܪ,ܬܶܬܢܰܗܰܪ,ܬܰܗܶܪ,ܬܶܬܬܰܗܰܪ
imperfect,2FS,ܬܶܗܪܺܝܢ,ܬܶܬܢܰܗܪܺܝܢ,ܬܢܰܗܪܺܝܢ,ܬܶܬܢܰܗܪܺܝܢ,ܬܰܗܪܺܝܢ,ܬܶܬܬܰܗܪܺܝܢ
imperfect,1CS,ܐܶܗܽܘܪ,ܐܶܬܢܗܶܪ,ܐܶܢܰܗܶܪ,ܐܶܬܢܰܗܰܪ,ܐܰܗܶܪ,ܐܶܬܬܰܗܰܪ
imperfect,3MP,ܢܶܗܪܽܘܢ,ܢܶܬܢܰܗܪܽܘܢ,ܢܢܰܗܪܽܘܢ,ܢܶܬܢܰܗܪܽܘܢ,ܢܰܗܪܽܘܢ,ܢܶܬܬܰܗܪܽܘܢ
imperfect,3FP,ܢܶ̈ܗܪܳܢ,ܢܶܬܢܰܗܪ̈ܳܢ,ܢܢܰܗܪ̈ܳܢ,ܢܶܬܢܰܗܪ̈ܳܢ,ܢܰܗܪ̈ܳܢ,ܢܶܬܬܰܗܪ̈ܳܢ
imperfect,2MP,ܬܶܗܪܽܘܢ,ܬܶܬܢܰܗܪܽܘܢ,ܬܢܰܗܪܽܘܢ,ܬܶܬܢܰܗܪܽܘܢ,ܬܰܗܪܽܘܢ,ܬܶܬܬܰܗܪܽܘܢ
