ܢܚܬ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܚܰܬ,ܐܶܬܢܚܶܬ,ܢܰܚܶܬ,ܐܶܬܢܰܚܰܬ,ܐܰܚܶܬ,ܐܶܬܬܰܚܰܬ
perfect,3FS,ܢܶܚܬܰܬ,ܐܶܬܢܰܚܬܰܬ,ܢܰܚܬܰܬ,ܐܶܬܢܰܚܬܰܬ,ܐܰܚܬܰܬ,ܐܶܬܬܰܚܬܰܬ
perfect,2MS,ܢܚܰܬܬ,ܐܶܬܢܚܶܬܬ,ܢܰܚܶܬܬ,ܐܶܬܢܰܚܰܬܬ,ܐܰܚܶܬܬ,ܐܶܬܬܰܚܰܬܬ
perfect,2FS,ܢܚܰܬܬܝ,ܐܶܬܢܚܶܬܬܝ,ܢܰܚܶܬܬܝ,ܐܶܬܢܰܚܰܬܬܝ,ܐܰܚܶܬܬܝ,ܐܶܬܰܚܰܬܬܝ
perfect,1CS,ܢܶܚܬܶܬ,ܐܶܬܢܰܚܬܶܬ,ܢܰܚܬܶܬ,ܐܶܬܢܰܚܬܶܬ,ܐܰܚܬܶܬ,ܐܶܬܰܚܬܶܬ
perfect,3MP,ܢܚܰܬܘ,ܐܶܬܢܚܶܬܘ,ܢܰܚܶܬܘ,ܐܶܬܢܰܚܰܬܘ,ܐܰܚܶܬܘ,ܐܶܬܬܰܚܰܬܘ
perfect,3FP,ܢܚܰܬ̈ܝ,ܐܶܬܢܚܶܬ̈ܝ,ܢܰܚܶܬ̈ܝ,ܐܶܬܢܰܚܰܬ̈ܝ,ܐܰܚܶܬ̈ܝ,ܐܶܬܬܰܚܰܬ̈ܝ
perfect,2MP,ܢܚܰܬܬܽܘܢ,ܐܶܬܢܚܶܬܬܽܘܢ,ܢܰܚܶܬܬܽܘܢ,ܐܶܬܢܰܚܰܬܬܽܘܢ,ܐܰܚܶܬܬܽܘܢ,ܐܶܬܬܰܚܰܬܬܽܘܢ
perfect,2FP,ܢܚܰܬܬ̈ܶܝܢ,ܐܶܬܢܚܶܬ̈ܬܶܝܢ,ܢܰܚܶܬܬ̈ܶܝܢ,ܐܶܬܢܰܚܰܬ̈ܬܶܝܢ,ܐܰܚܶܬܬ̈ܶܝܢ,ܐܶܬܬܰܚܰܬ̈ܬܶܝܢ
perfect,1CP,ܢܚܰܬܢ,ܐܶܬܢܚܶܬܢ,ܢܰܚܶܬܢ,ܐܶܬܢܰܚܰܬܢ,ܐܰܚܶܬܢ,ܐܶܬܬܰܚܰܬܢ
imperfect,3MS,ܢܶܚܽܘܬ,ܢܶܬܢܚܶܬ,ܢܢܰܚܶܬ,ܢܶܬܢܰܚܰܬ,ܢܰܚܶܬ,ܢܶܬܬܰܚܰܬ
imperfect,3FS,ܬܶܚܽܘܬ,ܬܶܬܢܚܶܬ,ܬܢܰܚܶܬ,ܬܶܬܢܰܚܰܬ,ܬܰܚܶܬ,ܬܶܬܬܰܚܰܬܝ
imperfect,2MS,ܬܶܚܽܘܬ,ܬܶܬܢܚܶܬ,ܬܢܰܚܶܬ,ܬܶܬܢܰܚܰܬ,ܬܰܚܶܬ,ܬܶܬܬܰܚܰܬ
imperfect,2FS,ܬܶܚܬܺܝܢ,ܬܶܬܢܰܚܬܺܝܢ,ܬܢܰܚܬܺܝܢ,ܬܶܬܢܰܚܬܺܝܢ,ܬܰܚܬܺܝܢ,ܬܶܬܬܰܚܬܺܝܢ
imperfect,1CS,ܐܶܚܽܘܬ,ܐܶܬܢܚܶܬ,ܐܶܢܰܚܶܬ,ܐܶܬܢܰܚܰܬ,ܐܰܚܶܬ,ܐܶܬܬܰܚܰܬ
imperfect,3MP,ܢܶܚܬܽܘܢ,ܢܶܬܢܰܚܬܽܘܢ,ܢܢܰܚܬܽܘܢ,ܢܶܬܢܰܚܬܽܘܢ,ܢܰܚܬܽܘܢ,ܢܶܬܬܰܚܬܽܘܢ
imperfect,3FP,ܢܶ̈ܚܬܳܢ,ܢܶܬܢܰܚܬ̈ܳܢ,ܢܢܰܚܬ̈ܳܢ,ܢܶܬܢܰܚܬ̈ܳܢ,ܢܰܚܬ̈ܳܢ,ܢܶܬܬܰܚܬ̈ܳܢ
imperfect,2MP,ܬܶܚܬܽܘܢ,ܬܶܬܢܰܚܬܽܘܢ,ܬܢܰܚܬܽܘܢ,ܬܶܬܢܰܚܬܽܘܢ,ܬܰܚܬܽܘܢ,ܬܶܬܬܰܚܬܽܘܢ
imperfect,2FP,ܬܶ̈ܚܬܳܢ,ܬܶܬܢܰܚܬ̈ܳܢ,ܬܢܰܚܬ̈ܳܢ,ܬܶܬܢܰܚܬ̈ܳܢ,ܬܰܚܬ̈ܳܢ,ܬܶܬܬܰܚܬ̈ܳܢ
imperfect,1CP,ܢܶܚܽܘܬ,ܢܶܬܢܚܶܬ,ܢܢܰܚܶܬ,ܢܶܬܢܰܚܰܬ,ܢܰܚܶܬ,ܢܶܬܬܰܚܰܬ
imperative,MS,ܚܽܘܬ,ܐܶܬܢܰܚܬ,ܢܰܚܶܬ,ܐܶܬܢܰܚܰܬ,ܐܰܚܶܬ,ܐܶܬܬܰܚܰܬ
imperative,FS,ܚܽܘܬܝ,ܐܶܬܢܰܚܬܝ,ܢܰܚܶܬܝ,ܐܶܬܢܰܚܰܬܝ,ܐܰܚܶܬܝ,ܐܶܬܬܰܚܰܬܝ
imperative,MP,ܚܽܘܬܘ,ܐܶܬܢܰܚܬܘ,ܢܰܚܶܬܘ,ܐܶܬܢܰܚܰܬܘ,ܐܰܚܶܬܘ,ܐܶܬܬܰܚܰܬܘ
imperative,FP,ܚܽܘܬ̈ܝ,ܐܶܬܢܰܚܬ̈ܝ,ܢܰܚܶܬ̈ܝ,ܐܶܬܢܰܚܰܬ̈ܝ,ܐܰܚܶܬ̈ܝ,ܐܶܬܬܰܚܰܬ̈ܝ
active-participle,MS,ܢܳܚܶܬ,ܡܶܬܢܚܶܬ,ܡܢܰܚܶܬ,ܡܶܬܢܰܚܰܬ,ܡܰܚܶܬ,ܡܶܬܬܰܚܰܬ
active-participle,FS,ܢܳܚܬܳܐ,ܡܶܬܢܰܚܬܳܐ,ܡܢܰܚܬܳܐ,ܡܶܬܢܰܚܬܳܐ,ܡܰܚܬܳܐ,ܡܶܬܬܰܚܬܳܐ
active-participle,MP,ܢܳܚܬܺܝܢ,ܡܶܬܢܰܚܬܺܝܢ,ܡܢܰܚܬܺܝܢ,ܡܶܬܢܰܚܬܺܝܢ,ܡܰܚܬܺܝܢ,ܡܶܬܬܰܚܬܺܝܢ
active-participle,FP,ܢܳܚ̈ܬܳܢ,ܡܶܬܢܰܚܬ̈ܳܢ,ܡܢܰܚܬ̈ܳܢ,ܡܶܬܢܰܚܬ̈ܳܢ,ܡܰܚܬ̈ܳܢ,ܡܶܬܬܰܚܬ̈ܳܢ
passive-participle,MS,ܢܚܺܝܬ,,ܡܢܰܚܰܬ,,ܡܰܚܰܬ,
passive-participle,FS,ܢܚܺܝܬܳܐ,,ܡܢܰܚܬܳܐ,,ܡܰܚܬܳܐ,
passive-participle,MP,ܢܚܺܝܬܺܝܢ,,ܡܢܰܚܬܺܝܢ,,ܡܰܚܬܺܝܢ,
passive-participle,FP,ܢܚܺܝܬ̈ܳ,,ܡܢܰܚ̈ܬܳܢ,,ܡܰܚ̈ܬܳܢ,
infinitive,,ܡܶܚܰܬ,ܡܶܬܢܚܳܬܽܘ,ܡܢܰܚܳܬܽܘ,ܡܶܬܢܰܚܳܬܽܘ,ܡܰܚܳܬܽܘ,ܡܶܬܬܰܚܳܬܽܘ
