ܢܛܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܛܰܪ,ܐܶܬܢܛܶܪ,ܢܰܛܶܪ,ܐܶܬܢܰܛܰܪ,ܐܰܛܶܪ,ܐܶܬܬܰܛܰܪ
perfect,3FS,ܢܶܛܪܰܬ,ܐܶܬܢܰܛܪܰܬ,ܢܰܛܪܰܬ,ܐܶܬܢܰܛܪܰܬ,ܐܰܛܪܰܬ,ܐܶܬܬܰܛܪܰܬ
perfect,2MS,ܢܛܰܪܬ,ܐܶܬܢܛܶܪܬ,ܢܰܛܶܪܬ,ܐܶܬܢܰܛܰܪܬ,ܐܰܛܶܪܬ,ܐܶܬܬܰܛܰܪܬ
perfect,2FS,ܢܛܰܪܬܝ,ܐܶܬܢܛܶܪܬܝ,ܢܰܛܶܪܬܝ,ܐܶܬܢܰܛܰܪܬܝ,ܐܰܛܶܪܬܝ,ܐܶܬܰܛܰܪܬܝ
perfect,1CS,ܢܶܛܪܶܬ,ܐܶܬܢܰܛܪܶܬ,ܢܰܛܪܶܬ,ܐܶܬܢܰܛܪܶܬ,ܐܰܛܪܶܬ,ܐܶܬܰܛܪܶܬ
perfect,3MP,ܢܛܰܪܘ,ܐܶܬܢܛܶܪܘ,ܢܰܛܶܪܘ,ܐܶܬܢܰܛܰܪܘ,ܐܰܛܶܪܘ,ܐܶܬܬܰܛܰܪܘ
perfect,3FP,ܢܛܰܪ̈ܝ,ܐܶܬܢܛܶܪ̈ܝ,ܢܰܛܶܪ̈ܝ,ܐܶܬܢܰܛܰܪ̈ܝ,ܐܰܛܶܪ̈ܝ,ܐܶܬܬܰܛܰܪ̈ܝ
perfect,2MP,ܢܛܰܪܬܽܘܢ,ܐܶܬܢܛܶܪܬܽܘܢ,ܢܰܛܶܪܬܽܘܢ,ܐܶܬܢܰܛܰܪܬܽܘܢ,ܐܰܛܶܪܬܽܘܢ,ܐܶܬܬܰܛܰܪܬܽܘܢ
perfect,2FP,ܢܛܰܪܬ̈ܶܝܢ,ܐܶܬܢܛܶܪ̈ܬܶܝܢ,ܢܰܛܶܪܬ̈ܶܝܢ,ܐܶܬܢܰܛܰܪ̈ܬܶܝܢ,ܐܰܛܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܛܰܪ̈ܬܶܝܢ
