ܢܣܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܣܰܒ,ܐܶܬܢܣܶܒ,ܢܰܣܶܒ,ܐܶܬܢܰܣܰܒ,ܐܰܣܶܒ,ܐܶܬܬܰܣܰܒ
perfect,3FS,ܢܶܣܒܰܬ,ܐܶܬܢܰܣܒܰܬ,ܢܰܣܒܰܬ,ܐܶܬܢܰܣܒܰܬ,ܐܰܣܒܰܬ,ܐܶܬܬܰܣܒܰܬ
perfect,2MS,ܢܣܰܒܬ,ܐܶܬܢܣܶܒܬ,ܢܰܣܶܒܬ,ܐܶܬܢܰܣܰܒܬ,ܐܰܣܶܒܬ,ܐܶܬܬܰܣܰܒܬ
perfect,2FS,ܢܣܰܒܬܝ,ܐܶܬܢܣܶܒܬܝ,ܢܰܣܶܒܬܝ,ܐܶܬܢܰܣܰܒܬܝ,ܐܰܣܶܒܬܝ,ܐܶܬܰܣܰܒܬܝ
perfect,1S,ܢܶܣܒܶܬ,ܐܶܬܢܰܣܒܶܬ,ܢܰܣܒܶܬ,ܐܶܬܢܰܣܒܶܬ,ܐܰܣܒܶܬ,ܐܶܬܰܣܒܶܬ
perfect,3MP,ܢܣܰܒܘ,ܐܶܬܢܣܶܒܘ,ܢܰܣܶܒܘ,ܐܶܬܢܰܣܰܒܘ,ܐܰܣܶܒܘ,ܐܶܬܬܰܣܰܒܘ
perfect,3FP,ܢܣܰܒ̈ܝ,ܐܶܬܢܣܶܒ̈ܝ,ܢܰܣܶܒ̈ܝ,ܐܶܬܢܰܣܰܒ̈ܝ,ܐܰܣܶܒ̈ܝ,ܐܶܬܬܰܣܰܒ̈ܝ
perfect,2MP,ܢܣܰܒܬܽܘܢ,ܐܶܬܢܣܶܒܬܽܘܢ,ܢܰܣܶܒܬܽܘܢ,ܐܶܬܢܰܣܰܒܬܽܘܢ,ܐܰܣܶܒܬܽܘܢ,ܐܶܬܬܰܣܰܒܬܽܘܢ
perfect,2FP,ܢܣܰܒܬ̈ܶܝܢ,ܐܶܬܢܣܶܒ̈ܬܶܝܢ,ܢܰܣܶܒܬ̈ܶܝܢ,ܐܶܬܢܰܣܰܒ̈ܬܶܝܢ,ܐܰܣܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܣܰܒ̈ܬܶܝܢ
perfect,1P,ܢܣܰܒܢ,ܐܶܬܢܣܶܒܢ,ܢܰܣܶܒܢ,ܐܶܬܢܰܣܰܒܢ,ܐܰܣܶܒܢ,ܐܶܬܬܰܣܰܒܢ
imperfect,3MS,ܢܶܣܰܒ,ܢܶܬܢܣܶܒ,ܢܢܰܣܶܒ,ܢܶܬܢܰܣܰܒ,ܢܰܣܶܒ,ܢܶܬܬܰܣܰܒ
imperfect,3FS,ܬܶܣܰܒ,ܬܶܬܢܣܶܒ,ܬܢܰܣܶܒ,ܬܶܬܢܰܣܰܒ,ܬܰܣܶܒ,ܬܶܬܬܰܣܰܒܝ
imperfect,2MS,ܬܶܣܰܒ,ܬܶܬܢܣܶܒ,ܬܢܰܣܶܒ,ܬܶܬܢܰܣܰܒ,ܬܰܣܶܒ,ܬܶܬܬܰܣܰܒ
