ܢܣܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܣܰܟ,ܐܶܬܢܣܶܟ,ܢܰܣܶܟ,ܐܶܬܢܰܣܰܟ,ܐܰܣܶܟ,ܐܶܬܬܰܣܰܟ
perfect,3FS,ܢܶܣܟܰܬ,ܐܶܬܢܰܣܟܰܬ,ܢܰܣܟܰܬ,ܐܶܬܢܰܣܟܰܬ,ܐܰܣܟܰܬ,ܐܶܬܬܰܣܟܰܬ
perfect,2MS,ܢܣܰܟܬ,ܐܶܬܢܣܶܟܬ,ܢܰܣܶܟܬ,ܐܶܬܢܰܣܰܟܬ,ܐܰܣܶܟܬ,ܐܶܬܬܰܣܰܟܬ
perfect,2FS,ܢܣܰܟܬܝ,ܐܶܬܢܣܶܟܬܝ,ܢܰܣܶܟܬܝ,ܐܶܬܢܰܣܰܟܬܝ,ܐܰܣܶܟܬܝ,ܐܶܬܰܣܰܟܬܝ
perfect,1CS,ܢܶܣܟܶܬ,ܐܶܬܢܰܣܟܶܬ,ܢܰܣܟܶܬ,ܐܶܬܢܰܣܟܶܬ,ܐܰܣܟܶܬ,ܐܶܬܰܣܟܶܬ
perfect,3MP,ܢܣܰܟܘ,ܐܶܬܢܣܶܟܘ,ܢܰܣܶܟܘ,ܐܶܬܢܰܣܰܟܘ,ܐܰܣܶܟܘ,ܐܶܬܬܰܣܰܟܘ
perfect,3FP,ܢܣܰܟ̈ܝ,ܐܶܬܢܣܶܟ̈ܝ,ܢܰܣܶܟ̈ܝ,ܐܶܬܢܰܣܰܟ̈ܝ,ܐܰܣܶܟ̈ܝ,ܐܶܬܬܰܣܰܟ̈ܝ
perfect,2MP,ܢܣܰܟܬܽܘܢ,ܐܶܬܢܣܶܟܬܽܘܢ,ܢܰܣܶܟܬܽܘܢ,ܐܶܬܢܰܣܰܟܬܽܘܢ,ܐܰܣܶܟܬܽܘܢ,ܐܶܬܬܰܣܰܟܬܽܘܢ
perfect,2FP,ܢܣܰܟܬ̈ܶܝܢ,ܐܶܬܢܣܶܟ̈ܬܶܝܢ,ܢܰܣܶܟܬ̈ܶܝܢ,ܐܶܬܢܰܣܰܟ̈ܬܶܝܢ,ܐܰܣܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܣܰܟ̈ܬܶܝܢ
